"","years","technology","scenario","capacity","generation","retirement","cap.change","investment","CAPEX","FOM","VOM","Fuel","annual.capex","annual.FOM","annual.VOM","annual.Fuel","annual.opex"
"1",2010,"Batteries","Reference",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2010,"Batteries","95% by 2050",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2010,"Batteries","95% by 2035",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2010,"Biomass","Reference",6227.7,35024.086584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2010,"Biomass","95% by 2050",6227.7,35024.086584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2010,"Biomass","95% by 2035",6227.7,35024.086584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2010,"Coal","Reference",313393.9,1842116.808444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2010,"Coal","95% by 2050",313393.9,1842116.808444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2010,"Coal","95% by 2035",313393.9,1842116.808444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2010,"CSP","Reference",473,1015.1526,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2010,"CSP","95% by 2050",473,1015.1526,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2010,"CSP","95% by 2035",473,1015.1526,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2010,"Gas CC","Reference",202404.4,785466.706992,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2010,"Gas CC","95% by 2050",202404.4,785466.706992,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2010,"Gas CC","95% by 2035",202404.4,785466.706992,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2010,"Gas CC CCS","Reference",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2010,"Gas CC CCS","95% by 2050",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2010,"Gas CC CCS","95% by 2035",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2010,"Gas CT","Reference",229073.9,194602.934844,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2010,"Gas CT","95% by 2050",229073.9,194602.934844,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2010,"Gas CT","95% by 2035",229073.9,194602.934844,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2010,"Geothermal","Reference",2392.1,15003.633936,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
