,years,technology,scenario,capacity,generation,retirement,cap.change,investment,annual.capex,annual.FOM,annual.VOM,annual.Fuel,annual.opex
1,2010,Batteries,Reference,,,0.0,,,,,,,
2,2011,Batteries,Reference,,,0.0,,,,,,,
3,2012,Batteries,Reference,,,0.0,,,,,,,
4,2013,Batteries,Reference,126.7,7.769244,0.0,,,,,,,
5,2014,Batteries,Reference,155.1,23.097492,0.0,28.4,28.4,,,,,
6,2015,Batteries,Reference,206.8,65.216448,0.0,51.7,51.7,,,,,
7,2016,Batteries,Reference,423.0,140.80824,0.0,216.2,216.2,,,,,
8,2017,Batteries,Reference,632.8,376.946304,0.0,209.8,209.8,,,,,
9,2018,Batteries,Reference,713.6,325.059072,0.0,80.8000000000001,80.8000000000001,,,,,
10,2019,Batteries,Reference,949.8,449.293392,0.0,236.2,236.2,338778.25872,34057.111572,0.0,0.0,34057.111572
11,2020,Batteries,Reference,1210.3,551.315856,0.0,260.5,260.5,355135.543013104,41249.5727167714,0.0,0.0,41249.5727167714
12,2021,Batteries,Reference,6365.25,4683.579428,0.0,5154.95,5154.95,6441455.40665,198845.15866875,0.0,0.0,198845.15866875
13,2022,Batteries,Reference,11520.2,8815.843,0.0,5154.95,5154.95,5911881.20721,330294.444579,0.0,0.0,330294.444579
14,2023,Batteries,Reference,12444.0,9558.552,3.0,923.799999999999,926.799999999999,967676.143279999,324820.94106,0.0,0.0,324820.94106
15,2024,Batteries,Reference,13367.8,10301.261,3.0,923.799999999999,926.799999999999,872464.867119999,314602.283413,0.0,0.0,314602.283413
16,2025,Batteries,Reference,14156.35,11237.675,16.0,788.549999999999,804.549999999999,674729.582009999,296802.81269925,0.0,0.0,296802.81269925
17,2026,Batteries,Reference,14944.9,12174.089,16.0,788.550000000001,804.550000000001,631813.919550001,293406.1228725,0.0,0.0,293406.1228725
18,2027,Batteries,Reference,16861.75,14777.2785,57.6,1916.85,1974.45,1435466.21856,306471.07436,0.0,0.0,306471.07436
19,2028,Batteries,Reference,18778.6,17380.468,57.6,1916.85,1974.45,1330146.68622,316268.993414,0.0,0.0,316268.993414
20,2029,Batteries,Reference,25850.75,28246.999,58.7,7072.15,7130.85,4423540.07964,400905.322345,0.0,0.0,400905.322345
21,2030,Batteries,Reference,32922.9,39113.53,58.7,7072.15,7130.85,4036128.12999,465866.7718815,0.0,0.0,465866.7718815
22,2031,Batteries,Reference,39954.2,48448.857,281.3,7031.3,7312.6,4066766.47564,555494.629547,0.0,0.0,555494.629547
23,2032,Batteries,Reference,46985.5,57784.184,281.3,7031.3,7312.6,3994532.61284,641649.7281425,0.0,0.0,641649.7281425
24,2033,Batteries,Reference,49629.2,62295.912,249.05,2643.7,2892.75,1540170.10455,660594.677666,0.0,0.0,660594.677666
25,2034,Batteries,Reference,52272.9,66807.64,249.05,2643.7,2892.75,1511595.52005,682875.1314495,0.0,0.0,682875.1314495
26,2035,Batteries,Reference,55321.8,71157.245,688.5,3048.9,3737.4,1912354.32696,707677.018818,0.0,0.0,707677.018818
27,2036,Batteries,Reference,58370.7,75506.85,688.5,3048.89999999999,3737.39999999999,1860669.07488,726498.075996,0.0,0.0,726498.075996
28,2037,Batteries,Reference,61280.7,82740.277,4357.50893575597,2910.0,7267.50893575597,3546349.59140944,747583.481931,0.0,0.0,747583.481931
29,2038,Batteries,Reference,64190.7,89973.704,4357.50893575597,2910.0,7267.50893575597,3474561.13814204,767231.638866,0.0,0.0,767231.638866
30,2039,Batteries,Reference,68224.75,95451.412,927.46134390918,4034.05,4961.51134390918,2323064.94921339,798600.0353925,0.0,0.0,798600.0353925
31,2040,Batteries,Reference,72258.8,100929.12,927.46134390918,4034.05,4961.51134390918,2254451.21653621,820838.29036,0.0,0.0,820838.29036
32,2041,Batteries,Reference,80250.3,110948.38,800.369288576911,7991.5,8791.86928857691,3908073.81746532,891801.521325,0.0,0.0,891801.521325
33,2042,Batteries,Reference,88241.8,120967.64,800.369288576911,7991.5,8791.86928857691,3812543.1241495,956638.619189,0.0,0.0,956638.619189
34,2043,Batteries,Reference,93615.25,127892.74,1545.43942845081,5373.45,6918.88942845081,2931991.48131477,991774.46886375,0.0,0.0,991774.46886375
