,111CA,113FF,211,212,213,Biomass Electric Power Generation,Coal Electric Power Generation,Electric Bulk Power Transmission and Control,Electric Power Distribution,Gas Electric Power Generation,Geothermal Electric Power Generation,Hydroelectric Power Generation,Natural Gas Distribution,Nuclear Electric Power Generation,Other Electric Power Generation,Solar Electric Power Generation,"Water, Sewage and Other Systems",Wind Electric Power Generation,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
11-1010,0.0,0.0,0.0007830047885835,0.0013492445894593,0.001933630967802,0.0,0.001394779528107554,0.00216952555032688,0.00216952555032688,0.0013947795281075539,0.0,0.0,0.0015353811380690093,0.0,0.0,0.0,0.012015020167744413,0.0,0.0050421763059902,0.0020278189112063,0.0044744747442376,0.0112113924232024,0.0026483824160454,0.002267867599205,0.009519815771415,0.0001977966260966,0.0021402174996809,0.0040132736887458,0.0035168670116538,0.0017977166902324,0.0060919979647162,0.0045931960060911,0.0109029228273753,0.0065393824597024,0.0009190729239385,0.0024114312342187,0.0060189287851914,0.0104437928091801,0.0058711941826033,0.006496868445501,0.002599977389899,0.0,0.0009922778686341,0.0018484580885086,0.0021272019046596,0.0034466689313047,0.0019978781476097,0.0020265669293848,0.0050930446872926,0.0022706842595314,0.0033928320796699,0.0070425687033125,0.0028434513728139,0.0014985497852467,0.0052002423639102,0.0066810406183269,0.0044309151466031,0.0046495337782128,0.0003659887265172,0.0017595280531904,0.0033572799687874,0.0109720353872807,0.0142880648934559,0.0281725453427747,0.0078983203879316,0.0043787366802288,0.0151380985892445,0.0054240338601801,0.0038834390788582,0.0092565568894631,0.0200657083557983,0.0127108140491716,0.0061259323919172,0.0022612532878674,0.0013159647263046,0.0095952939197075,0.0027195362079729,,0.0155810483278416,0.0026711213729972,0.0131879573045818,0.0002788572028728,0.0023278114009615
11-1020,0.0,0.0,0.0127632468360429,0.0419171823748061,0.0627484115572985,0.08033714821763602,0.018095912985500902,0.023383483087515394,0.023383483087515394,0.0180959129855009,0.0,0.07331389162561576,0.01987769474337959,0.009234350952794025,0.30006260869565216,0.23852888318356866,0.14883166655995902,0.041490678228553735,0.096177161438957,0.0243749975951897,0.0900736097335374,0.1692716412404973,0.0620051264774266,0.0286752600616297,0.141546521698031,0.0030606489681904,0.0208675545980994,0.0470230288420182,0.0652141554759696,0.0186502694248549,0.092486757692661,0.0553445589983545,0.0650135463426594,0.0547507810796144,0.0102970611563496,0.0245337049179028,0.101057009742886,0.0932269327492658,0.1025548403584468,0.2008142145221302,0.2004173042259812,0.148258917379677,0.0132017088677718,0.0331105704638956,0.0233992209512559,0.0593606152646996,0.0559698899258063,0.0293987167157085,0.0958087666444559,0.0779242897724198,0.1684372012855863,0.0614162245317037,0.0687436482310973,0.0213989892993927,0.0444153383646546,0.0523144728054972,0.0384078751502264,0.0434331773332758,0.0046192494592296,0.0548581104233905,0.0334394725636445,0.098700098535575,0.1115414187678113,0.1522125919453208,0.1408965924343743,0.126305579757893,0.1210469021991407,0.039882508572456,0.011451166514582,0.0963786645141602,0.1781407229701553,0.1060079722040339,0.1956020365582656,0.0809857176167607,0.0842302609170349,0.1291555161711561,0.0173249044997274,,0.071536051039554,0.0063403847219106,0.0478747834784411,0.0032276739804719,0.0269435977013518
11-1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054677782680481,,0.0313265611947411,0.0,0.0170338105850939,0.0,0.0
11-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.647432889807868e-05,9.713653990817206e-05,0.0,0.0,0.0,0.0,0.0009878952235909,0.0,0.0001299248188724,0.0,0.0,0.0,0.0001032347920221,0.0001268277430808,0.0005387794596723,0.0003023377011986,0.0,0.0,0.0004803660593838,0.0009551403508154,0.0008723534120571,0.0015223464695615,0.0002879729141857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004479459162847,0.0039853962541457,0.0023660083182777,0.0013031102615188,0.0017162125309982,0.0003785091622632,0.0001420111771556,0.0002173987668605,0.0,0.0001227945297914,0.0,0.0068753257935056,0.0014371653093844,0.0036548894757861,0.0004608898284828,0.0,0.000677454171642,0.0001287033223858,0.0,0.0,0.000315504735446,0.0028379817845245,0.0010815510665554,0.0012118501307006,0.0,0.0006052399995631,2.976250271964901e-05,,0.000170518411144,0.0,0.0001342995168467,1.941154202296269e-05,0.0001620413902376
11-2020,0.0,0.0,0.0014154349977689,0.002383479595016,0.0060329286195422,0.0,0.0031472728358327776,0.0036282751160660706,0.0036282751160660706,0.003147272835832778,0.0,0.0,0.005861562426821695,0.001313963119456026,0.2407608695652174,0.10056893453145058,0.006195851206863436,0.005757076494270672,0.0051149155280297,0.0078435571027971,0.0113531205211145,0.0318432665318751,0.0066970589831035,0.0073780734144651,0.0214164541094149,0.0004066023408442,0.0113388793590411,0.0142946180153636,0.0100287637535559,0.0048038596687143,0.0143228593964731,0.0221005038176601,0.0455207560868113,0.0357577170947234,0.0028021980489627,0.006801876890806,0.0186852916191266,0.0356085404342952,0.0505415913913383,0.1202544908907328,0.0242423495193053,0.0237888866479255,0.0045565285076824,0.007687422106656,0.0065654162734173,0.004551189800374,0.0017376278164433,0.0037398790337228,0.0166554325659855,0.0104201085160793,0.0409940313558491,0.049910787983711,0.0153750419422966,0.0146859781785048,0.0446237392774244,0.0221326546120653,0.0212707040835316,0.0197833948367355,0.0006105995842837,0.0132155760397284,0.0059652111046002,0.0346064172092037,0.0715396371806125,0.1100768771456905,0.0232910857382261,0.0097360794352475,0.0186018551218619,0.0044912197568566,0.0024745199240254,0.0084358945723745,0.0064532949340647,0.0233746957945895,0.0134671572730971,0.0318990061815575,0.0014090258982188,0.0092239872156849,0.0042882441609431,,0.001358209018644,0.0007198636641018,0.0015872465361339,0.0004643728759579,0.0038764373443322
11-2030,0.0,0.0,0.000279335366854,0.0,0.0,0.0,0.0033228791210978322,0.0017801511227615828,0.001780151122761583,0.0033228791210978322,0.0,0.0,0.0037976725480813292,0.0,0.0,0.0,0.0,0.0,0.0001408190742194,0.0001749206843333,0.0,0.0,0.0,0.0,0.0,0.0,0.0004513352584073,0.0,0.0,0.0,0.0001850373213582,0.0002765378378664,0.0014479697978694,0.0005956927341834,0.0,0.0004122718484831,0.0,0.0012668774755483,0.0005244918834649,0.0002120589690208,0.0,0.0,0.0004062939711891,0.0026477402468926,0.0,0.0,0.0,0.0,0.000186678470631,0.0,0.0002697319196413,0.0026694974832991,0.0012930510576634,0.0014380350652367,0.0027788847412539,0.0013239295251535,0.0011397876249832,0.0016197525699396,0.0,0.0001507764691023,0.0010513342215848,0.005751954966078,0.0035702552618266,0.0114321122754699,0.0018275603743383,0.0003570627606536,0.0257106762989839,0.001058772460072,0.0026952339070517,0.0024357326951806,0.0104023268286189,0.013221560915756,0.002005143446335,0.0011373434078327,0.0001028134457634,0.014616944490571,0.0004290001507049,,0.0024578720670048,0.0010829381554806,0.0039229093989551,0.0,0.0
11-3010,0.0,0.0,0.0019410879685763,0.0030776157577751,0.0046536515658906,0.0,0.004585168525908309,0.0059784922464706436,0.005978492246470644,0.004585168525908308,0.0,0.0,0.006996414135757848,0.006420135993508129,0.05127739130434783,0.022894993581514762,0.007577245662334336,0.004679962836791576,0.0040817463940576,0.0029039517963871,0.0040624942992145,0.0101611130637301,0.0029997243361817,0.004878892662873,0.0053792725159969,0.000444461373483,0.0034146269323853,0.0037043979612985,0.0027211905064509,0.0023897705629824,0.0049675403964625,0.0060662602235127,0.0102799120905484,0.00783635367725,0.0012119977370338,0.0049555696969017,0.0053057537365008,0.0088908462262498,0.0059149512826096,0.0110574805518362,0.001755009122985,0.001607903683631,0.0036119234766263,0.0114970030559986,0.0025547909743841,0.0046819468752689,0.0035617956945821,0.0038801688930125,0.0081435514007597,0.010824795282968,0.0035222054086755,0.0061198351810917,0.003263450965273,0.0031503714224752,0.0056578647214559,0.008040747199858,0.0073382303417699,0.0083041388059675,0.0004048402452047,0.0027942670746451,0.0126968614541551,0.0117153183008376,0.0126702056195354,0.0340132034837672,0.0166060366590343,0.0078845287148409,0.0395252357796901,0.0110797209333728,0.0135906307124068,0.0221503531876502,0.0170075264902902,0.0124974093028354,0.0144268166946132,0.0162919078344651,0.0009258540308875,0.0078713167615567,0.0079100887398838,,0.0240430594655548,0.0074131161873617,0.0217790784901642,0.000344304182142,0.0028741420064898
11-3020,0.0,0.0,0.0020229392008571,0.0006014988991471,0.001289829232623,0.0,0.004219188169849436,0.0047693475033951304,0.0047693475033951304,0.004219188169849436,0.0,0.0,0.004782308921899021,0.0024587878109522342,0.07056521739130435,0.03149884467265726,0.0,0.006464540105295757,0.0010555548688664,0.0009860461679131,0.0028903895380525,0.0053921458797307,0.0010129301711944,0.0014979513289917,0.0066510431951372,0.0002091726843693,0.0036117031877533,0.0035838358557037,0.0018191409619194,0.0021140551367448,0.0034893686913596,0.0073030102885758,0.0378756321759967,0.008338989120551,0.0010402003705275,0.0096206806697283,0.004823412487728,0.0107732515871702,0.0076653341689619,0.0022060770123078,0.0004259212295295,0.0,0.0035720064322528,0.0083910454960844,0.0010919245773229,0.00116714971711,0.0009855484695983,0.0024612879110825,0.0049979637529297,0.0044755606864751,0.0046052938766019,0.0533798231444522,0.0053191881668774,0.0099041289648914,0.0554312196374086,0.0163851384110335,0.0095627177056328,0.0146185353982436,0.0002469960123925,0.0015968722259163,0.0067157650307272,0.0208000524619562,0.1713463576972398,0.0653077338439228,0.0122842767095007,0.0019422644672916,0.0285962078719102,0.0043596346765261,0.0065327669095505,0.0019583861682507,0.0051102125231844,0.0047066293528282,0.002614083962799,0.0026806969529523,5.132775710159337e-05,0.0044766783919644,0.0044182816110993,,0.0143531892142983,0.0050621288986434,0.0138448739414903,0.0001138493674568,0.0009503783758429
11-3030,0.0,0.0,0.0057196837600738,0.0032723255618484,0.0085389978198985,0.0,0.00390874623093075,0.005541276095126804,0.005541276095126804,0.003908746230930749,0.0,0.019984433497536945,0.006676916889807471,0.0012241962112096705,0.1096113043478261,0.067701026957638,0.014614411934182727,0.013391917002167854,0.009176559739748,0.0039822027647144,0.0089432388684452,0.0195194710162925,0.0046877721705213,0.0050913592701143,0.0123934473798341,0.0006010962403456,0.0056905002897121,0.0094512744365357,0.0073867166396729,0.0048354421917656,0.011716958021943,0.0125195708085959,0.0214478079091661,0.016416850500218,0.0027351658252532,0.0081477247681948,0.0103203645570757,0.0180329489171844,0.0121415915578062,0.0326679194253304,0.0012328027561802,0.0005554256682985,0.003681051198667,0.0075258650746422,0.0048880716677871,0.0043128210944253,0.003349436465519,0.0055954344004546,0.0091071859828297,0.0058463594728164,0.0053329653841705,0.0170354933545749,0.0119790634331407,0.0047024588812089,0.0149204449470574,0.10788986221755,0.0576407589054923,0.0324837237443073,0.0036119191554699,0.0042579719424288,0.0081174526979046,0.0404820021791227,0.0235949351285179,0.1161411383614495,0.0197287688698734,0.0089377797780562,0.0366363010996647,0.0085987097327063,0.0085240569767988,0.0101495169627983,0.0245997274543736,0.013478084926628,0.0133619473539008,0.0170626403974033,0.0008884933461511,0.0122419544430847,0.0062572752488259,,0.0255340764438953,0.0054404438972053,0.0194963630660609,0.0008793443502895,0.0073404874713195
11-3050,0.0,0.0,0.0017630693189008,0.0115005302888265,0.0041803988642746,0.09656848030018762,0.008655846908616864,0.001891370053374601,0.001891370053374601,0.008655846908616864,0.0,0.0,0.005713436300512121,0.020501525030080868,0.03246,0.014582798459563544,0.009432889429540944,0.0,0.0011996262755125,0.0157731699384114,0.0452109787776843,0.0451430841324386,0.0278374418397669,0.0255259540433005,0.038592160922807,0.0023510826238305,0.0189987764537717,0.0390069939172629,0.0341643358365825,0.0186008032981259,0.051330187330565,0.037742643436688,0.0365739785906929,0.0348149309089424,0.0173384741966724,0.0214155567210939,0.0442853262509635,0.0413784836958405,0.0043212089256695,0.0003092666659927,0.00022610518488,0.0,0.0004481499638638,0.0009006095951294,0.0007635658627469,0.0002489136313434,0.0,0.0042774200515329,0.0017306155080553,0.0048503792112136,0.0008256639298991,0.0022317389380488,0.0002361423030839,0.0002129408693828,0.0003390986817021,0.0002658446441886,0.0,8.797238736255835e-05,0.0,8.950269025829755e-05,0.0,0.0040937887818286,0.0022236852164935,0.0122540966220571,0.0017756315277714,0.0032668159640333,0.0004463798301956,0.000242067667357,0.0003403759668384,0.0,0.0014200837788265,0.0,0.0,0.000259872239035,9.735493621019524e-05,0.0015332330637945,0.0002268517369928,,0.0012997024518288,0.0,0.0007671976293546,0.0,0.0
