,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
11-1010,0.0,0.0,0.0007830047885835169,0.0013492445894593926,0.0019336309678020028,0.0019078562770176075,0.0050421763059902945,0.0020278189112063966,0.004474474744237614,0.011211392423202494,0.0026483824160454857,0.002267867599205052,0.009519815771415023,0.00019779662609663932,0.0021402174996809687,0.004013273688745815,0.0035168670116538076,0.0017977166902324664,0.006091997964716263,0.0045931960060911865,0.010902922827375358,0.006539382459702497,0.000919072923938554,0.0024114312342187263,0.00601892878519141,0.010443792809180157,0.005871194182603366,0.006496868445501073,0.002599977389899003,0.0,0.0009922778686341522,0.0018484580885086155,0.002127201904659627,0.0034466689313047264,0.0019978781476097177,0.002026566929384874,0.005093044687292688,0.0022706842595314053,0.0033928320796699843,0.00704256870331259,0.0028434513728139263,0.0014985497852467217,0.005200242363910256,0.006681040618326941,0.004430915146603159,0.004649533778212833,0.0003659887265172814,0.001759528053190439,0.0033572799687874117,0.010972035387280758,0.014288064893455946,0.028172545342774732,0.007898320387931658,0.004378736680228888,0.015138098589244529,0.0054240338601801545,0.0038834390788582683,0.009256556889463158,0.020065708355798396,0.012710814049171688,0.006125932391917222,0.0022612532878674026,0.0013159647263046976,0.00959529391970752,0.0027195362079729976,,0.015581048327841658,0.00267112137299722,0.013187957304581811,0.00027885720287281667,0.0023278114009615066
11-1020,0.0,0.0,0.012763246836042907,0.0419171823748061,0.06274841155729852,0.02504437697526996,0.09617716143895705,0.024374997595189768,0.09007360973353741,0.1692716412404973,0.062005126477426606,0.02867526006162978,0.14154652169803106,0.0030606489681904835,0.02086755459809945,0.04702302884201822,0.06521415547596965,0.018650269424854992,0.09248675769266104,0.05534455899835456,0.06501354634265945,0.05475078107961443,0.010297061156349645,0.024533704917902802,0.10105700974288602,0.09322693274926587,0.10255484035844681,0.20081421452213027,0.20041730422598128,0.148258917379677,0.013201708867771821,0.03311057046389567,0.0233992209512559,0.059360615264699615,0.05596988992580632,0.029398716715708543,0.09580876664445599,0.07792428977241982,0.1684372012855863,0.061416224531703756,0.06874364823109733,0.0213989892993927,0.04441533836465464,0.052314472805497246,0.038407875150226485,0.04343317733327581,0.004619249459229698,0.05485811042339059,0.03343947256364457,0.09870009853557506,0.11154141876781139,0.15221259194532089,0.14089659243437433,0.12630557975789308,0.1210469021991407,0.03988250857245602,0.011451166514582072,0.0963786645141602,0.1781407229701553,0.10600797220403399,0.1956020365582656,0.08098571761676075,0.08423026091703499,0.1291555161711561,0.017324904499727452,,0.07153605103955409,0.00634038472191063,0.047874783478441194,0.003227673980471961,0.026943597701351883
11-1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005467778268048145,,0.03132656119474118,0.0,0.017033810585093973,0.0,0.0
11-2010,0.0,0.0,0.0,0.0,0.0,6.785771380614528e-05,9.647432889807869e-05,9.713653990817206e-05,0.0,0.0,0.0,0.0,0.00098789522359099,0.0,0.0001299248188724241,0.0,0.0,0.0,0.00010323479202212808,0.0001268277430808638,0.000538779459672349,0.0003023377011986514,0.0,0.0,0.0004803660593838908,0.0009551403508154195,0.0008723534120571094,0.0015223464695615647,0.0002879729141857159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044794591628472317,0.003985396254145789,0.0023660083182777437,0.0013031102615188924,0.0017162125309982223,0.0003785091622632002,0.00014201117715560672,0.00021739876686057666,0.0,0.0001227945297914612,0.0,0.006875325793505676,0.0014371653093844358,0.0036548894757861827,0.0004608898284828906,0.0,0.0006774541716420728,0.00012870332238585163,0.0,0.0,0.0003155047354460866,0.0028379817845245784,0.0010815510665554966,0.001211850130700628,0.0,0.0006052399995631391,2.976250271964901e-05,,0.00017051841114408664,0.0,0.000134299516846779,1.941154202296269e-05,0.00016204139023765833
11-2020,0.0,0.0,0.0014154349977689676,0.0023834795950160755,0.00603292861954225,0.003953172446271638,0.005114915528029766,0.007843557102797183,0.011353120521114504,0.031843266531875136,0.006697058983103525,0.0073780734144651885,0.021416454109414906,0.0004066023408442975,0.011338879359041184,0.014294618015363672,0.010028763753555955,0.004803859668714395,0.014322859396473127,0.02210050381766018,0.04552075608681139,0.03575771709472349,0.002802198048962741,0.006801876890806094,0.018685291619126673,0.03560854043429529,0.05054159139133838,0.1202544908907328,0.024242349519305366,0.023788886647925524,0.004556528507682419,0.007687422106656007,0.006565416273417331,0.004551189800374046,0.001737627816443399,0.0037398790337228745,0.016655432565985503,0.010420108516079395,0.040994031355849135,0.049910787983711034,0.015375041942296629,0.01468597817850486,0.044623739277424475,0.022132654612065303,0.02127070408353168,0.01978339483673555,0.0006105995842837193,0.013215576039728491,0.005965211104600247,0.034606417209203724,0.0715396371806125,0.11007687714569053,0.023291085738226174,0.009736079435247569,0.01860185512186191,0.004491219756856694,0.0024745199240254886,0.008435894572374552,0.006453294934064777,0.023374695794589593,0.01346715727309718,0.0318990061815575,0.0014090258982188944,0.009223987215684957,0.004288244160943175,,0.0013582090186440004,0.0007198636641018281,0.0015872465361339752,0.00046437287595796063,0.0038764373443322623
11-2030,0.0,0.0,0.0002793353668540221,0.0,0.0,0.0021662526493764793,0.00014081907421943104,0.00017492068433335356,0.0,0.0,0.0,0.0,0.0,0.0,0.00045133525840739913,0.0,0.0,0.0,0.0001850373213582042,0.00027653783786644656,0.001447969797869438,0.0005956927341834257,0.0,0.0004122718484831066,0.0,0.0012668774755483754,0.0005244918834649287,0.0002120589690208554,0.0,0.0,0.0004062939711891845,0.002647740246892612,0.0,0.0,0.0,0.0,0.00018667847063104143,0.0,0.00026973191964138913,0.0026694974832991956,0.001293051057663418,0.0014380350652367585,0.0027788847412539906,0.001323929525153545,0.001139787624983281,0.0016197525699396965,0.0,0.00015077646910234725,0.0010513342215848719,0.005751954966078014,0.0035702552618266507,0.011432112275469999,0.001827560374338322,0.00035706276065361226,0.02571067629898397,0.0010587724600720878,0.002695233907051781,0.002435732695180652,0.010402326828618958,0.013221560915756074,0.002005143446335044,0.0011373434078327893,0.00010281344576349932,0.014616944490571004,0.0004290001507049386,,0.0024578720670048056,0.0010829381554806473,0.003922909398955159,0.0,0.0
11-3010,0.0,0.0,0.0019410879685763085,0.003077615757775143,0.004653651565890676,0.005843368469060668,0.004081746394057671,0.0029039517963871425,0.0040624942992145965,0.010161113063730192,0.0029997243361817878,0.004878892662873003,0.005379272515996933,0.0004444613734830791,0.0034146269323853903,0.0037043979612985125,0.002721190506450942,0.0023897705629824565,0.004967540396462559,0.006066260223512796,0.010279912090548418,0.007836353677250009,0.0012119977370338361,0.004955569696901788,0.005305753736500853,0.00889084622624989,0.005914951282609632,0.011057480551836285,0.0017550091229850445,0.001607903683631034,0.0036119234766263325,0.011497003055998642,0.0025547909743841384,0.004681946875268945,0.0035617956945821366,0.003880168893012574,0.00814355140075973,0.010824795282968036,0.00352220540867552,0.006119835181091758,0.00326345096527306,0.0031503714224752,0.0056578647214559725,0.008040747199858044,0.007338230341769928,0.008304138805967528,0.00040484024520477847,0.002794267074645155,0.012696861454155193,0.011715318300837652,0.012670205619535496,0.03401320348376728,0.016606036659034318,0.00788452871484099,0.03952523577969014,0.011079720933372809,0.013590630712406838,0.02215035318765023,0.017007526490290276,0.012497409302835471,0.014426816694613261,0.016291907834465165,0.0009258540308875489,0.007871316761556762,0.007910088739883877,,0.024043059465554892,0.007413116187361708,0.021779078490164288,0.00034430418214206383,0.0028741420064898457
11-3020,0.0,0.0,0.0020229392008571444,0.0006014988991471068,0.0012898292326230338,0.004334034155389838,0.001055554868866438,0.000986046167913172,0.002890389538052576,0.005392145879730723,0.0010129301711944083,0.0014979513289917026,0.006651043195137241,0.00020917268436935883,0.003611703187753327,0.003583835855703713,0.001819140961919454,0.0021140551367448135,0.0034893686913596636,0.007303010288575808,0.0378756321759967,0.008338989120551076,0.001040200370527593,0.009620680669728345,0.004823412487728049,0.010773251587170235,0.007665334168961951,0.0022060770123078885,0.00042592122952951855,0.0,0.0035720064322528333,0.008391045496084472,0.0010919245773229858,0.0011671497171100369,0.0009855484695983595,0.0024612879110825756,0.004997963752929718,0.004475560686475125,0.00460529387660194,0.05337982314445221,0.00531918816687743,0.00990412896489149,0.055431219637408685,0.016385138411033506,0.009562717705632834,0.014618535398243626,0.00024699601239254617,0.0015968722259163918,0.006715765030727267,0.020800052461956275,0.17134635769723988,0.0653077338439228,0.012284276709500776,0.0019422644672916272,0.028596207871910237,0.004359634676526116,0.006532766909550585,0.001958386168250787,0.0051102125231844925,0.004706629352828283,0.0026140839627990637,0.0026806969529523023,5.1327757101593365e-05,0.00447667839196446,0.004418281611099344,,0.014353189214298312,0.005062128898643429,0.013844873941490352,0.00011384936745688209,0.0009503783758429877
11-3030,0.0,0.0,0.005719683760073849,0.0032723255618484315,0.008538997819898586,0.005539322005582641,0.009176559739748005,0.003982202764714435,0.008943238868445207,0.019519471016292547,0.00468777217052138,0.0050913592701143885,0.012393447379834195,0.0006010962403456311,0.005690500289712112,0.009451274436535706,0.007386716639672938,0.004835442191765672,0.011716958021943086,0.012519570808595995,0.02144780790916612,0.01641685050021804,0.002735165825253259,0.008147724768194812,0.01032036455707578,0.0180329489171844,0.012141591557806265,0.03266791942533047,0.0012328027561802051,0.0005554256682985716,0.0036810511986670276,0.007525865074642222,0.004888071667787191,0.004312821094425384,0.0033494364655190624,0.005595434400454609,0.00910718598282972,0.005846359472816492,0.0053329653841705,0.01703549335457496,0.011979063433140709,0.004702458881208997,0.014920444947057491,0.10788986221755009,0.057640758905492376,0.032483723744307365,0.0036119191554699697,0.004257971942428892,0.00811745269790464,0.04048200217912279,0.02359493512851794,0.11614113836144957,0.019728768869873452,0.008937779778056277,0.03663630109966471,0.008598709732706385,0.008524056976798812,0.010149516962798305,0.024599727454373655,0.013478084926628003,0.013361947353900819,0.017062640397403323,0.0008884933461511006,0.012241954443084773,0.006257275248825977,,0.025534076443895357,0.005440443897205365,0.01949636306606091,0.0008793443502895564,0.007340487471319526
11-3050,0.0,0.0,0.00176306931890088,0.011500530288826553,0.004180398864274675,0.005381888973436207,0.0011996262755125586,0.01577316993841147,0.045210978777684374,0.045143084132438685,0.02783744183976699,0.0255259540433005,0.03859216092280701,0.0023510826238305076,0.018998776453771755,0.03900699391726297,0.03416433583658254,0.01860080329812593,0.05133018733056507,0.03774264343668803,0.03657397859069294,0.03481493090894244,0.01733847419667249,0.021415556721093906,0.04428532625096356,0.04137848369584053,0.00432120892566957,0.0003092666659927768,0.00022610518488001052,0.0,0.000448149963863825,0.0009006095951294851,0.0007635658627469682,0.00024891363134341225,0.0,0.0042774200515329,0.0017306155080553712,0.004850379211213683,0.0008256639298991733,0.0022317389380488526,0.0002361423030839221,0.00021294086938288475,0.0003390986817021833,0.0002658446441886816,0.0,8.797238736255835e-05,0.0,8.950269025829755e-05,0.0,0.004093788781828664,0.0022236852164935522,0.01225409662205719,0.001775631527771422,0.0032668159640333637,0.00044637983019567203,0.00024206766735704994,0.00034037596683841165,0.0,0.0014200837788265921,0.0,0.0,0.0002598722390350015,9.735493621019525e-05,0.001533233063794553,0.00022685173699281178,,0.001299702451828845,0.0,0.0007671976293546006,0.0,0.0
