,111CA,113FF,211,212,213,Biomass Electric Power Generation,Coal Electric Power Generation,Electric Bulk Power Transmission and Control,Electric Power Distribution,Gas Electric Power Generation,Geothermal Electric Power Generation,Hydroelectric Power Generation,Natural Gas Distribution,Nuclear Electric Power Generation,Other Electric Power Generation,Solar Electric Power Generation,"Water, Sewage and Other Systems",Wind Electric Power Generation,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
11-1010,0.0,0.0,0.0006316380092186,0.0010095746228822,0.0015441225714102,0.0,0.0009935415816656548,0.0019433190948425604,0.0019433190948425604,0.0009935415816656548,0.0,0.0,0.0011606349077062483,0.0,0.0,0.0,0.007474063640437928,0.0,0.004691754786655,0.0017802331031885,0.0032756524393637,0.0082022741104814,0.0022560294655202,0.0019202535442945,0.0075407859694721,0.0001385921937956,0.0018676804397965,0.0036020464037509,0.0028084333690185,0.0015974045377797,0.0055784962205639,0.0042313880594058,0.010084416590094,0.0054375084921335,0.0007731086192161,0.0018488329219397,0.0053054903779156,0.0084761217002041,0.0055402619546237,0.0056015830358789,0.0017660635671102,0.0,0.000778066232408,0.0012220702977183,0.0013888343013893,0.0027468062372572,0.0015729496407901,0.0011699108772158,0.0042487956581114,0.00177688126548,0.0023817213790983,0.005951100490991,0.0023786815432814,0.0012499836934666,0.004425784729571,0.0060872743205186,0.0038900522648581,0.0043264001565609,0.0001640456348401,0.0014017148698399,0.0025586318704855,0.0096329652528938,0.0127470626249091,0.0266912235818109,0.0074085020693002,0.0036556425495488,0.0139736294669949,0.0050268984330378,0.0037386199571736,0.0085616469401098,0.018859041121987,0.0112869468995476,0.004803474194911,0.0017730969135017,0.0010530086783842,0.0089284395160212,0.0026497356735136,,0.015181139881125,0.0025017515030242,0.0126181614874132,0.0002389834709857,0.0019949581458565
11-1020,0.0,0.0,0.0114554378623307,0.0389259851754467,0.0568863101916023,0.05793677298311444,0.016339696882245815,0.022065463632631146,0.02206546363263115,0.016339696882245815,0.0,0.05463356321839081,0.017876711226952016,0.007023309175364468,0.18080695652173912,0.17738896020539155,0.13438748959600486,0.030729823474759985,0.0940842855223823,0.0230903939066398,0.082060794028555,0.1219333567647623,0.058744876399743,0.0270589674634038,0.1325028910764724,0.0027802841772112,0.0198496251055092,0.04419526183115,0.0619089546136398,0.0176696320841128,0.0899328827267887,0.0529618186892277,0.0613490315828205,0.0511501494418835,0.0094905455982815,0.0219031743842244,0.0959352119781393,0.0890349103578032,0.1007253189248967,0.192553492671073,0.184630350386855,0.1385088144959071,0.0120889211471167,0.026174246839409,0.0195745549004537,0.0546847550805446,0.050944895032754,0.0252965701972375,0.0894446774932187,0.0730917756780061,0.156415455916773,0.0577229113202918,0.0647391638681207,0.0196410789682337,0.0410349556202598,0.0501690984971313,0.0363883763594648,0.0418134906417503,0.0033312659611312,0.0518832326495569,0.0297731409782166,0.0944558507645357,0.1071672454827991,0.1471238720572767,0.1375551712699227,0.1201443319648251,0.1167662651862045,0.0384721251651785,0.0110241357711531,0.0931565656021823,0.1670932362743316,0.1004385192452229,0.1883077506022164,0.0762681029983086,0.0798014059126339,0.1263450103791032,0.0172006657502386,,0.0708242495366729,0.0061190080117325,0.0469681369036624,0.0030702264692294,0.0256292758622615
11-1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052219153156236,,0.0299179377197088,0.0,0.016267871888208,0.0,0.0
11-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.498898306523293e-05,6.933567930034904e-05,0.0,0.0,0.0,0.0,0.000523803664842,0.0,9.982729230781304e-05,0.0,0.0,0.0,6.03702666500242e-05,7.839514216325239e-05,0.0004636009304157,0.000170434310058,0.0,0.0,0.0003097096961817,0.0006845855733312,0.0006702697746044,0.0010821812799021,0.0001764995280493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003103287803212,0.0034569870402441,0.0017098027381869,0.0010695553910456,0.0011149719082609,0.0002955944214646,0.0001045360054062,0.0001778717183404,0.0,7.478315289793737e-05,0.0,0.0059762467707269,0.0009904787943054,0.0032476402235267,0.000381687554484,0.0,0.0005355344973679,7.192539528500048e-05,0.0,0.0,0.0002201569546151,0.0022026438028776,0.0008742374805611,0.0010199180658014,0.0,0.0005114389664205,2.758335993863424e-05,,0.0001580334407713,0.0,0.000124776337807,1.0521444905275848e-05,8.782968183274776e-05
11-2020,0.0,0.0,0.0010743363263629,0.0014764063888156,0.0048176624227999,0.0,0.0027299873618007943,0.003302527397909231,0.003302527397909231,0.002729987361800794,0.0,0.0,0.00471887516671927,0.000930209586702857,0.1444565217391304,0.0657982028241335,0.0028956399257314813,0.0036576029730566737,0.0048266112514255,0.0069932794341622,0.0098577538761101,0.0244563664158083,0.0059867648485319,0.0065823303972002,0.0191834588942152,0.0003273369025569,0.009543034746007,0.0128556536187553,0.0089471373884609,0.0043550720161557,0.0133809305386779,0.020688467755738,0.0431272596616041,0.028381685765767,0.0023289330818933,0.0057963328281196,0.0160780416257601,0.0331338156164678,0.0492443738432882,0.1150771938269439,0.0213688443081741,0.0194636345301208,0.0038736814972804,0.0057756638944928,0.0047640337238515,0.0038847505154258,0.0014131025850858,0.0026530765794786,0.0142993095954806,0.0088407205339749,0.0335890900846733,0.0465351791345711,0.0132830045484706,0.0133866500869865,0.0409295068689176,0.0209108418665585,0.0198718570064715,0.0189695823165172,0.0003434622661595,0.0113828454551016,0.0049901811903497,0.0319562317660406,0.0680498987815582,0.1063968242224324,0.0222883384070305,0.0080142932817033,0.0175182519108796,0.0041540540773236,0.0023679848196643,0.0076477938401603,0.0056883700406572,0.0212238827722084,0.0103474444476759,0.0301613171288656,0.0010981376217435,0.0086866675720528,0.0042771318071125,,0.001294542970895,0.0006706935606351,0.0015083849782242,0.0004201468877714,0.0035072528353482
11-2030,0.0,0.0,0.0002299360403547,0.0,0.0,0.0,0.00194734946113505,0.0014302206044910467,0.0014302206044910465,0.0019473494611350495,0.0,0.0,0.0034636516356305806,0.0,0.0,0.0,0.0,0.0,0.0001129089874372,0.0001372147266826,0.0,0.0,0.0,0.0,0.0,0.0,0.0003655611369001,0.0,0.0,0.0,0.0001421727959861,0.0002365193752438,0.0012459275004923,0.0003498512883299,0.0,0.0003180591497154,0.0,0.0010035122655777,0.0004248146929421,0.0001240091276841,0.0,0.0,0.0003524249292574,0.0018399550868236,0.0,0.0,0.0,0.0,0.0001299940834504,0.0,0.0001774557219467,0.0022107538572843,0.0009995926615979,0.001028597543865,0.0020598668458435,0.0011742190498379,0.0009250450289719,0.0014106544832683,0.0,9.619563425940094e-05,0.0008110824685566,0.0049222850562804,0.0029034623480131,0.0107661639875785,0.0015226877912681,0.0002034753251448,0.0243588004273723,0.000911036767969,0.0024729998552718,0.0020582390671452,0.0095064326519914,0.0118719882041376,0.0013312017222756,0.0010085875503422,3.537666951002128e-05,0.0137379429790138,0.0004163203432949,,0.0023852256019701,0.0010307088261195,0.0036969271409537,0.0,0.0
11-3010,0.0,0.0,0.0016238118818852,0.0024977751077595,0.0035538467866501,0.0,0.004082446834976963,0.005675488740801566,0.005675488740801567,0.004082446834976962,0.0,0.0,0.005864641260855843,0.005914419229370121,0.043505217391304356,0.017413093709884468,0.005419745182149945,0.0032791576339423964,0.0037376911424512,0.0026104404648951,0.0032797314536708,0.0073111868165853,0.0025811581497378,0.0042490636755236,0.0045547487508487,0.0003506394735349,0.0031205442300746,0.0033314956024213,0.002369904921895,0.0021107389718244,0.0045215530065222,0.0054775270714687,0.0096423981624523,0.0066619880012883,0.0011079285721298,0.0042344286970971,0.004438513915475,0.0077586785420083,0.0056151681766684,0.0096107073955212,0.0013105089957661,0.0011173567970995,0.0033008487274432,0.0088157231913487,0.0017425866107868,0.0037539934405309,0.0029497138019117,0.0028679509209223,0.007056731195152,0.0080173200920851,0.0026023209869878,0.0055927680363087,0.0025955274283949,0.0027460551002347,0.0049976839863014,0.007423982073899,0.0064684118816918,0.0078360726730752,0.000231200988424,0.0022933582546068,0.0113502246332599,0.0104403679545253,0.0115326704445246,0.0326140315480981,0.0157328857538854,0.0066894615159186,0.0372973799242751,0.0103510739087409,0.0131625793513861,0.0208183241889748,0.015667836603447,0.011281194011649,0.0131843157352685,0.0150386841548909,0.0006732030172774,0.0073242754422207,0.0078683324561852,,0.023803825043012,0.0070486789499026,0.0211896380635474,0.000299255036815,0.0024980860430238
11-3020,0.0,0.0,0.0016551320734285,0.0004706916519172,0.0009359330324727,0.0,0.0028363104419389194,0.004280647759214225,0.004280647759214225,0.002836310441938919,0.0,0.0,0.004344234822183081,0.0020239611607017934,0.05986956521739131,0.02395686777920411,0.0,0.004529575720037163,0.0009512034369632,0.0008659572707816,0.0024123290612535,0.0043146873871112,0.0008473639907787,0.0012941294333413,0.0058744618804507,0.0001577969373312,0.0032808601476537,0.003203732052826,0.001420647037937,0.0019127165522929,0.0032729737337559,0.0067547573506461,0.0351728387516729,0.0072624872509196,0.0008430339274993,0.0084550115356868,0.0038674208234936,0.0097863888463607,0.0073060216297918,0.0015746890756233,0.0002243401895995,0.0,0.0034250678718663,0.0062530129613055,0.0008614288704819,0.0009685313754975,0.0006948410778839,0.0018006824977184,0.0040272040383928,0.0037591415885481,0.0029774530894574,0.0494714738583458,0.0043608630922261,0.0088422788642818,0.0477268461130543,0.0151787705682245,0.0087742289974023,0.0139891659681822,0.0001770314766933,0.0012186097524075,0.0062115978773136,0.0186787039192441,0.1652869580144298,0.0633774559963191,0.0115686877749667,0.001420964047499,0.0272012709025487,0.0040485324913159,0.0062140953529871,0.0017471694954214,0.0045316978979183,0.0040596760165669,0.0022178642124302,0.0024695373466678,2.763802305470412e-05,0.0042159010099082,0.0044032952256579,,0.0142673276636644,0.0048386385414837,0.0134507649030736,9.717819038719964e-05,0.0008112126822533
11-3030,0.0,0.0,0.0050316015032228,0.0027319415241119,0.0069022278942037,0.0,0.003146752380857607,0.005053898082935919,0.00505389808293592,0.003146752380857606,0.0,0.017651034482758617,0.005563077408648021,0.0010199764949492124,0.09299739130434784,0.05014236200256739,0.011366764837697675,0.008472437287085785,0.0086766693259095,0.0037171373736796,0.0073728183601891,0.0154251287443386,0.0042754633371676,0.0046809233980514,0.0111458638829088,0.0004998126247562,0.0053376010469392,0.0087592736107392,0.0064980890739979,0.0044814021083608,0.0110786801530434,0.0120045639780758,0.0204015733770116,0.0144709209018855,0.0024232585562988,0.0074326698600418,0.0094315293320644,0.0167796937800827,0.0117591792252769,0.0307649338277384,0.0009037704781009,0.0002357789873973,0.0032317210054025,0.0059372209265066,0.0040973541921157,0.0035358069209074,0.0025319269506689,0.0039939990193476,0.0074389549679284,0.0049006248522138,0.0042135186166888,0.0156621906273347,0.0098010518998423,0.00391900938108,0.0128251625576828,0.1054044423043454,0.0549388483317974,0.031023067544661,0.0026424863085472,0.00349695210313,0.0073296504379747,0.0362238301009497,0.0223096079230733,0.1104757169779642,0.0187288702526868,0.0078783627958972,0.0351995834094817,0.0081629076799766,0.0083052756526164,0.0094820438936781,0.0230741629610791,0.0123825159130878,0.0124084429139888,0.0163280453118008,0.0006315979218576,0.0116681128285651,0.0062217632923946,,0.0253306176674499,0.0052390355887744,0.0191260283664699,0.0007924129696525,0.0066148119038126
11-3050,0.0,0.0,0.0013491448362639,0.0101577188426735,0.0033315487804237,0.06478236397748594,0.0072702743583874865,0.0016806224931307835,0.0016806224931307837,0.007270274358387486,0.0,0.0,0.004867001293028844,0.01537165962447883,0.027540000000000005,0.011091142490372272,0.007456796209744543,0.0,0.0010723931856854,0.0148577183959564,0.0412641245340777,0.0383356819624024,0.0261110888574558,0.0240871733489259,0.0354810846104118,0.0021442952420022,0.0181444815203665,0.0374773078812918,0.0321741803509563,0.0174822292879573,0.0496141338701528,0.0358297609233276,0.0347203266543225,0.0313731506669937,0.0161230511566763,0.0196047010110604,0.0410428553501222,0.0389680865873449,0.0040939983297726,0.0001948354790647,0.000145472768908,0.0,0.0002262668365332,0.0005165573523598,0.000408446205936,0.0001248305598629,0.0,0.0031810281638688,0.0014361100327595,0.0040821791888115,0.0005158989948651,0.0019164747014471,0.0001459649834596,0.0001394352176316,0.0002271382061496,0.0001505134516432,0.0,6.025404458783482e-05,0.0,5.868057175875138e-05,0.0,0.0029586444269733,0.0019327357489149,0.0114024605633814,0.001574616637835,0.0025254109225506,0.0003622792824776,0.000195667716652,0.0002893668025203,0.0,0.0011689477231362,0.0,0.0,0.0001693139526,4.083517906332533e-05,0.0013788905141628,0.0002149237975598,,0.0012313636666304,0.0,0.0007252396873779,0.0,0.0
