,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
11-1010,0.0,0.0,0.0006316380092186816,0.0010095746228822027,0.001544122571410232,0.0016986773279306108,0.0046917547866550625,0.001780233103188524,0.003275652439363705,0.008202274110481479,0.002256029465520228,0.0019202535442945823,0.007540785969472115,0.0001385921937956044,0.0018676804397965013,0.0036020464037509873,0.002808433369018508,0.001597404537779746,0.005578496220563934,0.00423138805940581,0.010084416590094052,0.005437508492133578,0.0007731086192161157,0.0018488329219397421,0.005305490377915664,0.008476121700204182,0.005540261954623779,0.00560158303587895,0.0017660635671102383,0.0,0.0007780662324080462,0.0012220702977183207,0.0013888343013893434,0.002746806237257226,0.0015729496407901357,0.0011699108772158732,0.004248795658111421,0.0017768812654800124,0.002381721379098313,0.00595110049099108,0.0023786815432814386,0.001249983693466667,0.004425784729571077,0.006087274320518636,0.003890052264858173,0.004326400156560976,0.00016404563484011383,0.0014017148698399382,0.00255863187048556,0.009632965252893822,0.012747062624909135,0.02669122358181093,0.007408502069300237,0.003655642549548888,0.013973629466994954,0.00502689843303787,0.003738619957173661,0.008561646940109814,0.018859041121987045,0.011286946899547672,0.004803474194911005,0.0017730969135017368,0.0010530086783842269,0.008928439516021283,0.002649735673513671,,0.01518113988112509,0.0025017515030242594,0.012618161487413298,0.00023898347098571008,0.001994958145856519
11-1020,0.0,0.0,0.011455437862330732,0.03892598517544675,0.05688631019160236,0.023918236857124874,0.09408428552238234,0.023090393906639813,0.08206079402855508,0.12193335676476232,0.05874487639974302,0.027058967463403808,0.13250289107647245,0.0027802841772112024,0.01984962510550924,0.04419526183115,0.06190895461363981,0.017669632084112864,0.08993288272678875,0.052961818689227766,0.06134903158282054,0.05115014944188351,0.009490545598281573,0.021903174384224497,0.09593521197813934,0.08903491035780325,0.1007253189248967,0.192553492671073,0.18463035038685505,0.1385088144959071,0.012088921147116726,0.02617424683940902,0.01957455490045374,0.05468475508054461,0.050944895032754005,0.025296570197237574,0.08944467749321872,0.07309177567800619,0.156415455916773,0.05772291132029188,0.06473916386812079,0.01964107896823371,0.04103495562025985,0.050169098497131304,0.03638837635946482,0.04181349064175031,0.003331265961131229,0.05188323264955699,0.02977314097821662,0.0944558507645357,0.10716724548279918,0.14712387205727676,0.13755517126992278,0.12014433196482516,0.11676626518620452,0.038472125165178596,0.011024135771153104,0.09315656560218237,0.16709323627433167,0.10043851924522296,0.18830775060221644,0.07626810299830868,0.07980140591263393,0.12634501037910326,0.017200665750238698,,0.07082424953667295,0.006119008011732505,0.04696813690366249,0.003070226469229427,0.025629275862261554
11-1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005221915315623693,,0.02991793771970883,0.0,0.01626787188820803,0.0,0.0
11-2010,0.0,0.0,0.0,0.0,0.0,4.974664287694879e-05,6.498898306523293e-05,6.933567930034904e-05,0.0,0.0,0.0,0.0,0.0005238036648420475,0.0,9.982729230781304e-05,0.0,0.0,0.0,6.03702666500242e-05,7.839514216325239e-05,0.0004636009304157422,0.00017043431005803577,0.0,0.0,0.000309709696181719,0.0006845855733312232,0.0006702697746044457,0.0010821812799021902,0.00017649952804930978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031032878032121483,0.0034569870402441066,0.0017098027381869314,0.001069555391045657,0.0011149719082609929,0.0002955944214646719,0.00010453600540621053,0.00017787171834047181,0.0,7.478315289793737e-05,0.0,0.0059762467707269225,0.0009904787943054898,0.003247640223526722,0.0003816875544840027,0.0,0.0005355344973679056,7.192539528500048e-05,0.0,0.0,0.00022015695461518095,0.0022026438028776613,0.0008742374805611336,0.0010199180658014492,0.0,0.0005114389664205123,2.758335993863424e-05,,0.00015803344077130186,0.0,0.00012477633780700521,1.0521444905275848e-05,8.782968183274776e-05
11-2020,0.0,0.0,0.0010743363263629017,0.0014764063888156255,0.004817662422799924,0.003612707833674081,0.004826611251425562,0.006993279434162261,0.009857753876110164,0.024456366415808384,0.005986764848531939,0.006582330397200259,0.019183458894215244,0.0003273369025569615,0.009543034746007038,0.012855653618755363,0.00894713738846099,0.004355072016155759,0.01338093053867799,0.020688467755738044,0.043127259661604175,0.02838168576576707,0.0023289330818933546,0.005796332828119662,0.016078041625760157,0.03313381561646781,0.04924437384328823,0.11507719382694391,0.021368844308174158,0.01946363453012088,0.003873681497280429,0.005775663894492867,0.004764033723851574,0.0038847505154258545,0.0014131025850858835,0.00265307657947862,0.014299309595480656,0.008840720533974939,0.03358909008467338,0.04653517913457114,0.013283004548470619,0.013386650086986586,0.04092950686891762,0.020910841866558533,0.019871857006471573,0.01896958231651724,0.00034346226615959214,0.01138284545510163,0.0049901811903497,0.03195623176604065,0.06804989878155823,0.10639682422243246,0.02228833840703053,0.008014293281703331,0.01751825191087967,0.00415405407732366,0.0023679848196643126,0.007647793840160342,0.005688370040657288,0.021223882772208484,0.010347444447675904,0.03016131712886565,0.0010981376217435509,0.008686667572052824,0.004277131807112503,,0.0012945429708950624,0.0006706935606351291,0.0015083849782242993,0.0004201468877714882,0.0035072528353482374
11-2030,0.0,0.0,0.00022993604035476933,0.0,0.0,0.0018714969300764174,0.00011290898743720149,0.00013721472668262353,0.0,0.0,0.0,0.0,0.0,0.0,0.00036556113690011064,0.0,0.0,0.0,0.00014217279598610034,0.00023651937524384395,0.0012459275004923073,0.0003498512883299485,0.0,0.0003180591497154879,0.0,0.0010035122655777451,0.00042481469294218207,0.00012400912768414525,0.0,0.0,0.0003524249292574719,0.0018399550868236796,0.0,0.0,0.0,0.0,0.0001299940834504538,0.0,0.00017745572194672815,0.0022107538572843427,0.0009995926615979616,0.0010285975438650006,0.002059866845843577,0.0011742190498379812,0.0009250450289719384,0.001410654483268342,0.0,9.619563425940094e-05,0.0008110824685566191,0.004922285056280467,0.002903462348013151,0.010766163987578544,0.0015226877912681346,0.00020347532514483716,0.02435880042737236,0.0009110367679690058,0.0024729998552718633,0.002058239067145274,0.009506432651991487,0.011871988204137684,0.0013312017222756778,0.0010085875503422848,3.537666951002128e-05,0.01373794297901387,0.0004163203432949404,,0.0023852256019701807,0.0010307088261195274,0.0036969271409537205,0.0,0.0
11-3010,0.0,0.0,0.0016238118818852317,0.0024977751077595364,0.0035538467866501984,0.00552505267697176,0.003737691142451277,0.0026104404648951197,0.003279731453670864,0.007311186816585383,0.002581158149737817,0.004249063675523635,0.004554748750848742,0.00035063947353495146,0.0031205442300746883,0.003331495602421359,0.0023699049218950676,0.0021107389718244295,0.0045215530065222725,0.005477527071468739,0.009642398162452393,0.006661988001288398,0.001107928572129824,0.004234428697097193,0.004438513915475001,0.007758678542008329,0.005615168176668402,0.009610707395521258,0.001310508995766125,0.001117356797099532,0.0033008487274432037,0.008815723191348783,0.001742586610786826,0.0037539934405309556,0.0029497138019117146,0.0028679509209223364,0.007056731195152039,0.008017320092085115,0.002602320986987825,0.005592768036308734,0.002595527428394911,0.0027460551002347192,0.004997683986301437,0.007423982073899022,0.006468411881691838,0.007836072673075284,0.0002312009884240958,0.002293358254606858,0.01135022463325994,0.010440367954525322,0.01153267044452467,0.032614031548098124,0.015732885753885487,0.0066894615159186965,0.03729737992427516,0.01035107390874094,0.013162579351386147,0.020818324188974856,0.015667836603447043,0.011281194011649008,0.013184315735268575,0.01503868415489092,0.0006732030172774751,0.0073242754422207694,0.00786833245618529,,0.023803825043012056,0.007048678949902646,0.021189638063547456,0.0002992550368150648,0.002498086043023885
11-3020,0.0,0.0,0.0016551320734285724,0.00047069165191725463,0.0009359330324727966,0.003976673716882143,0.0009512034369632921,0.0008659572707816254,0.00241232906125359,0.004314687387111263,0.0008473639907787932,0.001294129433341387,0.0058744618804507836,0.00015779693733127068,0.003280860147653787,0.003203732052826046,0.0014206470379370978,0.0019127165522929267,0.0032729737337559637,0.006754757350646152,0.03517283875167294,0.007262487250919601,0.000843033927499378,0.00845501153568687,0.0038674208234936594,0.009786388846360745,0.007306021629791859,0.0015746890756233687,0.0002243401895995174,0.0,0.003425067871866331,0.006253012961305532,0.0008614288704819978,0.0009685313754975329,0.0006948410778839244,0.0018006824977184208,0.004027204038392895,0.0037591415885481045,0.00297745308945744,0.04947147385834587,0.004360863092226173,0.00884227886428188,0.047726846113054354,0.015178770568224502,0.008774228997402322,0.013989165968182258,0.00017703147669337002,0.0012186097524075382,0.00621159787731367,0.018678703919244196,0.16528695801442983,0.06337745599631918,0.01156868777496675,0.0014209640474990692,0.02720127090254877,0.00404853249131596,0.006214095352987142,0.0017471694954214682,0.004531697897918323,0.004059676016566917,0.0022178642124302582,0.0024695373466678753,2.7638023054704117e-05,0.0042159010099082775,0.004403295225657979,,0.01426732766366442,0.004838638541483705,0.013450764903073629,9.717819038719963e-05,0.0008112126822533752
11-3030,0.0,0.0,0.00503160150322286,0.0027319415241119933,0.006902227894203738,0.005123473000351221,0.008676669325909592,0.0037171373736796668,0.007372818360189151,0.015425128744338604,0.004275463337167682,0.004680923398051424,0.011145863882908816,0.0004998126247562573,0.00533760104693927,0.008759273610739257,0.006498089073997998,0.004481402108360864,0.011078680153043464,0.012004563978075889,0.02040157337701168,0.01447092090188552,0.002423258556298879,0.00743266986004187,0.009431529332064465,0.016779693780082778,0.01175917922527693,0.030764933827738403,0.0009037704781009132,0.00023577898739739932,0.003231721005402508,0.0059372209265066535,0.004097354192115733,0.003535806920907435,0.002531926950668932,0.003993999019347633,0.007438954967928405,0.004900624852213824,0.004213518616688873,0.01566219062733475,0.009801051899842398,0.003919009381080009,0.012825162557682818,0.10540444230434542,0.05493884833179742,0.031023067544661092,0.0026424863085472944,0.0034969521031300017,0.007329650437974786,0.036223830100949796,0.02230960792307338,0.11047571697796424,0.01872887025268689,0.007878362795897207,0.03519958340948179,0.008162907679976626,0.008305275652616415,0.00948204389367811,0.02307416296107916,0.012382515913087836,0.012408442913988895,0.01632804531180083,0.0006315979218576258,0.011668112828565174,0.006221763292394625,,0.025330617667449973,0.0052390355887744645,0.019126028366469983,0.0007924129696525661,0.006614811903812654
11-3050,0.0,0.0,0.0013491448362639568,0.010157718842673547,0.0033315487804237522,0.004888891510220676,0.0010723931856854692,0.014857718395956414,0.041264124534077726,0.0383356819624024,0.026111088857455854,0.024087173348925937,0.03548108461041182,0.0021442952420022035,0.01814448152036658,0.037477307881291874,0.03217418035095637,0.01748222928795735,0.049614133870152885,0.035829760923327625,0.03472032665432255,0.03137315066699376,0.0161230511566763,0.019604701011060488,0.041042855350122295,0.038968086587344956,0.00409399832977263,0.00019483547906472414,0.00014547276890801005,0.0,0.0002262668365332029,0.00051655735235987,0.0004084462059360221,0.00012483055986291244,0.0,0.0031810281638688428,0.0014361100327595808,0.004082179188811516,0.0005158989948651786,0.0019164747014471554,0.0001459649834596412,0.0001394352176316523,0.00022713820614965975,0.00015051345164323945,0.0,6.0254044587834824e-05,0.0,5.868057175875138e-05,0.0,0.0029586444269733563,0.0019327357489149568,0.011402460563381402,0.0015746166378350346,0.002525410922550614,0.0003622792824776469,0.00019566771665208195,0.00028936680252035176,0.0,0.0011689477231362011,0.0,0.0,0.00016931395260001337,4.083517906332533e-05,0.0013788905141628124,0.00021492379755988882,,0.001231363666630444,0.0,0.0007252396873779598,0.0,0.0
