,111CA,113FF,211,212,213,Biomass Electric Power Generation,Coal Electric Power Generation,Electric Bulk Power Transmission and Control,Electric Power Distribution,Gas Electric Power Generation,Geothermal Electric Power Generation,Hydroelectric Power Generation,Natural Gas Distribution,Nuclear Electric Power Generation,Other Electric Power Generation,Solar Electric Power Generation,"Water, Sewage and Other Systems",Wind Electric Power Generation,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
11-1010,0.0,0.0,0.000707321398901,0.0011794096061707,0.0017388767696061,0.0,0.0011941605548866046,0.0020564223225847202,0.0020564223225847202,0.0011941605548866044,0.0,0.0,0.0013480080228876288,0.0,0.0,0.0,0.00974454190409117,0.0,0.0048669655463226,0.0019040260071974,0.0038750635918006,0.0097068332668419,0.0024522059407828,0.0020940605717498,0.0085303008704435,0.0001681944099461,0.0020039489697387,0.0038076600462484,0.0031626501903361,0.0016975606140061,0.00583524709264,0.0044122920327484,0.0104936697087347,0.005988445475918,0.0008460907715773,0.0021301320780792,0.0056622095815535,0.0094599572546921,0.0057057280686135,0.00604922574069,0.0021830204785046,0.0,0.000885172050521,0.0015352641931134,0.0017580181030244,0.0030967375842809,0.0017854138941999,0.0015982389033003,0.004670920172702,0.0020237827625057,0.0028872767293841,0.0064968345971518,0.0026110664580476,0.0013742667393566,0.0048130135467406,0.0063841574694227,0.0041604837057306,0.0044879669673869,0.0002650171806786,0.0015806214615151,0.0029579559196364,0.0103025003200872,0.0135175637591825,0.0274318844622928,0.0076534112286159,0.0040171896148888,0.0145558640281197,0.005225466146609,0.0038110295180159,0.0089091019147864,0.0194623747388927,0.0119988804743596,0.0054647032934141,0.0020171751006845,0.0011844867023444,0.0092618667178644,0.0026846359407433,,0.0153810941044833,0.0025864364380107,0.0129030593959975,0.0002589203369292,0.002161384773409
11-1020,0.0,0.0,0.0121093423491868,0.0404215837751264,0.0598173608744504,0.06913696060037523,0.01721780493387336,0.022724473360073272,0.022724473360073272,0.01721780493387336,0.0,0.06397372742200329,0.018877202985165802,0.008128830064079245,0.24043478260869564,0.2079589216944801,0.14160957807798197,0.03611025085165686,0.0951307234806697,0.0237326957509147,0.0860672018810462,0.1456024990026298,0.0603750014385848,0.0278671137625167,0.1370247063872517,0.0029204665727008,0.0203585898518043,0.0456091453365841,0.0635615550448047,0.0181599507544839,0.0912098202097249,0.0541531888437911,0.0631812889627399,0.0529504652607489,0.0098938033773156,0.0232184396510636,0.0984961108605126,0.0911309215535345,0.1016400796416717,0.1966838535966016,0.1925238273064181,0.143383865937792,0.0126453150074442,0.0296424086516523,0.0214868879258548,0.0570226851726221,0.0534573924792801,0.027347643456473,0.0926267220688373,0.075508032725213,0.1624263286011796,0.0595695679259978,0.066741406049609,0.0205200341338132,0.0427251469924572,0.0512417856513142,0.0373981257548456,0.042623333987513,0.0039752577101804,0.0533706715364737,0.0316063067709305,0.0965779746500554,0.1093543321253052,0.1496682320012988,0.1392258818521485,0.1232249558613591,0.1189065836926726,0.0391773168688173,0.0112376511428675,0.0947676150581712,0.1726169796222434,0.1032232457246284,0.191954893580241,0.0786269103075347,0.0820158334148344,0.1277502632751296,0.017262785124983,,0.0711801502881135,0.0062296963668215,0.0474214601910518,0.0031489502248506,0.0262864367818067
11-1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053448467918359,,0.030622249457225,0.0,0.016650841236651,0.0,0.0
11-2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07316559816558e-05,8.323610960426055e-05,0.0,0.0,0.0,0.0,0.0007558494442165,0.0,0.0001148760555901,0.0,0.0,0.0,8.180252933607614e-05,0.000102611442622,0.000501190195044,0.0002363860056283,0.0,0.0,0.0003950378777828,0.0008198629620733,0.0007713115933307,0.0013022638747318,0.0002322362211175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003791373483029,0.0037211916471949,0.0020379055282323,0.0011863328262822,0.0014155922196296,0.0003370517918639,0.0001232735912809,0.0001976352426005,0.0,9.878884134469928e-05,0.0,0.0064257862821163,0.0012138220518449,0.0034512648496564,0.0004212886914834,0.0,0.0006064943345049,0.0001003143588354,0.0,0.0,0.0002678308450306,0.0025203127937011,0.0009778942735583,0.001115884098251,0.0,0.0005583394829918,2.8672931329141624e-05,,0.0001642759259576,0.0,0.0001295379273268,1.4966493464119271e-05,0.0001249355360352
11-2020,0.0,0.0,0.0012448856620659,0.0019299429919158,0.005425295521171,0.0,0.002938630098816786,0.003465401256987651,0.003465401256987651,0.0029386300988167857,0.0,0.0,0.005290218796770482,0.0011220863530794416,0.1926086956521739,0.08318356867779204,0.004545745566297458,0.004707339733663673,0.0049707633897276,0.0074184182684797,0.0106054371986123,0.0281498164738417,0.0063419119158177,0.0069802019058327,0.020299956501815,0.0003669696217006,0.0104409570525241,0.0135751358170595,0.0094879505710084,0.004579465842435,0.0138518949675755,0.0213944857866991,0.0443240078742077,0.0320697014302452,0.002565565565428,0.0062991048594628,0.0173816666224434,0.0343711780253815,0.0498929826173133,0.1176658423588383,0.0228055969137397,0.0216262605890232,0.0042151050024814,0.0067315430005744,0.0056647249986344,0.0042179701578999,0.0015753652007646,0.0031964778066007,0.015477371080733,0.0096304145250271,0.0372915607202612,0.048222983559141,0.0143290232453836,0.0140363141327457,0.042776623073171,0.0215217482393119,0.0205712805450016,0.0193764885766263,0.0004770309252216,0.012299210747415,0.0054776961474749,0.0332813244876221,0.0697947679810853,0.1082368506840615,0.0227897120726283,0.0088751863584754,0.0180600535163707,0.0043226369170901,0.0024212523718449,0.0080418442062674,0.006070832487361,0.022299289283399,0.0119073008603865,0.0310301616552115,0.0012535817599812,0.0089553273938688,0.0042826879840278,,0.0013263759947695,0.0006952786123684,0.0015478157571791,0.0004422598818647,0.0036918450898402
11-2030,0.0,0.0,0.0002546357036043,0.0,0.0,0.0,0.002635114291116441,0.0016051858636263146,0.0016051858636263146,0.002635114291116441,0.0,0.0,0.003630662091855955,0.0,0.0,0.0,0.0,0.0,0.0001268640308283,0.0001560677055079,0.0,0.0,0.0,0.0,0.0,0.0,0.0004084481976537,0.0,0.0,0.0,0.0001636050586721,0.0002565286065551,0.0013469486491808,0.0004727720112566,0.0,0.0003651654990992,0.0,0.001135194870563,0.0004746532882035,0.0001680340483525,0.0,0.0,0.0003793594502233,0.0022438476668581,0.0,0.0,0.0,0.0,0.0001583362770407,0.0,0.000223593820794,0.0024401256702917,0.0011463218596306,0.0012333163045508,0.0024193757935487,0.0012490742874957,0.0010324163269776,0.001515203526604,0.0,0.0001234860516808,0.0009312083450707,0.0053371200111792,0.0032368588049199,0.0110991381315242,0.0016751240828032,0.0002802690428992,0.0250347383631781,0.0009849046140205,0.0025841168811618,0.0022469858811629,0.0099543797403052,0.0125467745599468,0.0016681725843053,0.0010729654790875,6.909505763676028e-05,0.0141774437347924,0.0004226602469999,,0.0024215488344874,0.0010568234908,0.0038099182699544,0.0,0.0
11-3010,0.0,0.0,0.0017824499252307,0.0027876954327673,0.0041037491762704,0.0,0.004333807680442636,0.005826990493636106,0.005826990493636105,0.004333807680442635,0.0,0.0,0.006430527698306845,0.006167277611439125,0.04739130434782609,0.020154043645699615,0.006498495422242141,0.003979560235366986,0.0039097187682544,0.0027571961306411,0.0036711128764427,0.0087361499401577,0.0027904412429598,0.0045639781691983,0.0049670106334228,0.000397550423509,0.00326758558123,0.0035179467818599,0.002545547714173,0.0022502547674034,0.0047445467014924,0.0057718936474907,0.0099611551265004,0.0072491708392692,0.0011599631545818,0.0045949991969994,0.0048721338259879,0.0083247623841291,0.005765059729639,0.0103340939736787,0.0015327590593755,0.0013626302403652,0.0034563861020347,0.0101563631236737,0.0021486887925854,0.0042179701578999,0.0032557547482469,0.0033740599069674,0.0076001412979558,0.0094210576875265,0.0030622631978316,0.0058563016087002,0.0029294891968339,0.0029482132613549,0.0053277743538787,0.0077323646368785,0.0069033211117308,0.0080701057395214,0.0003180206168144,0.002543812664626,0.0120235430437075,0.0110778431276814,0.01210143803203,0.0333136175159327,0.0161694612064599,0.0072869951153798,0.0384113078519826,0.0107153974210568,0.0133766050318964,0.0214843386883125,0.0163376815468686,0.0118893016572422,0.0138055662149409,0.015665295994678,0.0007995285240825,0.0075977961018887,0.0078892105980345,,0.0239234422542834,0.0072308975686321,0.0214843582768558,0.0003217796094785,0.0026861140247568
11-3020,0.0,0.0,0.0018390356371428,0.0005360952755321,0.0011128811325479,0.0,0.0035277493058941773,0.004524997631304678,0.004524997631304677,0.0035277493058941773,0.0,0.0,0.004563271872041051,0.002241374485827014,0.06521739130434782,0.027727856225930683,0.0,0.00549705791266646,0.0010033791529148,0.0009260017193473,0.002651359299653,0.0048534166334209,0.0009301470809866,0.0013960403811665,0.006262752537794,0.0001834848108503,0.0034462816677035,0.0033937839542648,0.0016198939999282,0.0020133858445188,0.0033811712125578,0.0070288838196109,0.0365242354638348,0.0078007381857353,0.0009416171490134,0.0090378461027076,0.0043454166556108,0.0102798202167654,0.0074856778993769,0.0018903830439656,0.0003251307095645,0.0,0.0034985371520595,0.007322029228695,0.0009766767239024,0.0010678405463037,0.0008401947737411,0.0021309852044004,0.0045125838956613,0.0041173511375116,0.0037913734830296,0.051425648501399,0.0048400256295518,0.0093732039145866,0.0515790328752315,0.015781954489629,0.0091684733515175,0.0143038506832129,0.0002120137445429,0.0014077409891619,0.0064636814540204,0.0197393781906002,0.1683166578558348,0.064342594920121,0.0119264822422337,0.0016816142573953,0.0278987393872295,0.004204083583921,0.0063734311312688,0.0018527778318361,0.0048209552105514,0.0043831526846976,0.0024159740876146,0.00257511714981,3.948289007814873e-05,0.0043462897009363,0.0044107884183786,,0.0143102584389813,0.0049503837200635,0.0136478194222819,0.000105513778922,0.0008807955290481
11-3030,0.0,0.0,0.0053756426316483,0.0030021335429802,0.0077206128570511,0.0,0.0035277493058941773,0.0052975870890313624,0.005297587089031362,0.0035277493058941773,0.0,0.018817733990147783,0.006119997149227747,0.0011220863530794416,0.10130434782608697,0.0589216944801027,0.0129905883859402,0.010932177144626819,0.0089266145328288,0.003849670069197,0.0081580286143171,0.0174722998803155,0.0044816177538445,0.0048861413340829,0.0117696556313715,0.0005504544325509,0.0055140506683256,0.0091052740236374,0.0069424028568354,0.0046584221500632,0.0113978190874932,0.0122620673933359,0.0209246906430889,0.0154438857010517,0.002579212190776,0.0077901973141183,0.0098759469445701,0.0174063213486335,0.0119503853915415,0.0317164266265344,0.0010682866171405,0.0003956023278479,0.0034563861020347,0.0067315430005744,0.0044927129299514,0.0039243140076664,0.0029406817080939,0.0047947167099011,0.008273070475379,0.0053734921625151,0.0047732420004296,0.0163488419909548,0.0108900576664915,0.0043107341311445,0.0138728037523701,0.1066471522609477,0.0562898036186449,0.0317533956444842,0.0031272027320086,0.0038774620227794,0.0077235515679397,0.0383529161400363,0.0229522715257956,0.1133084276697069,0.0192288195612801,0.0084080712869767,0.0359179422545732,0.0083808087063415,0.0084146663147076,0.0098157804282382,0.0238369452077264,0.0129303004198579,0.0128851951339448,0.016695342854602,0.0007600456340043,0.0119550336358249,0.0062395192706103,,0.0254323470556726,0.0053397397429899,0.0193111957162654,0.000835878659971,0.006977649687566
11-3050,0.0,0.0,0.0015561070775824,0.01082912456575,0.0037559738223492,0.08067542213883677,0.007963060633502175,0.0017859962732526924,0.0017859962732526924,0.007963060633502175,0.0,0.0,0.005290218796770482,0.01793659232727985,0.030000000000000002,0.012836970474967908,0.008444842819642744,0.0,0.001136009730599,0.0153154441671839,0.043237551655881,0.0417393830474205,0.0269742653486114,0.0248065636961132,0.0370366227666094,0.0022476889329163,0.0185716289870691,0.0382421508992774,0.0331692580937694,0.0180415162930416,0.0504721606003589,0.0367862021800078,0.0356471526225077,0.0330940407879681,0.0167307626766743,0.0205101288660772,0.0426640908005429,0.0401732851415927,0.0042076036277211,0.0002520510725287,0.000185788976894,0.0,0.0003372084001985,0.0007085834737446,0.0005860060343414,0.0001868720956031,0.0,0.0037292241077008,0.0015833627704074,0.0044662792000125,0.0006707814623821,0.002074106819748,0.0001910536432717,0.0001761880435072,0.0002831184439259,0.0002081790479159,0.0,7.411321597519659e-05,0.0,7.409163100852446e-05,0.0,0.003526216604401,0.0020782104827042,0.0118282785927192,0.0016751240828032,0.0028961134432919,0.0004043295563366,0.0002188676920045,0.0003148713846793,0.0,0.0012945157509813,0.0,0.0,0.0002145930958175,6.909505763676028e-05,0.0014560617889786,0.0002208877672763,,0.0012655330592296,0.0,0.0007462186583662,0.0,0.0
