,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
11-1010,0.0,0.0,0.0007073213989010992,0.0011794096061707976,0.0017388767696061176,0.001803266802474109,0.004866965546322679,0.0019040260071974601,0.00387506359180066,0.009706833266841988,0.002452205940782857,0.002094060571749817,0.00853030087044357,0.00016819440994612187,0.002003948969738735,0.0038076600462484014,0.0031626501903361578,0.0016975606140061062,0.005835247092640098,0.004412292032748499,0.010493669708734703,0.005988445475918037,0.0008460907715773345,0.0021301320780792343,0.005662209581553537,0.009459957254692168,0.005705728068613572,0.006049225740690012,0.002183020478504621,0.0,0.0008851720505210993,0.001535264193113468,0.0017580181030244857,0.003096737584280976,0.001785413894199927,0.0015982389033003736,0.0046709201727020535,0.0020237827625057088,0.002887276729384149,0.006496834597151836,0.0026110664580476827,0.0013742667393566942,0.004813013546740665,0.006384157469422789,0.004160483705730666,0.0044879669673869044,0.00026501718067869763,0.0015806214615151884,0.002957955919636485,0.010302500320087293,0.013517563759182541,0.027431884462292836,0.007653411228615948,0.004017189614888887,0.01455586402811974,0.005225466146609012,0.003811029518015965,0.008909101914786484,0.01946237473889272,0.01199888047435968,0.005464703293414114,0.00201717510068457,0.0011844867023444619,0.009261866717864402,0.002684635940743334,,0.015381094104483376,0.00258643643801074,0.012903059395997554,0.00025892033692926335,0.002161384773409013
11-1020,0.0,0.0,0.012109342349186819,0.040421583775126425,0.05981736087445045,0.024481306916197414,0.09513072348066971,0.02373269575091479,0.08606720188104623,0.1456024990026298,0.06037500143858482,0.027867113762516795,0.13702470638725178,0.0029204665727008434,0.020358589851804346,0.04560914533658411,0.06356155504480474,0.018159950754483928,0.0912098202097249,0.054153188843791174,0.06318128896273999,0.05295046526074896,0.009893803377315605,0.02321843965106365,0.09849611086051269,0.09113092155353456,0.10164007964167175,0.19668385359660165,0.19252382730641818,0.14338386593779207,0.012645315007444275,0.029642408651652345,0.021486887925854826,0.057022685172622115,0.053457392479280164,0.02734764345647306,0.09262672206883733,0.075508032725213,0.16242632860117967,0.05956956792599782,0.06674140604960906,0.020520034133813207,0.04272514699245725,0.05124178565131428,0.037398125754845656,0.04262333398751306,0.003975257710180464,0.053370671536473784,0.03160630677093059,0.09657797465005541,0.10935433212530529,0.14966823200129883,0.13922588185214857,0.12322495586135913,0.11890658369267261,0.039177316868817307,0.011237651142867589,0.09476761505817126,0.17261697962224345,0.10322324572462847,0.19195489358024104,0.07862691030753473,0.08201583341483445,0.12775026327512967,0.017262785124983075,,0.07118015028811354,0.006229696366821568,0.04742146019105185,0.0031489502248506942,0.026286436781806723
11-1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053448467918359175,,0.030622249457225012,0.0,0.016650841236651,0.0,0.0
11-2010,0.0,0.0,0.0,0.0,0.0,5.880217834154703e-05,8.07316559816558e-05,8.323610960426055e-05,0.0,0.0,0.0,0.0,0.0007558494442165189,0.0,0.00011487605559011857,0.0,0.0,0.0,8.180252933607614e-05,0.00010261144262205812,0.0005011901950440456,0.00023638600562834357,0.0,0.0,0.0003950378777828049,0.0008198629620733213,0.0007713115933307775,0.0013022638747318778,0.00023223622111751287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003791373483029691,0.0037211916471949482,0.0020379055282323377,0.0011863328262822746,0.0014155922196296075,0.00033705179186393607,0.00012327359128090864,0.00019763524260052424,0.0,9.878884134469928e-05,0.0,0.006425786282116301,0.0012138220518449628,0.0034512648496564527,0.00042128869148344664,0.0,0.0006064943345049892,0.00010031435883542606,0.0,0.0,0.0002678308450306338,0.00252031279370112,0.000977894273558315,0.0011158840982510387,0.0,0.0005583394829918256,2.8672931329141624e-05,,0.00016427592595769428,0.0,0.0001295379273268921,1.4966493464119271e-05,0.00012493553603520305
11-2020,0.0,0.0,0.0012448856620659347,0.0019299429919158507,0.005425295521171087,0.003782940139972859,0.004970763389727665,0.0074184182684797215,0.010605437198612332,0.028149816473841762,0.006341911915817733,0.006980201905832724,0.020299956501815077,0.00036696962170062954,0.010440957052524109,0.013575135817059518,0.009487950571008473,0.004579465842435077,0.01385189496757556,0.021394485786699117,0.04432400787420778,0.032069701430245276,0.0025655655654280465,0.006299104859462878,0.017381666622443413,0.034371178025381546,0.04989298261731331,0.11766584235883837,0.022805596913739762,0.021626260589023203,0.004215105002481425,0.006731543000574438,0.005664724998634454,0.004217970157899951,0.0015753652007646415,0.0031964778066007472,0.015477371080733077,0.009630414525027166,0.03729156072026126,0.04822298355914109,0.014329023245383623,0.014036314132745724,0.04277662307317105,0.021521748239311918,0.020571280545001628,0.019376488576626397,0.0004770309252216557,0.01229921074741506,0.005477696147474972,0.033281324487622194,0.06979476798108536,0.10823685068406151,0.02278971207262835,0.00887518635847545,0.01806005351637079,0.004322636917090178,0.002421252371844901,0.008041844206267445,0.006070832487361032,0.02229928928339904,0.011907300860386544,0.031030161655211577,0.0012535817599812222,0.00895532739386889,0.004282687984027839,,0.0013263759947695316,0.0006952786123684785,0.0015478157571791374,0.00044225988186472444,0.0036918450898402503
11-2030,0.0,0.0,0.00025463570360439574,0.0,0.0,0.0020188747897264482,0.00012686403082831627,0.00015606770550798853,0.0,0.0,0.0,0.0,0.0,0.0,0.0004084481976537549,0.0,0.0,0.0,0.00016360505867215228,0.0002565286065551453,0.0013469486491808724,0.00047277201125668714,0.0,0.0003651654990992973,0.0,0.0011351948705630602,0.0004746532882035554,0.00016803404835250035,0.0,0.0,0.00037935945022332825,0.0022438476668581457,0.0,0.0,0.0,0.0,0.0001583362770407476,0.0,0.00022359382079405868,0.0024401256702917696,0.0011463218596306898,0.0012333163045508795,0.0024193757935487836,0.001249074287495763,0.00103241632697761,0.0015152035266040192,0.0,0.0001234860516808741,0.0009312083450707453,0.0053371200111792414,0.0032368588049199007,0.011099138131524272,0.0016751240828032283,0.00028026904289922474,0.025034738363178165,0.0009849046140205469,0.0025841168811618223,0.0022469858811629624,0.009954379740305221,0.012546774559946879,0.0016681725843053611,0.0010729654790875372,6.909505763676028e-05,0.014177443734792435,0.00042266024699993943,,0.002421548834487494,0.0010568234908000873,0.00380991826995444,0.0,0.0
11-3010,0.0,0.0,0.0017824499252307702,0.00278769543276734,0.004103749176270438,0.005684210573016214,0.003909718768254474,0.0027571961306411307,0.0036711128764427303,0.008736149940157789,0.0027904412429598023,0.004563978169198319,0.0049670106334228385,0.00039755042350901533,0.0032675855812300393,0.003517946781859936,0.002545547714173005,0.002250254767403443,0.004744546701492416,0.0057718936474907695,0.009961155126500405,0.007249170839269203,0.0011599631545818297,0.004594999196999491,0.004872133825987926,0.008324762384129108,0.005765059729639016,0.010334093973678772,0.0015327590593755848,0.001362630240365283,0.0034563861020347683,0.010156363123673712,0.0021486887925854826,0.004217970157899951,0.0032557547482469254,0.003374059906967455,0.007600141297955884,0.009421057687526576,0.0030622631978316733,0.005856301608700247,0.0029294891968339853,0.0029482132613549597,0.0053277743538787045,0.007732364636878534,0.006903321111730884,0.008070105739521407,0.00031802061681443717,0.0025438126646260065,0.012023543043707565,0.01107784312768149,0.012101438032030084,0.0333136175159327,0.016169461206459904,0.007286995115379843,0.03841130785198265,0.010715397421056875,0.013376605031896492,0.021484338688312538,0.01633768154686866,0.01188930165724224,0.01380556621494092,0.015665295994678044,0.0007995285240825117,0.007597796101888764,0.007889210598034583,,0.02392344225428348,0.007230897568632177,0.02148435827685587,0.0003217796094785643,0.0026861140247568657
11-3020,0.0,0.0,0.0018390356371428582,0.0005360952755321807,0.0011128811325479154,0.00415535393613599,0.001003379152914865,0.0009260017193473987,0.002651359299653083,0.004853416633420994,0.0009301470809866008,0.0013960403811665448,0.006262752537794013,0.00018348481085031477,0.0034462816677035568,0.0033937839542648794,0.0016198939999282759,0.00201338584451887,0.003381171212557814,0.007028883819610981,0.03652423546383482,0.0078007381857353375,0.0009416171490134852,0.009037846102707608,0.004345416655610853,0.01027982021676549,0.007485677899376904,0.001890383043965629,0.000325130709564518,0.0,0.0034985371520595827,0.007322029228695002,0.000976676723902492,0.0010678405463037848,0.0008401947737411421,0.002130985204400498,0.004512583895661306,0.004117351137511615,0.0037913734830296907,0.05142564850139904,0.004840025629551802,0.009373203914586684,0.051579032875231516,0.015781954489629005,0.009168473351517579,0.014303850683212941,0.0002120137445429581,0.0014077409891619648,0.006463681454020468,0.01973937819060024,0.16831665785583486,0.064342594920121,0.011926482242233763,0.0016816142573953482,0.027898739387229504,0.004204083583921037,0.006373431131268864,0.001852777831836127,0.004820955210551408,0.0043831526846976,0.002415974087614661,0.0025751171498100893,3.948289007814873e-05,0.004346289700936368,0.004410788418378661,,0.01431025843898137,0.004950383720063567,0.013647819422281991,0.00010551377892204084,0.0008807955290481815
11-3030,0.0,0.0,0.005375642631648354,0.003002133542980212,0.007720612857051163,0.005331397502966931,0.0089266145328288,0.0038496700691970503,0.008158028614317178,0.017472299880315578,0.004481617753844531,0.004886141334082906,0.011769655631371508,0.0005504544325509443,0.005514050668325691,0.009105274023637481,0.006942402856835468,0.004658422150063268,0.011397819087493277,0.012262067393335945,0.0209246906430889,0.01544388570105178,0.002579212190776068,0.007790197314118342,0.009875946944570122,0.01740632134863359,0.011950385391541597,0.03171642662653444,0.0010682866171405592,0.0003956023278479854,0.0034563861020347683,0.006731543000574438,0.004492712929951463,0.003924314007666409,0.002940681708093997,0.004794716709901121,0.008273070475379061,0.005373492162515158,0.004773242000429687,0.016348841990954856,0.010890057666491555,0.0043107341311445025,0.013872803752370154,0.10664715226094777,0.056289803618644906,0.03175339564448423,0.003127202732008632,0.0038774620227794467,0.007723551567939711,0.0383529161400363,0.02295227152579566,0.11330842766970692,0.019228819561280173,0.00840807128697674,0.03591794225457325,0.008380808706341504,0.008414666314707615,0.009815780428238205,0.023836945207726404,0.01293030041985792,0.012885195133944859,0.01669534285460208,0.0007600456340043631,0.011955033635824973,0.0062395192706103,,0.025432347055672672,0.005339739742989915,0.019311195716265443,0.0008358786599710613,0.006977649687566091
11-3050,0.0,0.0,0.0015561070775824183,0.01082912456575005,0.003755973822349214,0.005135390241828441,0.001136009730599014,0.015315444167183941,0.04323755165588104,0.041739383047420545,0.02697426534861142,0.02480656369611322,0.03703662276660943,0.002247688932916356,0.01857162898706917,0.03824215089927742,0.03316925809376946,0.01804151629304164,0.05047216060035898,0.03678620218000784,0.03564715262250774,0.0330940407879681,0.01673076267667439,0.0205101288660772,0.042664090800542925,0.04017328514159274,0.004207603627721101,0.0002520510725287505,0.00018578897689401028,0.0,0.000337208400198514,0.0007085834737446776,0.0005860060343414953,0.00018687209560316236,0.0,0.0037292241077008714,0.001583362770407476,0.004466279200012599,0.000670781462382176,0.002074106819748004,0.00019105364327178166,0.0001761880435072685,0.00028311844392592153,0.00020817904791596052,0.0,7.411321597519659e-05,0.0,7.409163100852446e-05,0.0,0.0035262166044010114,0.0020782104827042546,0.011828278592719297,0.0016751240828032283,0.0028961134432919887,0.0004043295563366595,0.00021886769200456596,0.0003148713846793817,0.0,0.0012945157509813966,0.0,0.0,0.00021459309581750745,6.909505763676028e-05,0.0014560617889786825,0.0002208877672763503,,0.001265533059229645,0.0,0.0007462186583662803,0.0,0.0
