Code,code_impute
10,11-1030
10,11-1010
30,11-2000
430,11-9190
430,11-9160
430,11-9130
430,11-9080
430,11-9060
730,13-1160
730,13-1190
730,13-1130
730,13-1190
1000,15-1110
1000,15-1120
1000,15-1134
1000,15-1190
1240,15-2090
1240,15-2020
1240,15-2040
1520,17-2170
1520,17-2150
1530,17-2020
1530,17-2030
1530,17-2160
1530,17-2199
1650,19-1040
1650,19-1090
1760,19-2090
1800,19-3010
1800,19-3020
1830,19-3050
1840,19-3040
1840,19-3090
1930,19-4040
1930,19-4050
2060,21-2090
2100,23-1000
2550,25-9010
2550,25-9020
2550,25-9030
2550,25-9090
2700,27-2010
2760,27-2090
2810,27-3020
2810,27-3041
2900,27-4010
2900,27-4090
3240,29-1080
3240,29-1129
3240,29-1128
3540,29-9000
3730,33-1090
3820,33-3020
3820,33-3030
3820,33-3040
3820,33-3050
4000,35-1011
4000,35-2010
4130,35-9010
4130,35-9090
4430,39-3020
4430,39-3090
4650,39-9090
4700,41-1010
4840,41-3090
5030,43-2090
5165,43-3090
5420,43-4190
5420,43-4020
5940,43-9190
5940,43-9030
6050,45-2090
6050,45-2020
6320,47-2073
6320,47-2072
6420,47-2141
6420,47-2142
6765,47-4090
6515,47-2230
6515,47-2180
6765,47-4070
7630,49-9097
7630,49-9080
7630,49-9092
7630,49-9093
7630,49-9097
7630,49-9099
7920,51-4022
7920,51-4021
7940,51-4022
7940,51-4023
7950,51-4032
7950,51-4031
7950,51-4035
8100,51-4060
8100,51-4070
8220,51-4199
8220,51-4191
8220,51-4192
8220,51-4080
8330,51-6042
8330,51-6041
8400,51-6061
8400,51-6061
8460,51-6099
8460,51-6092
8460,51-6091
8550,51-7030
8550,51-7090
8965,51-9199
8965,51-9140
8965,51-9193
9100,53-3010
9100,53-3020
9150,53-3090
9260,53-4020
9260,53-4040
9260,53-4090
9300,53-5010
9300,53-5030
9560,53-7040
9560,53-7010
9750,53-7190
9750,53-7110
9750,53-7120
