Code,BroadClassification,Label,EMP_2019,EMP_2010_2019_avg
10,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Chief executives and legislators/public administration,1554508.2400000005,1676257.463000002
20,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",General and Operations Managers,1113461.74,1090747.2469999979
30,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS","Managers in Marketing, Advertising, and Public Relations",1310263.8700000017,1255156.8850000019
100,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Administrative Services Managers,152527.34999999998,170646.59599999993
110,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Computer and Information Systems Managers,589228.03,694423.1559999983
120,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Financial Managers,1101359.1700000009,1328111.0180000027
130,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Human Resources Managers,405083.42000000004,361368.06200000015
140,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Industrial Production Managers,279103.86000000004,296069.2840000002
150,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Purchasing Managers,204376.43,233691.47599999988
160,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS","Transportation, Storage, and Distribution Managers",263026.56,292581.0539999998
205,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS","Farmers, Ranchers, and Other Agricultural Managers",711986.01,961132.3929999997
220,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Constructions Managers,874637.8600000001,974927.5259999977
230,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Education Administrators,978654.6699999998,985261.1600000024
300,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Architectural and Engineering Managers,158889.76000000004,130811.58000000003
310,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Food Service and Lodging Managers,1450159.77,1380826.883000002
320,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Funeral Directors,0.0,6686.644999999998
330,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Gaming Managers,30734.66,22583.562999999987
350,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Medical and Health Services Managers,680375.3200000005,672016.5610000021
360,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Natural Science Managers,9344.05,17695.389999999992
410,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS","Property, Real Estate, and Community Association Managers",866620.8099999998,764000.5580000002
420,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS",Social and Community Service Managers,461577.72999999975,420969.1100000008
430,"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS","Managers, nec (including Postmasters)",5228242.35,4480744.343999985
500,BUSINESS OPERATIONS SPECIALISTS,"Agents and Business Managers of Artists, Performers, and Athletes",57431.44,55589.59999999998
510,BUSINESS OPERATIONS SPECIALISTS,"Buyers and Purchasing Agents, Farm Products",10075.52,15442.023999999998
520,BUSINESS OPERATIONS SPECIALISTS,"Wholesale and Retail Buyers, Except Farm Products",204006.4400000001,226654.90399999995
530,BUSINESS OPERATIONS SPECIALISTS,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",264383.79,299490.32700000016
540,BUSINESS OPERATIONS SPECIALISTS,"Claims Adjusters, Appraisers, Examiners, and Investigators",335155.82,359423.1289999995
560,BUSINESS OPERATIONS SPECIALISTS,"Compliance Officers, Except Agriculture",282227.62999999995,259727.2130000001
600,BUSINESS OPERATIONS SPECIALISTS,Cost Estimators,142023.82000000004,137218.86799999993
620,BUSINESS OPERATIONS SPECIALISTS,"Human Resources, Training, and Labor Relations Specialists",1026436.6700000005,955171.9659999987
700,BUSINESS OPERATIONS SPECIALISTS,Logisticians,147831.76999999996,107722.65899999999
710,BUSINESS OPERATIONS SPECIALISTS,Management Analysts,1001875.7400000007,918012.0399999993
720,BUSINESS OPERATIONS SPECIALISTS,Meeting and Convention Planners,249242.06000000003,224701.47599999994
730,BUSINESS OPERATIONS SPECIALISTS,Other Business Operations and Management Specialists,668566.4600000009,550772.2989999991
800,FINANCIAL SPECIALISTS,Accountants and Auditors,1966946.6799999985,1995924.0320000048
810,FINANCIAL SPECIALISTS,Appraisers and Assessors of Real Estate,70374.51,85968.14000000006
820,FINANCIAL SPECIALISTS,Budget Analysts,27479.48,55924.20100000002
830,FINANCIAL SPECIALISTS,Credit Analysts,19408.73,30598.317999999992
840,FINANCIAL SPECIALISTS,Financial Analysts,363901.44999999984,230132.4780000002
850,FINANCIAL SPECIALISTS,Personal Financial Advisors,467599.31000000023,502593.2589999992
860,FINANCIAL SPECIALISTS,Insurance Underwriters,125400.24000000002,119683.59400000013
900,FINANCIAL SPECIALISTS,Financial Examiners,16397.39,13382.020000000002
910,FINANCIAL SPECIALISTS,Credit Counselors and Loan Officers,423094.89,386043.663
930,FINANCIAL SPECIALISTS,"Tax Examiners and Collectors, and Revenue Agents",61808.80999999998,77756.99899999992
940,FINANCIAL SPECIALISTS,Tax Preparers,122802.53999999995,172282.16800000006
950,FINANCIAL SPECIALISTS,"Financial Specialists, nec",28508.189999999995,80445.321
1000,COMPUTER AND MATHEMATICAL,Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,1708635.6700000006,1567827.0740000017
1010,COMPUTER AND MATHEMATICAL,Computer Programmers,491745.02,506519.51199999976
1020,COMPUTER AND MATHEMATICAL,"Software Developers, Applications and Systems Software",1790672.4200000016,1413774.254000003
1050,COMPUTER AND MATHEMATICAL,Computer Support Specialists,547665.6000000002,575444.8909999995
1060,COMPUTER AND MATHEMATICAL,Database Administrators,111161.24,119320.08699999982
1100,COMPUTER AND MATHEMATICAL,Network and Computer Systems Administrators,170951.81000000003,234255.906
1200,COMPUTER AND MATHEMATICAL,Actuaries,35287.10999999999,28495.351000000006
1220,COMPUTER AND MATHEMATICAL,Operations Research Analysts,179999.96000000002,145973.34700000007
1230,COMPUTER AND MATHEMATICAL,Statisticians,0.0,11033.902000000002
1240,COMPUTER AND MATHEMATICAL,"Mathematical science occupations, nec",115213.76,83841.72000000006
1300,ARCHITECTURE AND ENGINEERING,"Architects, Except Naval",229104.77999999997,229337.7989999997
1310,ARCHITECTURE AND ENGINEERING,"Surveyors, Cartographers, and Photogrammetrists",48794.46,42171.934
1320,ARCHITECTURE AND ENGINEERING,Aerospace Engineers,115910.26,150157.28199999992
1350,ARCHITECTURE AND ENGINEERING,Chemical Engineers,95849.83999999998,84492.50500000002
1360,ARCHITECTURE AND ENGINEERING,Civil Engineers,472261.24999999977,407754.28800000047
1400,ARCHITECTURE AND ENGINEERING,Computer Hardware Engineers,68356.34,87524.16399999993
1410,ARCHITECTURE AND ENGINEERING,Electrical and Electronics Engineers,300699.45999999996,346713.57799999975
1420,ARCHITECTURE AND ENGINEERING,Environmental Engineers,23423.77,46226.274
1430,ARCHITECTURE AND ENGINEERING,"Industrial Engineers, including Health and Safety",268863.33,207122.0080000002
1440,ARCHITECTURE AND ENGINEERING,Marine Engineers and Naval Architects,18677.719999999998,15946.542
1450,ARCHITECTURE AND ENGINEERING,Materials Engineers,34143.85,41274.742
1460,ARCHITECTURE AND ENGINEERING,Mechanical Engineers,340251.2399999999,343851.43400000036
1520,ARCHITECTURE AND ENGINEERING,"Petroleum, mining and geological engineers, including mining safety engineers",22529.929999999993,47172.357
1530,ARCHITECTURE AND ENGINEERING,"Engineers, nec",648121.9199999996,514920.10400000034
1540,COMPUTER AND MATHEMATICAL,Drafters,122725.54000000001,144834.252
1550,COMPUTER AND MATHEMATICAL,"Engineering Technicians, Except Drafters",538788.51,443757.6939999996
1560,COMPUTER AND MATHEMATICAL,Surveying and Mapping Technicians,66951.56,81371.77100000001
1600,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Agricultural and Food Scientists,43850.98,43251.94700000003
1610,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Biological Scientists,128798.20999999998,117325.345
1640,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Conservation Scientists and Foresters,19867.030000000002,27492.79599999999
1650,"LIFE, PHYSICAL, AND SOCIAL SCIENCE","Medical Scientists, and Life Scientists, All Other",201434.39000000007,171286.86000000004
1700,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Astronomers and Physicists,12924.199999999999,19424.894999999993
1710,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Atmospheric and Space Scientists,5011.320000000001,8880.084
1720,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Chemists and Materials Scientists,98173.47,115844.43800000005
1740,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Environmental Scientists and Geoscientists,131291.05000000002,114284.55299999997
1760,"LIFE, PHYSICAL, AND SOCIAL SCIENCE","Physical Scientists, nec",270367.4899999999,232049.55199999968
1800,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Economists and market researchers,39918.799999999996,54881.95699999998
1820,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Psychologists,244822.44999999987,228275.88899999976
1830,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Urban and Regional Planners,25740.069999999992,30321.134999999995
1840,"LIFE, PHYSICAL, AND SOCIAL SCIENCE","Social Scientists, nec",48350.689999999995,61059.65299999996
1900,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Agricultural and Food Science Technicians,19193.95,31203.147999999997
1910,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Biological Technicians,21776.88,26664.24300000001
1920,"LIFE, PHYSICAL, AND SOCIAL SCIENCE",Chemical Technicians,56741.91000000001,73790.78400000007
1930,"LIFE, PHYSICAL, AND SOCIAL SCIENCE","Geological and Petroleum Technicians, and Nuclear Technicians",21586.05,25420.087000000003
1960,"LIFE, PHYSICAL, AND SOCIAL SCIENCE","Life, Physical, and Social Science Technicians, nec",125867.62000000007,171103.6109999996
1980,"LIFE, PHYSICAL, AND SOCIAL SCIENCE","Professional, Research, or Technical Workers, nec",0.0,0.0
