Code,Label,EMP_2011_2019_avg
10,Chief executives,1549432.1475000076
20,General and operations managers,1002472.2437500018
40,Advertising and promotions managers,65394.02250000002
50,Marketing and sales managers,1038258.1987500009
60,Public relations managers,72888.44249999996
100,Administrative services managers,163116.44749999998
110,Computer and information systems managers,623760.4825000004
120,Financial managers,1197048.2387499984
135,Compensation and Benefits Managers,23532.723749999997
136,Human Resources Managers,271413.8087500001
137,Training and Development Managers,47340.04124999998
140,Industrial production managers,266961.9337500002
150,Purchasing managers,206363.03625000035
160,Transportation storage and distribution managers,272128.51250000024
205,Farmers Ranchers and Other Agricultural Managers,898893.4800000018
220,Construction managers,885214.9712500011
230,Education administrators,917442.0887500016
300,Engineering managers,125355.28749999985
310,Food service managers,1128472.7987499987
325,Funeral service managers,3432.3950000000004
330,Gaming managers,21336.567500000012
340,Lodging managers,156372.8375000001
350,Medical and health services managers,618664.7712500009
360,Natural sciences managers,16367.660000000002
410,Property real estate and community association managers,699301.8137500014
420,Social and community service managers,392423.8437499998
425,Emergency Management Directors,6441.504999999999
430,Managers all other,4196055.376250003
500,Agents and business managers of artists performers and athletes,45418.741250000014
510,Purchasing agents and buyers farm products,13130.313749999998
520,Wholesale and retail buyers except farm products,200671.3812499999
530,Purchasing agents except wholesale retail and farm products,275832.14375000045
540,Claims adjusters appraisers examiners and investigators,333356.7825000004
565,Compliance officers,241219.68125000017
600,Cost estimators,124496.53499999997
630,Human resource workers,665465.2837500002
640,Compensation benefits and job analysis specialists,70006.23
650,Training and development specialists,139395.28249999997
700,Logisticians,108555.34375000003
710,Management analysts,867578.5937500013
725,Meeting convention and event planners,141343.56375
726,Fundraisers,79551.02624999997
735,Market research analysts and marketing specialists,283043.3012499999
740,Business operations specialists all other,262495.64375000005
800,Accountants and auditors,1810142.7300000058
810,Appraisers and assessors of real estate,72432.61375
820,Budget analysts,52997.48875000003
830,Credit analysts,26932.997499999998
840,Financial analysts,229595.49374999994
850,Personal financial advisors,480151.6650000001
860,Insurance underwriters,108908.60499999997
900,Financial examiners,11723.847499999998
910,Loan counselors and officers,359370.3550000007
930,Tax examiners collectors and revenue agents,70693.87125000001
940,Tax preparers,159755.3399999999
950,Financial specialists all other,71496.87374999998
1005,Computer and information research scientists,20388.68125
1006,Computer systems analysts,549710.7799999996
1007,Information security analysts,71763.94375
1010,Computer programmers,457934.3512499995
1020,Software developers applications and systems software,1360112.0174999996
1030,Web developers,193717.2899999997
1050,Computer support specialists,525958.1199999999
1060,Database administrators,109444.89749999992
1105,Network and computer systems administrators,214734.89749999964
1106,Computer network architects,116572.42250000007
1107,Computer occupations all other,516212.2037499998
1200,Actuaries,23363.655000000002
1210,Mathematicians,965.315
1220,Operations research analysts,134569.30250000008
1230,Statisticians,9367.160000000002
1240,Miscellaneous mathematical science occupations,75307.72000000003
1300,Architects except naval,216584.71000000002
1310,Surveyors cartographers and photogrammetrists,42636.118750000016
1320,Aerospace engineers,133000.17124999998
1330,Agricultural engineers,828.1850000000001
1340,Biomedical engineers,13407.98875
1350,Chemical engineers,78412.3575
1360,Civil engineers,390864.76249999914
1400,Computer hardware engineers,78930.37125000003
1410,Electrical and electronics engineers,312603.0875
1420,Environmental engineers,38153.471249999995
1430,Industrial engineers including health and safety,201142.9312500001
1440,Marine engineers and naval architects,13547.153749999998
1450,Materials engineers,38344.62999999999
1460,Mechanical engineers,312357.63750000007
1500,Mining and geological engineers including mining safety engineers,12415.515000000003
1510,Nuclear engineers,11424.252499999999
1520,Petroleum engineers,28616.936250000002
1530,Engineers all other,466027.4437500001
