O*NET-SOC Code,Title,Green Occupational Category
11-1011.03,Chief Sustainability Officers,Green New & Emerging
11-1021.00,General and Operations Managers,Green Enhanced Skills
11-2011.01,Green Marketers,Green New & Emerging
11-2021.00,Marketing Managers,Green Enhanced Skills
11-3051.00,Industrial Production Managers,Green Increased Demand
11-3051.02,Geothermal Production Managers,Green New & Emerging
11-3051.03,Biofuels Production Managers,Green New & Emerging
11-3051.04,Biomass Power Plant Managers,Green New & Emerging
11-3051.05,Methane/Landfill Gas Collection System Operators,Green New & Emerging
11-3051.06,Hydroelectric Production Managers,Green New & Emerging
11-3071.01,Transportation Managers,Green Enhanced Skills
11-3071.02,Storage and Distribution Managers,Green Enhanced Skills
11-3071.03,Logistics Managers,Green New & Emerging
11-9013.02,Farm and Ranch Managers,Green Enhanced Skills
11-9021.00,Construction Managers,Green Enhanced Skills
11-9041.00,Architectural and Engineering Managers,Green Enhanced Skills
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Green New & Emerging
11-9121.00,Natural Sciences Managers,Green Increased Demand
11-9121.02,Water Resource Specialists,Green New & Emerging
11-9199.01,Regulatory Affairs Managers,Green New & Emerging
11-9199.02,Compliance Managers,Green New & Emerging
11-9199.04,Supply Chain Managers,Green New & Emerging
11-9199.09,Wind Energy Operations Managers,Green New & Emerging
11-9199.10,Wind Energy Project Managers,Green New & Emerging
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Green New & Emerging
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Green Increased Demand
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Green Enhanced Skills
13-1041.07,Regulatory Affairs Specialists,Green New & Emerging
13-1081.01,Logistics Engineers,Green New & Emerging
13-1081.02,Logistics Analysts,Green New & Emerging
13-1151.00,Training and Development Specialists,Green Enhanced Skills
13-1199.01,Energy Auditors,Green New & Emerging
13-1199.05,Sustainability Specialists,Green New & Emerging
13-2051.00,Financial Analysts,Green Enhanced Skills
13-2052.00,Personal Financial Advisors,Green Enhanced Skills
13-2099.01,Financial Quantitative Analysts,Green New & Emerging
13-2099.02,Risk Management Specialists,Green New & Emerging
13-2099.03,Investment Underwriters,Green New & Emerging
15-1133.00,"Software Developers, Systems Software",Green Increased Demand
15-1199.04,Geospatial Information Scientists and Technologists,Green New & Emerging
15-1199.05,Geographic Information Systems Technicians,Green New & Emerging
17-1011.00,"Architects, Except Landscape and Naval",Green Enhanced Skills
17-1012.00,Landscape Architects,Green Enhanced Skills
17-2011.00,Aerospace Engineers,Green Enhanced Skills
17-2041.00,Chemical Engineers,Green Increased Demand
17-2051.00,Civil Engineers,Green Enhanced Skills
17-2051.01,Transportation Engineers,Green New & Emerging
17-2071.00,Electrical Engineers,Green Enhanced Skills
17-2072.00,"Electronics Engineers, Except Computer",Green Enhanced Skills
17-2081.00,Environmental Engineers,Green Enhanced Skills
17-2081.01,Water/Wastewater Engineers,Green New & Emerging
17-2111.01,Industrial Safety and Health Engineers,Green Increased Demand
17-2112.00,Industrial Engineers,Green Increased Demand
17-2141.00,Mechanical Engineers,Green Enhanced Skills
17-2141.01,Fuel Cell Engineers,Green New & Emerging
17-2141.02,Automotive Engineers,Green New & Emerging
17-2161.00,Nuclear Engineers,Green Enhanced Skills
17-2199.01,Biochemical Engineers,Green New & Emerging
17-2199.02,Validation Engineers,Green New & Emerging
17-2199.03,Energy Engineers,Green New & Emerging
17-2199.04,Manufacturing Engineers,Green New & Emerging
17-2199.05,Mechatronics Engineers,Green New & Emerging
17-2199.06,Microsystems Engineers,Green New & Emerging
17-2199.07,Photonics Engineers,Green New & Emerging
17-2199.08,Robotics Engineers,Green New & Emerging
17-2199.09,Nanosystems Engineers,Green New & Emerging
17-2199.10,Wind Energy Engineers,Green New & Emerging
17-2199.11,Solar Energy Systems Engineers,Green New & Emerging
17-3011.01,Architectural Drafters,Green Increased Demand
17-3023.01,Electronics Engineering Technicians,Green Increased Demand
17-3023.03,Electrical Engineering Technicians,Green Enhanced Skills
17-3024.00,Electro-Mechanical Technicians,Green Enhanced Skills
17-3024.01,Robotics Technicians,Green New & Emerging
17-3025.00,Environmental Engineering Technicians,Green Enhanced Skills
17-3026.00,Industrial Engineering Technicians,Green Enhanced Skills
17-3027.01,Automotive Engineering Technicians,Green New & Emerging
17-3029.02,Electrical Engineering Technologists,Green New & Emerging
17-3029.03,Electromechanical Engineering Technologists,Green New & Emerging
17-3029.04,Electronics Engineering Technologists,Green New & Emerging
17-3029.05,Industrial Engineering Technologists,Green New & Emerging
17-3029.06,Manufacturing Engineering Technologists,Green New & Emerging
17-3029.07,Mechanical Engineering Technologists,Green New & Emerging
17-3029.08,Photonics Technicians,Green New & Emerging
17-3029.09,Manufacturing Production Technicians,Green New & Emerging
17-3029.10,Fuel Cell Technicians,Green New & Emerging
17-3029.11,Nanotechnology Engineering Technologists,Green New & Emerging
17-3029.12,Nanotechnology Engineering Technicians,Green New & Emerging
19-1013.00,Soil and Plant Scientists,Green Enhanced Skills
19-1023.00,Zoologists and Wildlife Biologists,Green Increased Demand
19-1031.01,Soil and Water Conservationists,Green Enhanced Skills
19-2021.00,Atmospheric and Space Scientists,Green Enhanced Skills
19-2031.00,Chemists,Green Increased Demand
19-2032.00,Materials Scientists,Green Increased Demand
19-2041.00,"Environmental Scientists and Specialists, Including Health",Green Increased Demand
19-2041.01,Climate Change Analysts,Green New & Emerging
19-2041.02,Environmental Restoration Planners,Green New & Emerging
19-2041.03,Industrial Ecologists,Green New & Emerging
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Green Enhanced Skills
19-2043.00,Hydrologists,Green Increased Demand
19-2099.01,Remote Sensing Scientists and Technologists,Green New & Emerging
19-3011.01,Environmental Economists,Green New & Emerging
19-3051.00,Urban and Regional Planners,Green Enhanced Skills
19-3099.01,Transportation Planners,Green New & Emerging
19-4011.01,Agricultural Technicians,Green Enhanced Skills
19-4031.00,Chemical Technicians,Green Increased Demand
19-4041.01,Geophysical Data Technicians,Green Enhanced Skills
19-4041.02,Geological Sample Test Technicians,Green Enhanced Skills
19-4051.01,Nuclear Equipment Operation Technicians,Green Enhanced Skills
19-4091.00,"Environmental Science and Protection Technicians, Including Health",Green Enhanced Skills
19-4093.00,Forest and Conservation Technicians,Green Increased Demand
19-4099.02,Precision Agriculture Technicians,Green New & Emerging
19-4099.03,Remote Sensing Technicians,Green New & Emerging
23-1022.00,"Arbitrators, Mediators, and Conciliators",Green Enhanced Skills
25-9021.00,Farm and Home Management Advisors,Green Increased Demand
27-1021.00,Commercial and Industrial Designers,Green Increased Demand
27-3022.00,Reporters and Correspondents,Green Enhanced Skills
27-3031.00,Public Relations Specialists,Green Enhanced Skills
29-9011.00,Occupational Health and Safety Specialists,Green Increased Demand
29-9012.00,Occupational Health and Safety Technicians,Green Enhanced Skills
33-3031.00,Fish and Game Wardens,Green Increased Demand
41-3031.03,Securities and Commodities Traders,Green New & Emerging
41-3099.01,Energy Brokers,Green New & Emerging
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Green Enhanced Skills
41-4011.07,Solar Sales Representatives and Assessors,Green New & Emerging
43-4051.00,Customer Service Representatives,Green Increased Demand
43-5011.01,Freight Forwarders,Green New & Emerging
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Green Increased Demand
43-5061.00,"Production, Planning, and Expediting Clerks",Green Increased Demand
43-5071.00,"Shipping, Receiving, and Traffic Clerks",Green Enhanced Skills
45-1011.05,First-Line Supervisors of Logging Workers,Green Increased Demand
45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers,Green Increased Demand
45-2011.00,Agricultural Inspectors,Green Increased Demand
45-4011.00,Forest and Conservation Workers,Green Increased Demand
47-1011.03,Solar Energy Installation Managers,Green New & Emerging
47-2011.00,Boilermakers,Green Increased Demand
47-2031.01,Construction Carpenters,Green Increased Demand
47-2031.02,Rough Carpenters,Green Increased Demand
47-2051.00,Cement Masons and Concrete Finishers,Green Increased Demand
47-2061.00,Construction Laborers,Green Enhanced Skills
47-2073.00,Operating Engineers and Other Construction Equipment Operators,Green Increased Demand
47-2111.00,Electricians,Green Increased Demand
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Green Increased Demand
47-2152.01,Pipe Fitters and Steamfitters,Green Enhanced Skills
47-2152.02,Plumbers,Green Enhanced Skills
47-2181.00,Roofers,Green Enhanced Skills
47-2211.00,Sheet Metal Workers,Green Enhanced Skills
47-2221.00,Structural Iron and Steel Workers,Green Increased Demand
47-2231.00,Solar Photovoltaic Installers,Green New & Emerging
47-3012.00,Helpers--Carpenters,Green Increased Demand
47-4011.00,Construction and Building Inspectors,Green Enhanced Skills
47-4041.00,Hazardous Materials Removal Workers,Green Enhanced Skills
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Green Increased Demand
47-4099.02,Solar Thermal Installers and Technicians,Green New & Emerging
47-4099.03,Weatherization Installers and Technicians,Green New & Emerging
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",Green Enhanced Skills
47-5041.00,Continuous Mining Machine Operators,Green Enhanced Skills
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Green Increased Demand
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Green Increased Demand
49-3023.02,Automotive Specialty Technicians,Green Enhanced Skills
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Green Enhanced Skills
49-9021.01,Heating and Air Conditioning Mechanics and Installers,Green Enhanced Skills
49-9021.02,Refrigeration Mechanics and Installers,Green Increased Demand
49-9041.00,Industrial Machinery Mechanics,Green Increased Demand
49-9044.00,Millwrights,Green Increased Demand
49-9051.00,Electrical Power-Line Installers and Repairers,Green Increased Demand
49-9071.00,"Maintenance and Repair Workers, General",Green Enhanced Skills
49-9081.00,Wind Turbine Service Technicians,Green New & Emerging
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",Green Increased Demand
49-9099.01,Geothermal Technicians,Green New & Emerging
51-1011.00,First-Line Supervisors of Production and Operating Workers,Green Increased Demand
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Green Enhanced Skills
51-2022.00,Electrical and Electronic Equipment Assemblers,Green Increased Demand
51-2031.00,Engine and Other Machine Assemblers,Green Increased Demand
51-2041.00,Structural Metal Fabricators and Fitters,Green Increased Demand
51-2092.00,Team Assemblers,Green Increased Demand
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Green Increased Demand
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Green Increased Demand
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Green Increased Demand
51-4041.00,Machinists,Green Enhanced Skills
51-4121.06,"Welders, Cutters, and Welder Fitters",Green Increased Demand
51-4121.07,Solderers and Brazers,Green Increased Demand
51-8011.00,Nuclear Power Reactor Operators,Green Enhanced Skills
51-8012.00,Power Distributors and Dispatchers,Green Increased Demand
51-8013.00,Power Plant Operators,Green Enhanced Skills
51-8021.00,Stationary Engineers and Boiler Operators,Green Increased Demand
51-8091.00,Chemical Plant and System Operators,Green Increased Demand
51-8099.01,Biofuels Processing Technicians,Green New & Emerging
51-8099.02,Methane/Landfill Gas Generation System Technicians,Green New & Emerging
51-8099.03,Biomass Plant Technicians,Green New & Emerging
51-8099.04,Hydroelectric Plant Technicians,Green New & Emerging
51-9011.00,Chemical Equipment Operators and Tenders,Green Increased Demand
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Green Enhanced Skills
