OCCLY,OCC,ASECWT,Observations,OCCLY_label,OCC_label,EMPOCCLY_unadj,EMPOCC_unadj,EMPOCC_incimp,transition_prob,transition_prob_adj,incoming_prob,transition_adj_networkers
10,10,12415024.9,6568,Chief executives,Chief executives,12633783.43,12680386.76,15079073.11,0.9826846382786222,0.9731611893318644,0.9790730468224299,12294707.7085
10,20,7142.53,4,Chief executives,General and operations managers,12633783.43,8101102.5,9721615.36,0.000565351625629378,0.0008762950197255359,0.0008816738215570041,11070.921499999999
10,50,10919.1,6,Chief executives,Marketing and sales managers,12633783.43,8254144.44,9764646.76,0.0008642779148858657,0.001339630768073092,0.0013228627242195437,16924.605000000003
10,100,3665.61,1,Chief executives,Administrative services managers,12633783.43,1308456.05,1547413.43,0.0002901434887110456,0.0004497224075021207,0.002801477359518495,5681.6955
10,110,13164.48,6,Chief executives,Computer and information systems managers,12633783.43,5396255.77,6284388.96,0.0010420061474807154,0.0016151095285951089,0.0024395581975907715,20404.943999999996
10,120,15866.71,9,Chief executives,Financial managers,12633783.43,9961552.1,11842484.67,0.001255895360872115,0.0019466378093517785,0.001592794962142496,24593.400499999996
10,136,6144.33,4,Chief executives,Human Resources Managers,12633783.43,2205423.85,2595660.06,0.0004863412479756272,0.0007538289343622223,0.0027860086849065316,9523.711500000001
10,205,3354.57,2,Chief executives,Farmers Ranchers and Other Agricultural Managers,12633783.43,7228455.36,8588148.1,0.0002655237853796264,0.00041156186733842093,0.0004640784002849538,5199.583500000001
10,220,2052.75,1,Chief executives,Construction managers,12633783.43,6798311.81,8250825.09,0.00016248101856214896,0.0002518455787713309,0.0003019499630747299,3181.7625
10,230,563.44,1,Chief executives,Education administrators,12633783.43,7669261.72,8909446.65,4.4597883375304946e-05,6.912671923172267e-05,7.3467306315894e-05,873.3320000000002
10,350,852.85,1,Chief executives,Medical and health services managers,12633783.43,5069310.67,6043699.1,6.750551050090305e-05,0.00010463354127639973,0.0001682378641828239,1321.9175
10,410,129.23,1,Chief executives,Property real estate and community association managers,12633783.43,5552245.52,6804110.33,1.0228923165892832e-05,1.585483090713389e-05,2.327526755337001e-05,200.3065
10,420,7546.78,4,Chief executives,Social and community service managers,12633783.43,3263337.33,3730879.0,0.0005973491663692386,0.0009258912078723199,0.0023125957376891834,11697.509
10,430,27627.92,17,Chief executives,Managers all other,12633783.43,33613457.56,40898904.77,0.0021868286846199324,0.0033895844611608952,0.0008219303221242318,42823.276
10,600,3176.79,1,Chief executives,Cost estimators,12633783.43,1040902.14,1208468.86,0.00025145199121083875,0.0003897505863768001,0.0030519583714180855,4924.0245
10,710,22394.66,10,Chief executives,Management analysts,12633783.43,6995878.92,8256046.57,0.0017726012262345707,0.0027475319006635846,0.003201121725531522,34711.723
10,726,4833.88,2,Chief executives,Fundraisers,12633783.43,644590.33,748954.4400000001,0.0003826153920385827,0.0005930538576598032,0.007499150662095722,7492.513999999999
10,735,3694.5600000000004,2,Chief executives,Market research analysts and marketing specialists,12633783.43,2222492.87,2670490.7,0.00029243496379928056,0.0004532741938888849,0.0016623495399560046,5726.568000000001
10,800,6024.51,4,Chief executives,Accountants and auditors,12633783.43,14958217.91,17785360.31,0.00047685715315447675,0.000739128587389439,0.00040275586545456335,9337.990500000002
10,850,6494.58,5,Chief executives,Personal financial advisors,12633783.43,3779232.42,4610968.5,0.0005140645346648941,0.0007968000287305859,0.0017184918200929278,10066.599
10,910,1355.35,1,Chief executives,Loan counselors and officers,12633783.43,2752663.67,3379673.32,0.0001072798190272603,0.0001662837194922535,0.0004923776249061331,2100.7925
