OCC,ASECWT,ASECWT_average_years
10,15079073.11,1675452.5677777778
20,9721615.36,1080179.4844444443
40,630737.78,70081.97555555556
50,9764646.76,1084960.7511111111
60,708488.17,78720.90777777779
100,1547413.43,171934.82555555555
110,6284388.96,698265.44
120,11842484.67,1315831.63
135,218075.2,24230.57777777778
136,2595660.06,288406.67333333334
137,438253.13,48694.792222222226
140,2636117.78,292901.97555555555
150,2060340.11,228926.6788888889
160,2609797.35,289977.48333333334
205,8588148.1,954238.6777777778
220,8250825.09,916758.3433333333
230,8909446.65,989938.5166666667
300,1205747.65,133971.9611111111
310,10832498.82,1203610.98
325,27459.16,3051.0177777777776
330,197077.56,21897.506666666668
340,1481454.36,164606.04
350,6043699.1,671522.1222222222
360,158504.08,17611.564444444444
410,6804110.33,756012.2588888889
420,3730879.0,414542.1111111111
425,55892.89,6210.321111111111
430,40898904.77,4544322.752222222
500,473655.1,52628.34444444444
510,145593.8,16177.088888888888
520,2048145.56,227571.7288888889
530,2630348.14,292260.90444444446
540,3277192.6,364132.51111111115
565,2380813.09,264534.78777777776
600,1208468.86,134274.3177777778
630,6409378.82,712153.2022222222
640,702615.32,78068.36888888889
650,1351552.06,150172.45111111112
700,973160.74,108128.97111111111
710,8256046.57,917338.5077777778
725,1371038.13,152337.56999999998
726,748954.4400000001,83217.16
735,2670490.7,296721.1888888889
740,2449590.19,272176.6877777778
800,17785360.31,1976151.1455555554
810,765914.56,85101.61777777778
820,488063.77,54229.30777777778
830,288643.21,32071.46777777778
840,2166084.87,240676.09666666668
850,4610968.5,512329.8333333333
860,1071443.5,119049.27777777778
900,118656.68000000001,13184.075555555557
910,3379673.32,375519.25777777773
930,662546.1,73616.23333333334
940,1517484.4,168609.37777777776
950,707029.16,78558.79555555555
1005,196966.97,21885.21888888889
1006,5277323.42,586369.2688888889
1007,687218.62,76357.62444444445
1010,4496157.1,499573.0111111111
1020,12889926.55,1432214.0611111112
1030,1870070.01,207785.55666666667
1050,5177193.22,575243.6911111111
1060,1087615.01,120846.11222222222
1105,2093863.19,232651.46555555554
1106,1156450.05,128494.45000000001
1107,4916306.73,546256.3033333333
1200,261471.98,29052.442222222224
1210,7722.52,858.0577777777778
1220,1318416.31,146490.70111111112
1230,73629.45999999999,8181.05111111111
1240,805862.59,89540.28777777778
1300,2040814.35,226757.15000000002
1310,378599.54,42066.61555555555
1320,1386476.99,154052.9988888889
1330,6625.48,736.1644444444444
1340,128850.73,14316.747777777777
1350,761000.52,84555.61333333334
1360,3733169.7,414796.63333333336
