"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2032",4
"battery_2","p1","2034",2.2
"battery_2","p3","2030",1.2
"battery_2","p5","2030",5
"battery_2","p5","2038",30
"battery_2","p6","2038",0.625
"battery_2","p9","2040",3.18823681419174
"battery_2","p9","2042",0.11305
"battery_2","p10","2040",6.79066774433437
"battery_2","p10","2042",0.902197540927926
"battery_2","p10","2044",26.2446905957929
"battery_2","p11","2040",7.44907944108765
"battery_2","p11","2042",47.8485653636663
"battery_2","p11","2044",7.73351249999916
"battery_2","p13","2038",165
"battery_2","p13","2040",280
"battery_2","p18","2038",200
"battery_2","p24","2038",0.00425
"battery_2","p28","2034",12
"battery_2","p28","2036",10
"battery_2","p28","2038",498
"battery_2","p30","2034",20
"battery_2","p31","2028",2.6
"battery_2","p31","2034",1
"battery_2","p31","2038",52
"battery_2","p33","2034",5
"battery_2","p33","2036",1
"battery_2","p34","2038",225
"battery_2","p38","2034",0.8
"battery_2","p39","2044",136.802999154576
"battery_2","p39","2046",56.1702205460241
"battery_2","p41","2038",0.102
"battery_2","p42","2050",49.5081430581603
"battery_2","p43","2034",15
"battery_2","p44","2030",1
"battery_2","p50","2036",10
"battery_2","p50","2038",0.3825
"battery_2","p51","2044",64.3821875
"battery_2","p51","2046",9.84937499999999
"battery_2","p52","2044",0.204779288771819
"battery_2","p52","2046",0.0200760767177769
"battery_2","p53","2044",15.0530049538913
"battery_2","p54","2028",1
"battery_2","p54","2038",4.5
"battery_2","p54","2044",0.8612625
"battery_2","p54","2046",0.323064934163152
"battery_2","p55","2034",1.2
"battery_2","p55","2044",17.5512666027607
"battery_2","p55","2046",29.2696429233264
"battery_2","p56","2046",204.517620519769
"battery_2","p58","2032",0.5
"battery_2","p59","2026",1
"battery_2","p60","2034",51.8
"battery_2","p60","2038",132
"battery_2","p61","2026",4
"battery_2","p62","2028",36
"battery_2","p62","2036",9.9
"battery_2","p62","2038",40
"battery_2","p63","2038",150
"battery_2","p64","2034",1.5
"battery_2","p64","2036",9.90000000000001
"battery_2","p64","2050",86.3231430361799
"battery_2","p65","2032",1
"battery_2","p65","2036",10
"battery_2","p65","2038",300
"battery_2","p65","2050",52.3059569638203
"battery_2","p66","2050",40.7104827374884
"battery_2","p67","2036",9.90000000000001
"battery_2","p67","2038",100
"battery_2","p67","2050",1.91590000000002
"battery_2","p68","2050",0.981856941839737
"battery_2","p70","2034",1.1
"battery_2","p71","2048",0.0365121937550144
"battery_2","p73","2038",4
"battery_2","p73","2048",36.1672351044185
"battery_2","p73","2050",158.470995913307
"battery_2","p75","2048",3.39701904040771
"battery_2","p76","2048",3.58476158871276
"battery_2","p80","2030",21.5
"battery_2","p80","2032",90.9
"battery_2","p80","2034",20
"battery_2","p80","2048",221.349723114625
"battery_2","p83","2034",0.3
"battery_2","p83","2048",0.7819840625
"battery_2","p85","2038",10
"battery_2","p85","2050",1.31852134920409
"battery_2","p87","2048",0.0127648955814692
"battery_2","p89","2034",1
"battery_2","p89","2048",179.04389136875
"battery_2","p92","2048",0.008925
"battery_2","p94","2032",1
"battery_2","p94","2036",2.70000000000002
"battery_2","p94","2038",80
"battery_2","p94","2050",118.02
"battery_2","p96","2034",4
"battery_2","p96","2048",26.4288020498179
"battery_2","p97","2036",8.8
"battery_2","p98","2034",1
"battery_2","p98","2048",110.446197950182
"battery_2","p99","2038",186.935
"battery_2","p99","2040",178.93
"battery_2","p99","2042",178.935
"battery_2","p99","2044",134.827876010963
"battery_2","p99","2046",176.554589898941
"battery_2","p101","2034",14
"battery_2","p101","2036",5
"battery_2","p101","2038",409
"battery_2","p101","2048",0.348075
"battery_2","p102","2048",72.971925
"battery_2","p102","2050",14.62
"battery_2","p103","2048",151.3323
"battery_2","p104","2034",1
"battery_2","p104","2048",338.044988084241
"battery_2","p105","2024",1
"battery_2","p105","2026",1
"battery_2","p106","2032",20
"battery_2","p106","2048",60.7290652840407
"battery_2","p107","2036",11
"battery_2","p108","2048",20.47718363125
"battery_2","p109","2032",4
"battery_2","p111","2030",20
"battery_2","p111","2048",0.187425
"battery_2","p112","2024",1
"battery_2","p112","2026",1
"battery_2","p112","2030",4
"battery_2","p112","2032",7
"battery_2","p112","2048",0.0461125
"battery_2","p113","2032",10
"battery_2","p113","2048",138.829959131719
"battery_2","p114","2032",6
"battery_2","p114","2048",0.22015
"battery_2","p116","2028",16
"battery_2","p116","2032",31.5
"battery_2","p117","2024",1
"battery_2","p117","2026",1
"battery_2","p118","2038",40
"battery_2","p118","2040",26.665
"battery_2","p118","2042",26.67
"battery_2","p118","2044",26.665
"battery_2","p118","2046",18.214954870513
"battery_2","p118","2048",15.9994945266187
"battery_2","p121","2032",5
"battery_2","p121","2034",2
"battery_2","p122","2030",2
"battery_2","p122","2032",28.4
"battery_2","p126","2032",1.5
"battery_2","p126","2034",20.8
"battery_2","p126","2036",19.8000000000001
"battery_2","p126","2038",251.096669601452
"battery_2","p126","2040",156.086794011415
"battery_2","p126","2042",156.075398425456
"battery_2","p126","2046",78.2852043108438
"battery_2","p127","2026",8
"battery_2","p127","2034",2
"battery_2","p127","2036",33.9
"battery_2","p127","2038",297.0573482856
"battery_2","p127","2040",138.151435790012
"battery_2","p127","2042",176.884109343599
"battery_2","p127","2044",111.388196363434
"battery_2","p128","2034",5
"battery_2","p128","2036",5
"battery_2","p128","2038",90
"battery_2","p128","2040",50
"battery_2","p128","2042",50
"battery_2","p128","2044",50
"battery_2","p129","2032",2
"battery_2","p129","2034",1
"battery_2","p129","2036",7.9
"battery_2","p131","2034",7.90000000000001
"battery_2","p131","2036",76
"battery_2","p131","2038",51.9
"battery_2","p132","2032",0.8
"battery_2","p132","2034",0.8
"battery_2","p133","2038",0.374909988684292
"battery_2","p134","2032",16.2
"battery_2","p134","2038",2.3
"battery_4","p1","2040",6.45574102526012
"battery_4","p1","2046",8.06940885765351
"battery_4","p1","2048",0.252491139475921
"battery_4","p1","2050",135.024937031201
"battery_4","p2","2040",3.4915791973479
"battery_4","p2","2048",137.631882515724
"battery_4","p2","2050",160.610705578746
"battery_4","p6","2044",0.33096875
"battery_4","p6","2050",0.150913691960314
"battery_4","p7","2040",1.31651
"battery_4","p9","2028",1
"battery_4","p9","2030",3
"battery_4","p9","2034",0.25
"battery_4","p9","2036",306.2
"battery_4","p9","2038",326.9
"battery_4","p10","2028",0.5
"battery_4","p10","2032",50
"battery_4","p10","2034",16.65
"battery_4","p10","2036",25.5000000000001
"battery_4","p10","2038",400.4
"battery_4","p11","2028",0.5
"battery_4","p11","2030",1.00000000000001
"battery_4","p11","2032",1.49999999999999
"battery_4","p11","2034",39.75
"battery_4","p11","2036",126
"battery_4","p11","2038",41.25
"battery_4","p11","2046",3.07612774937024
"battery_4","p11","2048",22.6442125
"battery_4","p12","2046",5.54942637220419
"battery_4","p12","2048",8.7076443696057
"battery_4","p13","2044",0.342521028474067
"battery_4","p13","2048",41.1515414715259
"battery_4","p18","2046",1.17370380609464
"battery_4","p18","2048",0.453125119480539
"battery_4","p21","2044",2.28945649332886
"battery_4","p21","2046",45.78153125
"battery_4","p21","2048",88.5946412085784
"battery_4","p22","2048",2.20645648750001
"battery_4","p22","2050",7.6968897625
"battery_4","p23","2044",0.00892499999999999
"battery_4","p23","2046",0.0595
"battery_4","p23","2048",0.087588162087612
"battery_4","p23","2050",0.0104958795080095
"battery_4","p24","2046",1.30081875
"battery_4","p24","2048",2.66448202423812
"battery_4","p25","2044",0.683506250000306
"battery_4","p25","2048",26.7940105475097
"battery_4","p26","2044",0.333827401386092
"battery_4","p27","2044",0.543135858531704
"battery_4","p27","2046",7.24039004859783
"battery_4","p27","2048",3.65942920644139
"battery_4","p29","2048",14.0981073740694
"battery_4","p29","2050",11.0575611828993
"battery_4","p30","2046",1.34539773681374
"battery_4","p30","2048",121.307125547043
"battery_4","p30","2050",20
"battery_4","p31","2044",2.59118452411114
"battery_4","p31","2046",1.48824375
"battery_4","p31","2048",7.77739266683426
"battery_4","p33","2040",0.447737500000073
"battery_4","p33","2050",139.082199021706
"battery_4","p34","2046",12.4300740664541
"battery_4","p34","2050",12.3834316319132
"battery_4","p35","2044",0.00520625
"battery_4","p37","2046",3.7380875
"battery_4","p39","2046",231.068766414791
"battery_4","p39","2048",66.4532384578196
"battery_4","p39","2050",51.3583955925015
"battery_4","p41","2046",175.112577059592
"battery_4","p41","2048",178.179430227664
"battery_4","p42","2038",0.0164932632085311
"battery_4","p42","2046",167.73639349885
"battery_4","p42","2048",217.40291600812
"battery_4","p43","2038",0.755788779680354
"battery_4","p43","2046",0.192212735315294
"battery_4","p45","2044",0.69094375
"battery_4","p47","2048",15.20001875
"battery_4","p51","2048",2.1896
"battery_4","p51","2050",8.96627771302692
"battery_4","p52","2040",0.598397746828182
"battery_4","p53","2046",49.04213125
"battery_4","p53","2048",90.0249875
"battery_4","p54","2046",0.182080032918424
"battery_4","p54","2048",0.51393125
"battery_4","p55","2048",20.8678452369564
"battery_4","p55","2050",8.75659991233249
"battery_4","p59","2044",0.3219581271472
"battery_4","p59","2046",0.287215630172414
"battery_4","p59","2048",0.236842569484467
"battery_4","p59","2050",0.0770560330811353
"battery_4","p60","2046",49.15325
"battery_4","p60","2048",617.316427058438
"battery_4","p63","2048",43.58945
