"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2032",4
"battery_2","p1","2034",2.2
"battery_2","p3","2030",1.2
"battery_2","p5","2030",5
"battery_2","p5","2038",30
"battery_2","p6","2038",0.625
"battery_2","p9","2040",7.5447923353456
"battery_2","p10","2040",14.4221656977918
"battery_2","p10","2042",0.746199062498818
"battery_2","p10","2044",14.8372757472829
"battery_2","p10","2046",3.47502170830558
"battery_2","p11","2040",3.51664750963923
"battery_2","p11","2042",0.23768207960029
"battery_2","p11","2044",2.25586246399999
"battery_2","p11","2046",3.11935339553583
"battery_2","p13","2038",165
"battery_2","p13","2040",280
"battery_2","p18","2038",200
"battery_2","p28","2034",12
"battery_2","p28","2036",10
"battery_2","p28","2038",498
"battery_2","p30","2034",20
"battery_2","p31","2028",2.6
"battery_2","p31","2034",1
"battery_2","p31","2038",52
"battery_2","p33","2034",5
"battery_2","p33","2036",1
"battery_2","p34","2038",225
"battery_2","p38","2034",0.8
"battery_2","p39","2046",83.6388914212657
"battery_2","p40","2046",0.303335552976466
"battery_2","p43","2034",15
"battery_2","p44","2030",1
"battery_2","p50","2036",10
"battery_2","p50","2038",0.1462
"battery_2","p54","2028",1
"battery_2","p54","2038",4.5
"battery_2","p54","2046",0.426573025757875
"battery_2","p55","2034",1.2
"battery_2","p58","2032",0.5
"battery_2","p59","2026",1
"battery_2","p60","2034",51.8
"battery_2","p60","2038",132
"battery_2","p61","2026",4
"battery_2","p62","2028",36
"battery_2","p62","2036",9.9
"battery_2","p62","2038",40
"battery_2","p63","2038",150
"battery_2","p64","2034",1.5
"battery_2","p64","2036",9.9
"battery_2","p65","2032",1
"battery_2","p65","2036",10
"battery_2","p65","2038",300
"battery_2","p67","2036",9.90000000000001
"battery_2","p67","2038",100
"battery_2","p70","2034",1.1
"battery_2","p73","2038",4
"battery_2","p73","2046",35.68
"battery_2","p73","2050",0.454999999999998
"battery_2","p75","2048",0.798999999999999
"battery_2","p75","2050",4.5611
"battery_2","p76","2048",3.0464
"battery_2","p76","2050",0.255456274261821
"battery_2","p78","2048",110.142618340974
"battery_2","p78","2050",0.592039382742573
"battery_2","p79","2048",60.1299758808875
"battery_2","p79","2050",16.1164043429956
"battery_2","p80","2030",21.5
"battery_2","p80","2032",90.9
"battery_2","p80","2034",20
"battery_2","p80","2048",4.92200577813816
"battery_2","p83","2034",0.3
"battery_2","p85","2038",10
"battery_2","p89","2034",1
"battery_2","p94","2032",1
"battery_2","p94","2036",2.7
"battery_2","p94","2038",80
"battery_2","p96","2034",4
"battery_2","p96","2050",27.2118338949247
"battery_2","p97","2036",8.8
"battery_2","p98","2034",1
"battery_2","p98","2050",14.1681661050753
"battery_2","p99","2038",186.935
"battery_2","p99","2040",178.93
"battery_2","p99","2042",178.935
"battery_2","p99","2044",178.935
"battery_2","p99","2046",178.93
"battery_2","p99","2048",178.935
"battery_2","p99","2050",178.935
"battery_2","p101","2034",14
"battery_2","p101","2036",5
"battery_2","p101","2038",409
"battery_2","p104","2034",1
"battery_2","p105","2024",1
"battery_2","p105","2026",1
"battery_2","p106","2032",20
"battery_2","p107","2036",11
"battery_2","p109","2032",4
"battery_2","p111","2030",20
"battery_2","p112","2024",1
"battery_2","p112","2026",1
"battery_2","p112","2030",4
"battery_2","p112","2032",7
"battery_2","p113","2032",10
"battery_2","p114","2032",6
"battery_2","p116","2028",16
"battery_2","p116","2032",31.5
"battery_2","p117","2024",1
"battery_2","p117","2026",1
"battery_2","p118","2038",40
"battery_2","p118","2040",26.665
"battery_2","p118","2042",26.67
"battery_2","p118","2044",26.665
"battery_2","p118","2046",26.665
"battery_2","p118","2048",26.67
"battery_2","p118","2050",13.33
"battery_2","p121","2032",5
"battery_2","p121","2034",2
"battery_2","p122","2030",2
"battery_2","p122","2032",28.4
"battery_2","p126","2032",1.49999999999995
"battery_2","p126","2034",20.8000000000001
"battery_2","p126","2036",19.8
"battery_2","p126","2038",239.102821654724
"battery_2","p126","2040",156.229965491797
"battery_2","p126","2042",156.215501945544
"battery_2","p126","2044",156.21068076346
"battery_2","p126","2046",78.4212172172069
"battery_2","p126","2048",2.13639603512274
"battery_2","p126","2050",21.4267536709541
"battery_2","p127","2026",8
"battery_2","p127","2034",2
"battery_2","p127","2036",33.8999999999999
"battery_2","p127","2038",356.1
"battery_2","p127","2040",177.890113023791
"battery_2","p127","2042",153.872990408529
"battery_2","p127","2044",16.716920045799
"battery_2","p128","2034",4.99999999999999
"battery_2","p128","2036",5
"battery_2","p128","2038",90
"battery_2","p128","2040",50
"battery_2","p128","2042",50
"battery_2","p128","2044",50
"battery_2","p128","2046",50
"battery_2","p128","2050",4.13548979693766
"battery_2","p129","2032",2
"battery_2","p129","2034",1
"battery_2","p129","2036",7.9
"battery_2","p131","2034",7.90000000000001
"battery_2","p131","2036",76
"battery_2","p131","2038",51.9
"battery_2","p132","2032",0.8
"battery_2","p132","2034",0.8
"battery_2","p133","2038",0.3614625
"battery_2","p134","2032",16.2
"battery_2","p134","2038",2.3
"battery_4","p1","2040",6.92781270047047
"battery_4","p2","2040",2.85687916270219
"battery_4","p2","2050",0.319600000000013
"battery_4","p6","2050",0.21791875
"battery_4","p7","2040",0.0718456948873573
"battery_4","p9","2028",1
"battery_4","p9","2030",3
"battery_4","p9","2034",0.25
"battery_4","p9","2036",306.2
"battery_4","p9","2038",326.9
"battery_4","p9","2040",0.965628635896238
"battery_4","p10","2028",0.5
"battery_4","p10","2032",50
"battery_4","p10","2034",16.65
"battery_4","p10","2036",25.5
"battery_4","p10","2038",400.4
"battery_4","p11","2028",0.5
"battery_4","p11","2030",1
"battery_4","p11","2032",1.5
"battery_4","p11","2034",39.75
"battery_4","p11","2036",126
"battery_4","p11","2038",41.25
"battery_4","p12","2046",13.2392366654442
"battery_4","p14","2050",0.0020574015019031
"battery_4","p20","2050",0.308353636198577
"battery_4","p21","2046",1.35393847753154
"battery_4","p21","2048",0.223554438213114
"battery_4","p21","2050",0.827899999999758
"battery_4","p23","2046",0.00281799302656793
"battery_4","p23","2048",0.00148750000000586
"battery_4","p23","2050",0.0111562499999993
"battery_4","p25","2050",0.229818750000127
"battery_4","p29","2050",0.1353625
"battery_4","p30","2048",0.03808926907546
"battery_4","p30","2050",0.657209619065821
"battery_4","p34","2046",104.556123764596
"battery_4","p34","2048",1.36255
"battery_4","p34","2050",69.0613912965096
"battery_4","p37","2048",34.4027976732232
"battery_4","p37","2050",8.04628036103647
"battery_4","p39","2046",41.0253953404266
"battery_4","p39","2050",57.3688915115489
"battery_4","p40","2044",0.258399221217786
"battery_4","p40","2046",1.25760240541192
"battery_4","p40","2048",35.3950739411481
"battery_4","p40","2050",7.38094077387601
"battery_4","p41","2044",27.0257953319089
"battery_4","p41","2046",0.967231829911492
"battery_4","p41","2048",1.93995174476782
"battery_4","p41","2050",1.61011210136254
"battery_4","p42","2042",5.15599
"battery_4","p42","2044",69.549584326212
"battery_4","p42","2046",80.2281402103616
"battery_4","p42","2048",0.00510204081632537
"battery_4","p43","2038",0.6222
"battery_4","p45","2046",0.0947289091799206
"battery_4","p45","2048",0.0720352321026212
"battery_4","p45","2050",8.99640000000002
"battery_4","p46","2046",0.0128587593868944
"battery_4","p46","2048",0.21791875
"battery_4","p46","2050",0.123719638963541
"battery_4","p48","2046",84.5394581571213
"battery_4","p48","2050",144.049510220659
"battery_4","p50","2050",4.10996249999999
"battery_4","p51","2046",0.043371111061397
"battery_4","p51","2050",0.853061249066144
"battery_4","p52","2046",0.795329190131426
"battery_4","p52","2048",6.44669550485884
"battery_4","p52","2050",3.48758292066563
"battery_4","p53","2044",0.195967493056287
"battery_4","p53","2046",1.66766074235584
"battery_4","p53","2048",55.8900085249098
"battery_4","p53","2050",5.55133216747248
"battery_4","p54","2048",1.58718238864314
"battery_4","p54","2050",0.729854445076404
"battery_4","p55","2046",2.0799515473065
"battery_4","p55","2048",40.3498701430158
"battery_4","p57","2046",0.168192572780583
"battery_4","p57","2050",0.0233352778683127
"battery_4","p59","2046",0.105612500000001
"battery_4","p59","2048",0.172149006874981
"battery_4","p59","2050",0.284248346934864
"battery_4","p66","2046",26.0007247027857
"battery_4","p67","2050",53.7325000000001
"battery_4","p69","2044",0.187993917200183
"battery_4","p69","2046",0.157855939816935
"battery_4","p69","2048",1.20000736880953
"battery_4","p69","2050",0.691712122771541
"battery_4","p70","2044",0.0370480819577779
"battery_4","p70","2046",53.1247860177932
"battery_4","p70","2048",20.4428803394039
"battery_4","p70","2050",10.0256964243699
"battery_4","p71","2046",0.00608303114218796
"battery_4","p72","2046",0.00360045262833042
"battery_4","p72","2048",0.00720090525666084
"battery_4","p72","2050",0.0178370087336244
"battery_4","p73","2048",156.548362479837
"battery_4","p73","2050",83.6833154406892
"battery_4","p74","2038",0.0580125
"battery_4","p74","2046",0.101404551229492
"battery_4","p74","2048",0.060243750000005
"battery_4","p74","2050",0.0862750000000005
"battery_4","p75","2038",0.517104228994473
"battery_4","p75","2046",0.0485425395
"battery_4","p76","2046",0.249900000000004
"battery_4","p76","2050",12.1633050340184
"battery_4","p77","2038",3.60040824
"battery_4","p78","2046",63.6627883495282
"battery_4","p80","2038",0.181412155003898
"battery_4","p80","2046",45.6119953256604
"battery_4","p80","2048",101.668034367152
