"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2032",4
"battery_2","p1","2034",2.2
"battery_2","p3","2030",1.2
"battery_2","p5","2030",5
"battery_2","p5","2038",30
"battery_2","p6","2038",0.625
"battery_2","p9","2040",0.598904977903068
"battery_2","p9","2042",0.0981750000004814
"battery_2","p10","2040",17.3890938535596
"battery_2","p10","2042",0.5012875
"battery_2","p11","2040",11.3797370081283
"battery_2","p11","2042",70.2228016604085
"battery_2","p11","2044",0.0799999999999841
"battery_2","p13","2038",165
"battery_2","p13","2040",280
"battery_2","p18","2038",200
"battery_2","p24","2038",0.0187
"battery_2","p28","2034",12
"battery_2","p28","2036",10
"battery_2","p28","2038",498
"battery_2","p30","2034",20
"battery_2","p31","2028",2.6
"battery_2","p31","2034",1
"battery_2","p31","2038",52
"battery_2","p33","2034",5
"battery_2","p33","2036",1
"battery_2","p34","2038",225
"battery_2","p38","2034",0.8
"battery_2","p39","2044",251.132118467866
"battery_2","p40","2038",0.0578
"battery_2","p41","2038",0.112625
"battery_2","p43","2034",15
"battery_2","p44","2030",1
"battery_2","p47","2044",62.2324111319173
"battery_2","p50","2036",10
"battery_2","p50","2038",0.46911325995268
"battery_2","p50","2040",0.1445
"battery_2","p51","2040",0.0675599218187415
"battery_2","p51","2044",50.3025688679828
"battery_2","p52","2038",0.155125
"battery_2","p54","2028",1
"battery_2","p54","2038",4.5
"battery_2","p54","2044",0.440411390160056
"battery_2","p55","2034",1.2
"battery_2","p55","2044",20.8507669603025
"battery_2","p55","2050",0.455000000000013
"battery_2","p58","2032",0.5
"battery_2","p59","2026",1
"battery_2","p60","2034",51.8
"battery_2","p60","2038",132
"battery_2","p61","2026",4
"battery_2","p62","2028",36
"battery_2","p62","2036",9.9
"battery_2","p62","2038",40
"battery_2","p63","2038",150
"battery_2","p64","2034",1.5
"battery_2","p64","2036",9.9
"battery_2","p65","2032",1
"battery_2","p65","2036",10
"battery_2","p65","2038",300
"battery_2","p67","2036",9.90000000000001
"battery_2","p67","2038",100
"battery_2","p70","2034",1.1
"battery_2","p73","2038",4
"battery_2","p73","2046",185.777675
"battery_2","p73","2048",0.514999999999973
"battery_2","p79","2046",41.4961692786528
"battery_2","p80","2030",21.5
"battery_2","p80","2032",90.9
"battery_2","p80","2034",20
"battery_2","p80","2046",46.8438307213472
"battery_2","p83","2034",0.3
"battery_2","p84","2046",0.437325
"battery_2","p85","2038",10
"battery_2","p89","2034",1
"battery_2","p89","2048",2.22601804994849
"battery_2","p93","2048",0.0073867178626088
"battery_2","p94","2032",1
"battery_2","p94","2036",2.70000000000002
"battery_2","p94","2038",80
"battery_2","p96","2034",4
"battery_2","p96","2048",1.16389949356007
"battery_2","p96","2050",3.72148749999999
"battery_2","p97","2036",8.8
"battery_2","p98","2034",0.999999999999998
"battery_2","p98","2046",36.405
"battery_2","p98","2048",49.08110050644
"battery_2","p98","2050",1.1885125
"battery_2","p99","2038",186.935
"battery_2","p99","2040",178.93
"battery_2","p99","2044",102.319892901548
"battery_2","p99","2046",178.929999999999
"battery_2","p101","2034",14
"battery_2","p101","2036",5
"battery_2","p101","2038",409
"battery_2","p101","2042",174.301466934922
"battery_2","p101","2048",85.7764422197031
"battery_2","p101","2050",125.276943594642
"battery_2","p102","2042",0.148533065077969
"battery_2","p104","2034",1
"battery_2","p105","2024",1
"battery_2","p105","2026",1
"battery_2","p105","2048",1.02640317163395
"battery_2","p106","2032",20
"battery_2","p106","2048",36.7533683101203
"battery_2","p107","2036",11
"battery_2","p108","2048",16.9122724343562
"battery_2","p109","2032",4
"battery_2","p109","2048",29.9843227978327
"battery_2","p109","2050",3.2660180499485
"battery_2","p111","2030",20
"battery_2","p112","2024",1
"battery_2","p112","2026",1
"battery_2","p112","2030",4
"battery_2","p112","2032",7
"battery_2","p113","2032",10
"battery_2","p114","2032",6
"battery_2","p114","2048",0.320228518245723
"battery_2","p116","2028",16
"battery_2","p116","2032",31.5
"battery_2","p117","2024",1
"battery_2","p117","2026",1
"battery_2","p118","2038",40
"battery_2","p118","2040",26.665
"battery_2","p118","2042",26.67
"battery_2","p118","2044",26.665
"battery_2","p118","2046",19.3345137890314
"battery_2","p118","2048",23.0881043883302
"battery_2","p118","2050",13.2687937681939
"battery_2","p121","2032",5
"battery_2","p121","2034",2
"battery_2","p122","2030",2
"battery_2","p122","2032",28.4
"battery_2","p126","2032",1.5
"battery_2","p126","2034",20.8
"battery_2","p126","2036",19.8
"battery_2","p126","2038",234.718475901367
"battery_2","p126","2040",156.242061657998
"battery_2","p126","2042",156.227338908184
"battery_2","p127","2026",7.99999999999997
"battery_2","p127","2034",2
"battery_2","p127","2036",33.9
"battery_2","p127","2038",284.677351365
"battery_2","p127","2040",200
"battery_2","p127","2042",208
"battery_2","p127","2044",200
"battery_2","p128","2034",5
"battery_2","p128","2036",5
"battery_2","p128","2038",90
"battery_2","p128","2040",50
"battery_2","p128","2042",50
"battery_2","p128","2044",50
"battery_2","p129","2032",2
"battery_2","p129","2034",1
"battery_2","p129","2036",7.9
"battery_2","p131","2034",7.90000000000001
"battery_2","p131","2036",76
"battery_2","p131","2038",51.9
"battery_2","p132","2032",0.8
"battery_2","p132","2034",0.8
"battery_2","p133","2038",0.199825120872338
"battery_2","p134","2032",16.2
"battery_2","p134","2038",2.3
"battery_4","p1","2040",1.35622911213268
"battery_4","p1","2044",0.0345918920648149
"battery_4","p1","2046",23.4933903740463
"battery_4","p1","2048",27.3890729249914
"battery_4","p1","2050",37.2100562719397
"battery_4","p2","2040",2.5276626375
"battery_4","p2","2042",0.0288206531614037
"battery_4","p2","2044",0.225879086273002
"battery_4","p2","2050",9.04137429465068
"battery_4","p3","2048",0.505272091348626
"battery_4","p5","2040",8.96522137079549
"battery_4","p6","2044",0.327993750000005
"battery_4","p6","2048",1.66098157724904
"battery_4","p6","2050",0.198923425291433
"battery_4","p7","2040",2.24141265756417
"battery_4","p8","2048",48.9637171795562
"battery_4","p9","2028",1
"battery_4","p9","2030",3.00000000000005
"battery_4","p9","2034",0.25
"battery_4","p9","2036",306.2
"battery_4","p9","2038",326.9
"battery_4","p9","2040",0.0325215849270535
"battery_4","p9","2046",3.91526261524615
"battery_4","p10","2028",0.5
"battery_4","p10","2032",50
"battery_4","p10","2034",16.65
"battery_4","p10","2036",25.5
"battery_4","p10","2038",400.4
"battery_4","p11","2028",0.500000000000011
"battery_4","p11","2030",1
"battery_4","p11","2032",1.49999999999994
"battery_4","p11","2034",39.7500000000001
"battery_4","p11","2036",126
"battery_4","p11","2038",41.2500000000001
"battery_4","p11","2044",17.5961556657317
"battery_4","p11","2046",183.819740136446
"battery_4","p11","2048",218.233510208554
"battery_4","p11","2050",345.68041410865
"battery_4","p12","2040",0.141013299105063
"battery_4","p12","2042",13.9529963400402
"battery_4","p12","2044",57.6548249703826
"battery_4","p12","2046",2.7366239928287
"battery_4","p12","2048",12.9348979591839
"battery_4","p12","2050",15.2460579941845
"battery_4","p13","2044",1.97317208321191
"battery_4","p13","2048",71.1031942379271
"battery_4","p14","2044",0.00297500000000001
"battery_4","p14","2048",0.22015
"battery_4","p16","2044",173.879729621741
"battery_4","p18","2044",4.39928125
"battery_4","p21","2042",0.484040466272752
"battery_4","p21","2044",144.619475374212
"battery_4","p21","2046",2.8339
"battery_4","p21","2048",13.0700942910262
"battery_4","p21","2050",10.8274872099095
"battery_4","p22","2044",6.3148525703125
"battery_4","p22","2048",2.471921153125
"battery_4","p23","2042",0.0364437500000001
"battery_4","p23","2044",0.0632415952537899
"battery_4","p23","2046",0.115281250000001
"battery_4","p23","2048",0.118256249999999
"battery_4","p23","2050",0.0476000000000002
"battery_4","p24","2042",0.140932002880362
"battery_4","p24","2044",6.52272435475867
"battery_4","p24","2046",0.55409375
"battery_4","p24","2048",8.47875
"battery_4","p24","2050",3.60666400557672
"battery_4","p25","2042",0.332698761573571
"battery_4","p25","2044",85.1810497287115
"battery_4","p25","2048",53.9082374256251
"battery_4","p25","2050",0.712061110702053
"battery_4","p26","2042",0.4536875
"battery_4","p26","2044",0.9758
"battery_4","p27","2044",2.21321104869253
"battery_4","p27","2048",14.0714550148404
"battery_4","p29","2044",8.59526025762949
"battery_4","p29","2046",5.70328671607834
"battery_4","p29","2048",24.6787585802791
"battery_4","p29","2050",24.9101087993517
"battery_4","p30","2044",10.8310014611084
"battery_4","p30","2046",3.6738490440397
"battery_4","p30","2048",200.854727897497
"battery_4","p31","2042",2.73513974734078
"battery_4","p31","2044",92.2459374940728
"battery_4","p31","2046",39.7534375
"battery_4","p31","2048",14.5424146014878
"battery_4","p32","2044",1.62485739477925
"battery_4","p33","2040",0.80120357987861
"battery_4","p33","2044",7.98571362180141
"battery_4","p33","2048",24.8038474016628
"battery_4","p34","2040",0.174037499999997
"battery_4","p34","2044",13.0729045180265
"battery_4","p34","2046",42.8246228591255
"battery_4","p34","2048",176.7551625
"battery_4","p34","2050",36.2355311562623
"battery_4","p35","2042",0.0095625
"battery_4","p36","2040",0.205713490939184
"battery_4","p37","2044",0.511251539120849
"battery_4","p37","2050",13.6068543681022
"battery_4","p39","2042",2.01464402625177
"battery_4","p39","2044",116.455529373542
"battery_4","p40","2040",0.543161010371193
"battery_4","p40","2042",16.0042033812413
"battery_4","p40","2044",96.7083079994441
