"Dim1","Dim2","Dim3","Val"
"battery_2","p1","2032",4
"battery_2","p1","2034",2.2
"battery_2","p3","2030",1.2
"battery_2","p5","2030",5
"battery_2","p5","2038",30
"battery_2","p6","2038",0.625
"battery_2","p9","2040",2.44475924421204
"battery_2","p9","2042",0.0936945519839756
"battery_2","p10","2040",7.4155274215416
"battery_2","p10","2042",1.03785
"battery_2","p11","2040",7.66178371274663
"battery_2","p11","2042",81.5363850695157
"battery_2","p11","2044",0.0799999999999841
"battery_2","p11","2046",0.0400000000000205
"battery_2","p13","2038",165
"battery_2","p13","2040",280
"battery_2","p18","2038",200
"battery_2","p24","2038",0.00425
"battery_2","p28","2034",12
"battery_2","p28","2036",10
"battery_2","p28","2038",498
"battery_2","p30","2034",20
"battery_2","p31","2028",2.6
"battery_2","p31","2034",1
"battery_2","p31","2038",52
"battery_2","p33","2034",5
"battery_2","p33","2036",1
"battery_2","p34","2038",225
"battery_2","p38","2034",0.8
"battery_2","p39","2044",16.472527534198
"battery_2","p40","2044",26.839943159767
"battery_2","p41","2038",0.102
"battery_2","p41","2044",20.9751691513916
"battery_2","p43","2034",15
"battery_2","p44","2030",1
"battery_2","p47","2044",23.8965188169091
"battery_2","p49","2044",97.1913541884971
"battery_2","p50","2036",10
"battery_2","p50","2038",0.3825
"battery_2","p51","2044",48.095125
"battery_2","p52","2044",0.112851990116735
"battery_2","p54","2028",1
"battery_2","p54","2038",4.5
"battery_2","p54","2044",1.20672039839902
"battery_2","p55","2034",1.2
"battery_2","p57","2044",0.0652897607213257
"battery_2","p58","2032",0.5
"battery_2","p59","2026",1
"battery_2","p60","2034",51.8
"battery_2","p60","2038",132
"battery_2","p61","2026",4
"battery_2","p62","2028",36
"battery_2","p62","2036",9.9
"battery_2","p62","2038",40
"battery_2","p63","2038",150
"battery_2","p64","2034",1.5
"battery_2","p64","2036",9.9
"battery_2","p65","2032",1
"battery_2","p65","2036",10
"battery_2","p65","2038",300
"battery_2","p67","2036",9.90000000000001
"battery_2","p67","2038",100
"battery_2","p70","2034",1.1
"battery_2","p73","2038",4
"battery_2","p73","2046",35.41225
"battery_2","p79","2048",28.71
"battery_2","p80","2030",21.5
"battery_2","p80","2032",90.9
"battery_2","p80","2034",20
"battery_2","p83","2034",0.3
"battery_2","p84","2046",0.104125
"battery_2","p84","2048",0.1294125
"battery_2","p85","2038",10
"battery_2","p87","2046",0.163625
"battery_2","p87","2048",0.370587500000007
"battery_2","p88","2050",0.00139652313121474
"battery_2","p89","2034",1
"battery_2","p89","2050",1.03860347686878
"battery_2","p94","2032",1
"battery_2","p94","2036",2.7
"battery_2","p94","2038",80
"battery_2","p96","2034",4
"battery_2","p97","2036",8.8
"battery_2","p98","2034",1
"battery_2","p99","2038",186.935
"battery_2","p99","2040",178.93
"battery_2","p99","2042",178.935
"battery_2","p99","2044",135.373741225645
"battery_2","p99","2046",178.93
"battery_2","p99","2048",156.810026686604
"battery_2","p99","2050",178.934999999999
"battery_2","p101","2034",14
"battery_2","p101","2036",5
"battery_2","p101","2038",409
"battery_2","p104","2034",1
"battery_2","p105","2024",1
"battery_2","p105","2026",1
"battery_2","p105","2048",188.395
"battery_2","p106","2032",20
"battery_2","p106","2050",0.905000000000001
"battery_2","p107","2036",11
"battery_2","p109","2032",4
"battery_2","p109","2048",49.13
"battery_2","p111","2030",20
"battery_2","p112","2024",1
"battery_2","p112","2026",1
"battery_2","p112","2030",4
"battery_2","p112","2032",7
"battery_2","p113","2032",10
"battery_2","p114","2032",6
"battery_2","p116","2028",16
"battery_2","p116","2032",31.5
"battery_2","p117","2024",1
"battery_2","p117","2026",1
"battery_2","p118","2038",40
"battery_2","p118","2040",26.665
"battery_2","p118","2042",26.67
"battery_2","p118","2044",26.665
"battery_2","p118","2046",26.665
"battery_2","p118","2048",26.67
"battery_2","p118","2050",13.0804685983985
"battery_2","p121","2032",5
"battery_2","p121","2034",2
"battery_2","p122","2030",2
"battery_2","p122","2032",28.4
"battery_2","p126","2032",1.5
"battery_2","p126","2034",20.8
"battery_2","p126","2036",19.8000000000001
"battery_2","p126","2038",251.096669601452
"battery_2","p126","2040",156.086794011415
"battery_2","p126","2042",156.075398425456
"battery_2","p126","2044",0.0924886106234908
"battery_2","p126","2046",78.2852043108438
"battery_2","p127","2026",7.99999999999997
"battery_2","p127","2034",2
"battery_2","p127","2036",33.9
"battery_2","p127","2038",297.057348285594
"battery_2","p127","2040",138.151435790012
"battery_2","p127","2042",208
"battery_2","p127","2044",200
"battery_2","p128","2034",5
"battery_2","p128","2036",5
"battery_2","p128","2038",90
"battery_2","p128","2040",50
"battery_2","p128","2042",50
"battery_2","p128","2044",50
"battery_2","p129","2032",2
"battery_2","p129","2034",1
"battery_2","p129","2036",7.9
"battery_2","p131","2034",7.90000000000001
"battery_2","p131","2036",76
"battery_2","p131","2038",51.9
"battery_2","p132","2032",0.8
"battery_2","p132","2034",0.8
"battery_2","p133","2038",0.374909988684292
"battery_2","p134","2032",16.2
"battery_2","p134","2038",2.3
"battery_4","p1","2040",6.45574102526012
"battery_4","p1","2048",0.162838269429521
"battery_4","p2","2040",3.49157919734789
"battery_4","p2","2044",0.479109614007722
"battery_4","p6","2044",0.206306700157569
"battery_4","p6","2046",13.1372437230302
"battery_4","p6","2048",0.51541875
"battery_4","p6","2050",0.345350875969779
"battery_4","p7","2040",1.31651
"battery_4","p7","2048",55.6327090807448
"battery_4","p9","2028",1
"battery_4","p9","2030",3
"battery_4","p9","2034",0.25
"battery_4","p9","2036",306.2
"battery_4","p9","2038",326.9
"battery_4","p10","2028",0.5
"battery_4","p10","2032",50
"battery_4","p10","2034",16.65
"battery_4","p10","2036",25.5
"battery_4","p10","2038",400.4
"battery_4","p11","2028",0.5
"battery_4","p11","2030",1
"battery_4","p11","2032",1.49999999999999
"battery_4","p11","2034",39.75
"battery_4","p11","2036",126
"battery_4","p11","2038",41.25
"battery_4","p11","2046",0.16978002158763
"battery_4","p11","2048",6.56278061224503
"battery_4","p12","2044",17.9209055932187
"battery_4","p12","2046",174.404850108796
"battery_4","p12","2048",15.0779743048468
"battery_4","p13","2046",18.2652194549875
"battery_4","p14","2046",0.03941875
"battery_4","p14","2048",0.1859375
"battery_4","p16","2046",142.652762120357
"battery_4","p16","2048",8.98639337595335
"battery_4","p21","2044",1.58623102533716
"battery_4","p21","2046",52.0976616466664
"battery_4","p21","2048",156.047201977055
"battery_4","p23","2044",0.0394187499999981
"battery_4","p23","2046",0.103674382637791
"battery_4","p23","2048",0.0704145664026337
"battery_4","p24","2044",0.441043749999887
"battery_4","p24","2046",0.61954375
"battery_4","p25","2044",8.7229204776734
"battery_4","p25","2046",0.841138760909359
"battery_4","p25","2048",0.810305084838177
"battery_4","p26","2044",0.287482252421178
"battery_4","p26","2048",37.3123141865709
"battery_4","p27","2046",0.164162287355399
"battery_4","p27","2048",4.88837151264645
"battery_4","p28","2048",84.4103622336136
"battery_4","p29","2046",0.04834375
"battery_4","p29","2048",0.272621957353182
"battery_4","p30","2044",0.108944584323467
"battery_4","p30","2048",611.720599631554
"battery_4","p31","2044",42.6932427412888
"battery_4","p31","2046",30.1300613580295
"battery_4","p31","2048",16.8391415047271
"battery_4","p33","2044",1.71954938719944
"battery_4","p33","2046",0.951073225272206
"battery_4","p33","2048",1.33630023464304
"battery_4","p34","2048",28.4298602618686
"battery_4","p35","2046",0.057092891677811
"battery_4","p35","2048",0.449051228316456
"battery_4","p37","2048",4.64201213866886
"battery_4","p38","2046",11.8278861814702
"battery_4","p38","2048",17.7885703690941
"battery_4","p40","2044",19.2433864539965
"battery_4","p40","2046",263.47566875
"battery_4","p41","2046",391.650208432375
"battery_4","p42","2038",0.0164932632084742
"battery_4","p42","2042",64.9007957102194
"battery_4","p42","2044",20.6127040771913
"battery_4","p42","2046",56.841329907531
"battery_4","p42","2048",27.8259701769735
"battery_4","p42","2050",0.0298323217775973
"battery_4","p43","2038",0.755788779680358
"battery_4","p43","2048",0.223382272112048
"battery_4","p43","2050",38.2810649318915
"battery_4","p45","2044",2.78273121730165
"battery_4","p45","2046",162.023189113128
"battery_4","p45","2048",151.04186355037
"battery_4","p46","2042",0.00257175187737868
"battery_4","p46","2046",0.0297987827827764
"battery_4","p46","2048",0.445145202020202
"battery_4","p46","2050",0.530856224829407
"battery_4","p47","2046",66.262961629462
"battery_4","p48","2046",198.354509485156
"battery_4","p52","2040",0.598397746828184
"battery_4","p52","2046",2.55481783378112
"battery_4","p53","2046",0.680531250000272
"battery_4","p54","2046",0.462209520747146
"battery_4","p57","2048",0.0781677080545891
"battery_4","p57","2050",0.139312706205946
"battery_4","p59","2044",0.37598879367172
"battery_4","p59","2046",0.148006249999995
"battery_4","p59","2048",112.550593742796
"battery_4","p59","2050",1.02885297606667
"battery_4","p60","2044",66.7470804913669
"battery_4","p60","2048",572.300772955099
"battery_4","p61","2048",19.1513502877836
"battery_4","p61","2050",24.327523183671
"battery_4","p63","2046",0.230274663100587
"battery_4","p63","2048",284.68929990399
"battery_4","p63","2050",324.250184396552
"battery_4","p64","2042",1.57041950863504
"battery_4","p65","2048",0.055809796656888
"battery_4","p66","2044",326.545707075437
"battery_4","p67","2048",205.12964702818
"battery_4","p69","2044",0.0132812499999921
"battery_4","p69","2046",159.095311849263
