"Dim1","Dim2","Val"
"2010","AC",130761957.734
"2010","DC",4550000
"2012","AC",134741553.734
"2012","DC",4550000
"2014","AC",137449741.734
"2014","DC",4550000
"2016","AC",138710159.734
"2016","DC",4550000
"2018","AC",141393650.734
"2018","DC",4550000
"2020","AC",142833539.734
"2020","DC",4550000
"2022","AC",142833539.734
"2022","DC",4550000
"2024","AC",143885144.726645
"2024","DC",4550000
"2026","AC",145556113.288151
"2026","DC",5104976.21349552
"2028","AC",146913278.536227
"2028","DC",5964236.01162204
"2030","AC",148389243.962387
"2030","DC",6084029.5696207
"2032","AC",149796714.189471
"2032","DC",6105318.59862788
"2034","AC",151575609.114223
"2034","DC",6150215.00547254
"2036","AC",152908004.264217
"2036","DC",6186277.45678106
"2038","AC",154407281.078375
"2038","DC",6276424.83670846
"2040","AC",156652695.481727
"2040","DC",6481396.00182974
"2042","AC",160104251.815413
"2042","DC",7472442.7634798
"2044","AC",161670323.629931
"2044","DC",7628058.04552448
"2046","AC",166118868.815373
"2046","DC",7806786.67586655
"2048","AC",169003580.682652
"2048","DC",7904321.13668718
"2050","AC",174288749.857353
"2050","DC",8067827.2129988
