"Dim1","Dim2","Val"
"2010","AC",130761957.734
"2010","DC",4550000
"2012","AC",134741553.734
"2012","DC",4550000
"2014","AC",137449741.734
"2014","DC",4550000
"2016","AC",138710159.734
"2016","DC",4550000
"2018","AC",141393650.734
"2018","DC",4550000
"2020","AC",142833539.734
"2020","DC",4550000
"2022","AC",142833539.734
"2022","DC",4550000
"2024","AC",145603617.62782
"2024","DC",4550000
"2026","AC",152667072.951823
"2026","DC",5543193.79732742
"2028","AC",156767867.601528
"2028","DC",5912148.29553999
"2030","AC",162729048.796223
"2030","DC",6294852.94141696
"2032","AC",166809951.808583
"2032","DC",6534886.51811932
"2034","AC",170824485.71229
"2034","DC",6925263.80155945
"2036","AC",173858123.954318
"2036","DC",7098910.43053083
"2038","AC",176617127.702447
"2038","DC",7441459.39706036
"2040","AC",180899914.486555
"2040","DC",7610483.02798215
"2042","AC",185852089.380034
"2042","DC",8211870.82722237
"2044","AC",188711885.550591
"2044","DC",8855772.49049759
"2046","AC",193570231.651037
"2046","DC",9542948.70967942
"2048","AC",195770002.609312
"2048","DC",9693678.99177825
"2050","AC",203901610.867369
"2050","DC",10253772.9093863
