"Dim1","Dim2","Val"
"2010","AC",130761957.734
"2010","DC",4550000
"2012","AC",134741553.734
"2012","DC",4550000
"2014","AC",137449741.734
"2014","DC",4550000
"2016","AC",138710159.734
"2016","DC",4550000
"2018","AC",141393650.734
"2018","DC",4550000
"2020","AC",142833539.734
"2020","DC",4550000
"2022","AC",142833539.734
"2022","DC",4550000
"2024","AC",144634513.918446
"2024","DC",4550000
"2026","AC",148293326.542647
"2026","DC",5232319.46671051
"2028","AC",150062359.323893
"2028","DC",6308131.18368077
"2030","AC",152850667.122541
"2030","DC",6427415.29115716
"2032","AC",154008256.786113
"2032","DC",6439684.19399003
"2034","AC",156296612.442133
"2034","DC",6529250.55947033
"2036","AC",158210403.533068
"2036","DC",6635245.03862696
"2038","AC",160038819.164237
"2038","DC",6794261.21806393
"2040","AC",162133288.991051
"2040","DC",6883699.36029546
"2042","AC",164799509.044284
"2042","DC",7039778.36570364
"2044","AC",167319395.384404
"2044","DC",7231196.44228651
"2046","AC",171491992.833218
"2046","DC",7750999.48373276
"2048","AC",174548880.035428
"2048","DC",7953809.88017795
"2050","AC",180712076.200114
"2050","DC",8480035.46732576
