"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","2010","AC",9000
"p1","p2","2012","AC",9000
"p1","p2","2014","AC",9000
"p1","p2","2016","AC",9000
"p1","p2","2018","AC",9000
"p1","p2","2020","AC",9000
"p1","p2","2022","AC",9000
"p1","p2","2024","AC",9000
"p1","p2","2026","AC",9000.174
"p1","p2","2028","AC",9000.179
"p1","p2","2030","AC",9000.309
"p1","p2","2032","AC",9000.491
"p1","p2","2034","AC",9000.631
"p1","p2","2036","AC",9000.79
"p1","p2","2038","AC",9000.79
"p1","p2","2040","AC",9000.95744317798
"p1","p2","2042","AC",9001.15214374373
"p1","p2","2044","AC",9001.31814374373
"p1","p2","2046","AC",9002.05770248303
"p1","p2","2048","AC",9006.8643198457
"p1","p2","2050","AC",9206.26348714692
"p1","p4","2010","AC",9804
"p1","p4","2012","AC",9804
"p1","p4","2014","AC",9804
"p1","p4","2016","AC",9804
"p1","p4","2018","AC",9804
"p1","p4","2020","AC",9804
"p1","p4","2022","AC",9804
"p1","p4","2024","AC",9804
"p1","p4","2026","AC",9804
"p1","p4","2028","AC",9804
"p1","p4","2030","AC",9804
"p1","p4","2032","AC",9804
"p1","p4","2034","AC",9804
"p1","p4","2036","AC",9804
"p1","p4","2038","AC",9804
"p1","p4","2040","AC",9804
"p1","p4","2042","AC",9804
"p1","p4","2044","AC",9804
"p1","p4","2046","AC",9804
"p1","p4","2048","AC",9804
"p1","p4","2050","AC",9804
"p2","p3","2010","AC",1942
"p2","p3","2012","AC",1942
"p2","p3","2014","AC",1942
"p2","p3","2016","AC",1942
"p2","p3","2018","AC",1942
"p2","p3","2020","AC",1942
"p2","p3","2022","AC",1942
"p2","p3","2024","AC",1942
"p2","p3","2026","AC",1942
"p2","p3","2028","AC",1942
"p2","p3","2030","AC",1942
"p2","p3","2032","AC",1942
"p2","p3","2034","AC",1942
"p2","p3","2036","AC",1942
"p2","p3","2038","AC",1942
"p2","p3","2040","AC",1942
"p2","p3","2042","AC",1942
"p2","p3","2044","AC",1942
"p2","p3","2046","AC",1942
"p2","p3","2048","AC",1942
"p2","p3","2050","AC",1942
"p2","p4","2010","AC",4252
"p2","p4","2012","AC",4252
"p2","p4","2014","AC",4252
"p2","p4","2016","AC",4252
"p2","p4","2018","AC",4252
"p2","p4","2020","AC",4252
"p2","p4","2022","AC",4252
"p2","p4","2024","AC",4252
"p2","p4","2026","AC",4252.53855633662
"p2","p4","2028","AC",4253.11580849533
"p2","p4","2030","AC",4253.37589971881
"p2","p4","2032","AC",4254.57289971881
"p2","p4","2034","AC",4255.07112047186
"p2","p4","2036","AC",4255.29961325948
"p2","p4","2038","AC",4255.5418122955
"p2","p4","2040","AC",4255.54181229551
"p2","p4","2042","AC",4255.54181229551
"p2","p4","2044","AC",4255.54181229551
"p2","p4","2046","AC",4257.31432732124
"p2","p4","2048","AC",4262.61021999984
"p2","p4","2050","AC",4265.72929910636
"p2","p5","2010","AC",15397
"p2","p5","2012","AC",16672
"p2","p5","2014","AC",16672
"p2","p5","2016","AC",17947
"p2","p5","2018","AC",17947
"p2","p5","2020","AC",17947
"p2","p5","2022","AC",17947
"p2","p5","2024","AC",17947
"p2","p5","2026","AC",17947
"p2","p5","2028","AC",17947
"p2","p5","2030","AC",17947
"p2","p5","2032","AC",17947
"p2","p5","2034","AC",17947
"p2","p5","2036","AC",17947
"p2","p5","2038","AC",17947
"p2","p5","2040","AC",17947
"p2","p5","2042","AC",17947
"p2","p5","2044","AC",17947
"p2","p5","2046","AC",17947
"p2","p5","2048","AC",17947
"p2","p5","2050","AC",17947
"p2","p14","2010","AC",5207
"p2","p14","2012","AC",5207
"p2","p14","2014","AC",5207
"p2","p14","2016","AC",5207
"p2","p14","2018","AC",5207
"p2","p14","2020","AC",5207
"p2","p14","2022","AC",5207
"p2","p14","2024","AC",5207
"p2","p14","2026","AC",5207
"p2","p14","2028","AC",5207.04
"p2","p14","2030","AC",5207.041
"p2","p14","2032","AC",5207.041
"p2","p14","2034","AC",5207.041
"p2","p14","2036","AC",5207.076
