"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","2010","AC",9000
"p1","p2","2012","AC",9000
"p1","p2","2014","AC",9000
"p1","p2","2016","AC",9000
"p1","p2","2018","AC",9000
"p1","p2","2020","AC",9000
"p1","p2","2022","AC",9000
"p1","p2","2024","AC",9000
"p1","p2","2026","AC",9000.106
"p1","p2","2028","AC",9000.21757753425
"p1","p2","2030","AC",9004.59931911291
"p1","p2","2032","AC",9015.87365724193
"p1","p2","2034","AC",9022.76609055949
"p1","p2","2036","AC",9060.85578065373
"p1","p2","2038","AC",9079.67337271601
"p1","p2","2040","AC",9080.16741840553
"p1","p2","2042","AC",9115.66619330027
"p1","p2","2044","AC",9122.15716406258
"p1","p2","2046","AC",9133.35445860707
"p1","p2","2048","AC",9501.21727363001
"p1","p2","2050","AC",9736.01848144282
"p1","p4","2010","AC",9804
"p1","p4","2012","AC",9804
"p1","p4","2014","AC",9804
"p1","p4","2016","AC",9804
"p1","p4","2018","AC",9804
"p1","p4","2020","AC",9804
"p1","p4","2022","AC",9804
"p1","p4","2024","AC",9804
"p1","p4","2026","AC",9804
"p1","p4","2028","AC",9804
"p1","p4","2030","AC",9804
"p1","p4","2032","AC",9804
"p1","p4","2034","AC",9804
"p1","p4","2036","AC",9804
"p1","p4","2038","AC",9804
"p1","p4","2040","AC",9804
"p1","p4","2042","AC",9804
"p1","p4","2044","AC",9804
"p1","p4","2046","AC",9805.56024328774
"p1","p4","2048","AC",9808.77890965484
"p1","p4","2050","AC",9811.96558173825
"p2","p3","2010","AC",1942
"p2","p3","2012","AC",1942
"p2","p3","2014","AC",1942
"p2","p3","2016","AC",1942
"p2","p3","2018","AC",1942
"p2","p3","2020","AC",1942
"p2","p3","2022","AC",1942
"p2","p3","2024","AC",1942
"p2","p3","2026","AC",1942
"p2","p3","2028","AC",1942
"p2","p3","2030","AC",1942
"p2","p3","2032","AC",1942
"p2","p3","2034","AC",1942
"p2","p3","2036","AC",1942
"p2","p3","2038","AC",1942
"p2","p3","2040","AC",1942
"p2","p3","2042","AC",1946.70427274509
"p2","p3","2044","AC",1946.70427274509
"p2","p3","2046","AC",1957.49640827064
"p2","p3","2048","AC",1957.49640827064
"p2","p3","2050","AC",1957.49640827064
"p2","p4","2010","AC",4252
"p2","p4","2012","AC",4252
"p2","p4","2014","AC",4252
"p2","p4","2016","AC",4252
"p2","p4","2018","AC",4252
"p2","p4","2020","AC",4252
"p2","p4","2022","AC",4252
"p2","p4","2024","AC",4252
"p2","p4","2026","AC",4252.23012584413
"p2","p4","2028","AC",4252.23012584413
"p2","p4","2030","AC",4252.29915722141
"p2","p4","2032","AC",4252.29915722141
"p2","p4","2034","AC",4255.77359967587
"p2","p4","2036","AC",4340.0911558039
"p2","p4","2038","AC",4451.58323909099
"p2","p4","2040","AC",4530.30250320307
"p2","p4","2042","AC",4636.21141123533
"p2","p4","2044","AC",4834.5809906376
"p2","p4","2046","AC",4838.98854252938
"p2","p4","2048","AC",4848.6870647347
"p2","p4","2050","AC",4848.82069018113
"p2","p5","2010","AC",15397
"p2","p5","2012","AC",16672
"p2","p5","2014","AC",16672
"p2","p5","2016","AC",17947
"p2","p5","2018","AC",17947
"p2","p5","2020","AC",17947
"p2","p5","2022","AC",17947
"p2","p5","2024","AC",17947
"p2","p5","2026","AC",17947
"p2","p5","2028","AC",17947
"p2","p5","2030","AC",17947
"p2","p5","2032","AC",17947
"p2","p5","2034","AC",17947
"p2","p5","2036","AC",17947
"p2","p5","2038","AC",18029.1142955803
"p2","p5","2040","AC",18044.9299155774
"p2","p5","2042","AC",18209.3231136741
"p2","p5","2044","AC",18457.6765727747
"p2","p5","2046","AC",18579.7660037251
"p2","p5","2048","AC",18863.2114268571
"p2","p5","2050","AC",18979.1986666195
"p2","p14","2010","AC",5207
"p2","p14","2012","AC",5207
"p2","p14","2014","AC",5207
"p2","p14","2016","AC",5207
"p2","p14","2018","AC",5207
"p2","p14","2020","AC",5207
"p2","p14","2022","AC",5207
"p2","p14","2024","AC",5207
"p2","p14","2026","AC",5207.017
