"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","2010","AC",9000
"p1","p2","2012","AC",9000
"p1","p2","2014","AC",9000
"p1","p2","2016","AC",9000
"p1","p2","2018","AC",9000
"p1","p2","2020","AC",9000
"p1","p2","2022","AC",9000
"p1","p2","2024","AC",9000
"p1","p2","2026","AC",9000.121
"p1","p2","2028","AC",9000.145
"p1","p2","2030","AC",9000.14501876895
"p1","p2","2032","AC",9000.37539815917
"p1","p2","2034","AC",9000.48901696012
"p1","p2","2036","AC",9000.76163636619
"p1","p2","2038","AC",9001.11210505913
"p1","p2","2040","AC",9034.02252877049
"p1","p2","2042","AC",9035.29434127049
"p1","p2","2044","AC",9035.67982748238
"p1","p2","2046","AC",9047.0258135153
"p1","p2","2048","AC",9067.86725449831
"p1","p2","2050","AC",9086.00955633536
"p1","p4","2010","AC",9804
"p1","p4","2012","AC",9804
"p1","p4","2014","AC",9804
"p1","p4","2016","AC",9804
"p1","p4","2018","AC",9804
"p1","p4","2020","AC",9804
"p1","p4","2022","AC",9804
"p1","p4","2024","AC",9804
"p1","p4","2026","AC",9804
"p1","p4","2028","AC",9804
"p1","p4","2030","AC",9804
"p1","p4","2032","AC",9804
"p1","p4","2034","AC",9804
"p1","p4","2036","AC",9804
"p1","p4","2038","AC",9804
"p1","p4","2040","AC",9804
"p1","p4","2042","AC",9804
"p1","p4","2044","AC",9804
"p1","p4","2046","AC",9804
"p1","p4","2048","AC",9804
"p1","p4","2050","AC",9804
"p2","p3","2010","AC",1942
"p2","p3","2012","AC",1942
"p2","p3","2014","AC",1942
"p2","p3","2016","AC",1942
"p2","p3","2018","AC",1942
"p2","p3","2020","AC",1942
"p2","p3","2022","AC",1942
"p2","p3","2024","AC",1942
"p2","p3","2026","AC",1942
"p2","p3","2028","AC",1942
"p2","p3","2030","AC",1942
"p2","p3","2032","AC",1942
"p2","p3","2034","AC",1942
"p2","p3","2036","AC",1942
"p2","p3","2038","AC",1942
"p2","p3","2040","AC",1942
"p2","p3","2042","AC",1942
"p2","p3","2044","AC",1942
"p2","p3","2046","AC",1942
"p2","p3","2048","AC",1942
"p2","p3","2050","AC",1942
"p2","p4","2010","AC",4252
"p2","p4","2012","AC",4252
"p2","p4","2014","AC",4252
"p2","p4","2016","AC",4252
"p2","p4","2018","AC",4252
"p2","p4","2020","AC",4252
"p2","p4","2022","AC",4252
"p2","p4","2024","AC",4252
"p2","p4","2026","AC",4252.037
"p2","p4","2028","AC",4252.55367903208
"p2","p4","2030","AC",4252.79361315095
"p2","p4","2032","AC",4253.28561315095
"p2","p4","2034","AC",4253.40825197058
"p2","p4","2036","AC",4253.52066047967
"p2","p4","2038","AC",4253.52066047967
"p2","p4","2040","AC",4253.52066047967
"p2","p4","2042","AC",4253.52066047967
"p2","p4","2044","AC",4311.74717215082
"p2","p4","2046","AC",4311.74717215082
"p2","p4","2048","AC",4351.1001655127
"p2","p4","2050","AC",4880.35432404853
"p2","p5","2010","AC",15397
"p2","p5","2012","AC",16672
"p2","p5","2014","AC",16672
"p2","p5","2016","AC",17947
"p2","p5","2018","AC",17947
"p2","p5","2020","AC",17947
"p2","p5","2022","AC",17947
"p2","p5","2024","AC",17947
"p2","p5","2026","AC",17947
"p2","p5","2028","AC",17947
"p2","p5","2030","AC",17947
"p2","p5","2032","AC",17947
"p2","p5","2034","AC",17947.4560957926
"p2","p5","2036","AC",17948.1677924935
"p2","p5","2038","AC",17948.2627924935
"p2","p5","2040","AC",17948.2627924935
"p2","p5","2042","AC",17948.2627924935
"p2","p5","2044","AC",17948.2627924935
"p2","p5","2046","AC",17949.9067788781
"p2","p5","2048","AC",17968.9357408745
"p2","p5","2050","AC",17970.1129934216
"p2","p14","2010","AC",5207
"p2","p14","2012","AC",5207
"p2","p14","2014","AC",5207
"p2","p14","2016","AC",5207
"p2","p14","2018","AC",5207
"p2","p14","2020","AC",5207
"p2","p14","2022","AC",5207
"p2","p14","2024","AC",5207
"p2","p14","2026","AC",5207
"p2","p14","2028","AC",5207.082
"p2","p14","2030","AC",5207.082
