"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","2010","AC",9000
"p1","p2","2012","AC",9000
"p1","p2","2014","AC",9000
"p1","p2","2016","AC",9000
"p1","p2","2018","AC",9000
"p1","p2","2020","AC",9000
"p1","p2","2022","AC",9000
"p1","p2","2024","AC",9000
"p1","p2","2026","AC",9000.121
"p1","p2","2028","AC",9000.163
"p1","p2","2030","AC",9000.163
"p1","p2","2032","AC",9000.265
"p1","p2","2034","AC",9000.45862954267
"p1","p2","2036","AC",9001.5453731515
"p1","p2","2038","AC",9011.33772229615
"p1","p2","2040","AC",9024.37182175919
"p1","p2","2042","AC",9084.66502345418
"p1","p2","2044","AC",9243.58360290044
"p1","p2","2046","AC",9250.8788712378
"p1","p2","2048","AC",10156.3505963717
"p1","p2","2050","AC",11202.1138114562
"p1","p4","2010","AC",9804
"p1","p4","2012","AC",9804
"p1","p4","2014","AC",9804
"p1","p4","2016","AC",9804
"p1","p4","2018","AC",9804
"p1","p4","2020","AC",9804
"p1","p4","2022","AC",9804
"p1","p4","2024","AC",9804
"p1","p4","2026","AC",9804
"p1","p4","2028","AC",9804
"p1","p4","2030","AC",9804
"p1","p4","2032","AC",9804
"p1","p4","2034","AC",9804
"p1","p4","2036","AC",9804
"p1","p4","2038","AC",9804
"p1","p4","2040","AC",9804
"p1","p4","2042","AC",9804
"p1","p4","2044","AC",9804
"p1","p4","2046","AC",9804
"p1","p4","2048","AC",9804
"p1","p4","2050","AC",9804
"p2","p3","2010","AC",1942
"p2","p3","2012","AC",1942
"p2","p3","2014","AC",1942
"p2","p3","2016","AC",1942
"p2","p3","2018","AC",1942
"p2","p3","2020","AC",1942
"p2","p3","2022","AC",1942
"p2","p3","2024","AC",1942
"p2","p3","2026","AC",1942
"p2","p3","2028","AC",1942
"p2","p3","2030","AC",1942
"p2","p3","2032","AC",1942
"p2","p3","2034","AC",1942
"p2","p3","2036","AC",1942
"p2","p3","2038","AC",1942
"p2","p3","2040","AC",1942
"p2","p3","2042","AC",1942
"p2","p3","2044","AC",1942
"p2","p3","2046","AC",1942
"p2","p3","2048","AC",1942
"p2","p3","2050","AC",2671.71320182094
"p2","p4","2010","AC",4252
"p2","p4","2012","AC",4252
"p2","p4","2014","AC",4252
"p2","p4","2016","AC",4252
"p2","p4","2018","AC",4252
"p2","p4","2020","AC",4252
"p2","p4","2022","AC",4252
"p2","p4","2024","AC",4252
"p2","p4","2026","AC",4252.037
"p2","p4","2028","AC",4252.59108403566
"p2","p4","2030","AC",4252.93978272391
"p2","p4","2032","AC",4253.06078272391
"p2","p4","2034","AC",4253.13597792351
"p2","p4","2036","AC",4253.13597792351
"p2","p4","2038","AC",4376.09142237851
"p2","p4","2040","AC",4385.75634018674
"p2","p4","2042","AC",4385.75634018674
"p2","p4","2044","AC",4385.75634018674
"p2","p4","2046","AC",4977.36123199804
"p2","p4","2048","AC",5047.71463919784
"p2","p4","2050","AC",5423.91277850875
"p2","p5","2010","AC",15397
"p2","p5","2012","AC",16672
"p2","p5","2014","AC",16672
"p2","p5","2016","AC",17947
"p2","p5","2018","AC",17947
"p2","p5","2020","AC",17947
"p2","p5","2022","AC",17947
"p2","p5","2024","AC",17947
"p2","p5","2026","AC",17947
"p2","p5","2028","AC",17947
"p2","p5","2030","AC",17947
"p2","p5","2032","AC",17947
"p2","p5","2034","AC",17947.0391752577
"p2","p5","2036","AC",17947.0391752577
"p2","p5","2038","AC",17947.0391752577
"p2","p5","2040","AC",17952.9280464373
"p2","p5","2042","AC",17974.4426709904
"p2","p5","2044","AC",18183.6815664616
"p2","p5","2046","AC",18541.3603816662
"p2","p5","2048","AC",18836.5291735318
"p2","p5","2050","AC",19212.7273128427
"p2","p14","2010","AC",5207
"p2","p14","2012","AC",5207
"p2","p14","2014","AC",5207
"p2","p14","2016","AC",5207
"p2","p14","2018","AC",5207
"p2","p14","2020","AC",5207
"p2","p14","2022","AC",5207
"p2","p14","2024","AC",5207
"p2","p14","2026","AC",5207
"p2","p14","2028","AC",5207.04
"p2","p14","2030","AC",5207.04
