,111CA,113FF,211,212,213,Hydroelectric power generation,Nuclear electric power generation,Solar electric power generation,Wind electric power generation,Geothermal electric power generation,Biomass electric power generation,Other electric power generation,Electric bulk power transmission and control,Electric power distribution,Coal electric power generation,Gas electric power generation,221200,221300,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N
111CA,71074.2092974526,1022.386459280331,0.0,44.14032896891467,18.13705454586137,4.724936656118846e-06,0.00011913890955311689,4.834109570865922e-06,4.912645065937447e-06,4.657706365082278e-06,41.39094154399396,5.877921293311438e-07,5.208650872915292e-05,0.0010116705454868479,1.1498182341095705e-06,9.937490506886134e-07,0.062165714176402334,0.0,2164.070392670888,987.7450275576991,0.1177733350458601,0.1433424579448344,0.2165629893280864,0.2072304397447197,0.04808211975257488,0.03479295032532272,0.3697768316900843,0.09523824761914149,0.8821273080488268,332.4092530089427,206431.5923986374,1569.277374891653,10.17477328861137,410.7604576211721,0.3981701436014462,0.3745348217450318,6824.227806702115,21.54837916049437,43.65347092291013,974.5110903559747,394.8012395190005,4.017972909648117,584.5947487082927,0.0,0.2027066266156914,0.0,0.008899181958771412,0.0,9.485485439393368e-05,77.94962617673667,0.02833553701208048,0.226454064489871,0.1727441184650723,0.8366312965388618,1.026406365214724,6.907172187305199,1.483389204796521,0.4443918302622776,0.1050955414012739,1.22908081043458,11.90226637939123,0.3778695483495868,2.887205396299962,2.203140774065793,1020.38467128627,45.74172400455003,2188.367510633139,0.1875852036482444,86.82163040211417,2.377629041052931,0.1345750369617276,0.2806291198708313,0.4690577947350515,1.898489793738795,490.878135721173,37.20544839069667,885.9402667175577,53.65051110269982,3.084884191410186,0.01317465358098998,0.07329204697509106,3276.210076299755,2.967828782441224,58609.00866577501,0.002699789595277295,0.0,0.0,0.6768270551640941,-7691.531062644808,49260.54464126115,-46.49864923188031,0.0,0.0,0.0,0.0,0.0,0.0,0.0376360093834728,0.0,0.0,0.0,0.0,0.0
113FF,19484.55862889929,7734.36642281245,0.0,62.39710434875978,0.0009158163586065649,0.0,0.0,0.0,0.0,0.0,41.39094154399396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1096008029840929,11854.9163824386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.400161971063246,24.68275225160233,558.7335822883755,0.07963560370888875,122.3245027955583,4932.570204113848,3.520129576850597,3.520129576850597,50.50834902079129,256.0912895231311,0.002079655893034675,0.04945078831869085,55.46182292803797,0.0002028932578570414,0.02949185421943441,0.0,0.0,0.0,0.0,0.0,0.0,0.003953511094234227,0.0,0.0,0.0,0.0,0.0,0.0002536165723213018,0.0,0.0,0.0,5.072331446426035e-05,0.0004057865157140828,0.0,0.0001014466289285207,5.072331446426035e-05,257.9000119255127,13.20525385430869,0.1107797187899446,0.0,5.392651777527387,0.0,0.0,0.0,0.0,0.0,38.96628053472769,6.161900628865866,389.8974654534983,14.5619567768075,0.0001014161013383115,0.0,0.8800323942126493,2196.717590996467,0.0,3525.507931401359,0.0,0.0,0.0,0.0,-805.2619628679035,5693.293513420891,6.161498444969491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,262.1947604082657,16.3470238779276,30740.47877267583,148.6723729624546,83.76749521308162,0.005079336451902136,0.006853803394965011,0.005196698017949189,0.0052811241662592155,0.005007063468624825,80.54945670348582,0.006815194473777461,0.006818089841358914,0.006818121213770597,0.0012360617918572966,11410.838082634917,16002.455160591131,5.496959147893069,2037.24887619024,38.66414949030187,30.84652026399867,120.0348627643088,30.19509228525022,65.28414274004216,4.080656164623768,38.27517876961071,33.14891004273476,12.39423424595918,12.03048177733799,26.29600405290793,137.7257802555075,5.366865830267442,0.9398833190511889,39.44241218693723,62.63903931551464,189206.8297889686,4585.366303087351,51.88156305551324,227.0745709506648,47.58186734355814,23.92294616125693,6.117869322716995,68.05081597730911,430.1531883765381,223.3439423882552,48.12234946142339,731.9365233255763,106.1533973653909,12.69826935751045,665.1451173768604,5.858683957065178,9.657051734370853,5.42844533238309,35.25474833032855,23.49152134343454,325.3839268032326,149.7480283431883,1.137283918169705,22.11245206719341,4.238653648581737,288.6170971219472,84.04751853430992,1.863445819758774,31.52120496549414,84.52491563452158,62.87194916750796,210.2293915961722,54.0672359918717,25.85053816739465,40.2721874230083,105.786179973995,27.53884337433257,23.16676200193838,4.987962812213678,57.09237614379484,43.52164155058104,142.2868805012588,153.8304939089377,629.3171115185246,23.2737730639713,1078.872988072414,3919.353276222383,18671.5291557375,7338.773566535885,0.0,71.11984151239152,0.0,0.0,-2894.779203141757,68081.4034167727,-2459.732431126869,0.0,0.0,-0.1676956606408626,0.0,0.0,0.0,-0.007399900252110024,0.0,0.0,0.0,1.10095158238719,0.0
212,1852.24481745246,3.833740301694193,125.3822329351598,4910.78059674834,58.55051643077555,0.004200529160058866,0.005667984645332897,0.004297585278533989,0.004367404338800201,0.004140760570870981,0.0025391180074461708,0.005636055691458227,0.005638450113656903,0.005638476058134364,8323.746984034786,0.0008834556246997742,0.7370654784091254,120.60792776384866,17507.82949316953,13.52743713432755,8090.2178175053,11406.08240001072,373.2466372318764,111.8844007194559,6.727362650742107,65.89596970295021,81.7724153739666,111.531484015927,22.860805933867,72.40078976742585,731.9733920246674,60.28713103753236,0.5616452499779397,886.6253997955156,22.01187564967568,2493.923476712429,3264.954300597353,239.4018955207341,20.00394180654154,1.210188468649426,0.3683916370186947,0.1294416905475136,6.163790378898637,1.768522766951384,129.1864309271624,0.2134671076785084,9.682025554556525,2.471762570397984,0.00524736277711214,5.048968729493052,2.752588628711174,21.13846360402017,19.25520130598099,187.4125398826266,489.626454383807,1.832837271651391,0.9451312933122404,0.03058762930314814,0.09074621802414952,35.80390321873713,36.91519718517361,2.406257930391721,0.3813445499215915,0.7315331892506158,858.9765836577418,56.65334592290569,434.0609971286774,36.24824674820601,268.0654918531167,70.45562821001141,100.4601506077041,32.81234765679137,38.26403901283687,270.9639552240703,489.0381157496189,57.0077745706655,383.5172901975565,649.3477925654854,5.93755760879483,700.2568154192478,0.7296614361949241,1245.136133953841,5453.926227307857,976.7646709909242,115.9156543982934,30.66320676871741,0.0,0.0,-303.0361177576491,14779.78558577955,5933.087633079086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,3.066719875709498,0.06774486988626155,9510.158569430532,1736.120482434312,1151.625682861291,0.021236373579391978,0.44546181948336705,0.00044450202064396044,0.08133720924643897,0.01746783143922451,0.00704046596832973,0.0021977618595973108,0.1947520842355882,3.7826483690400012,0.12567896509217502,0.14248143842971325,0.008860796378933068,1.354683026058992,164.6846983394647,4.465647925278292,11.00188319306576,18.53005348597835,67.11822856911566,48.88584659826898,7.198808405817185,16.1647632770379,82.9492169351386,22.74393987336492,5.503321310282395,9.261151041569496,30.74627064302712,1.163085590262809,0.3754485886099093,10.16388613333386,3.415870886533722,2.840683064626671,18.54519075980116,12.64988744111867,4.372538792906374,1.066092439946269,0.2397764931627565,0.1276420086220155,2.159191336564582,0.3169868822010663,0.7647225800074684,3.397545691573375,2.179032625410088,0.5304873702928071,1.854581179995259,1.354882493813174,0.8092827907286106,1.683642613338978,0.1013590104009189,17.00395096448958,3.565788401444773,0.2957225199820737,0.2925062547536839,0.002133048137263833,0.003747458491298269,0.1300580935806382,2.526469394783061,1.913284577587085,0.02065200497619609,1.897767039952964,60.53143664721641,4.711056033131705,4.34279281680439,3.398778515287721,0.9163902453993447,0.4210647231327169,1.535775989427368,0.06365912746655274,1.764965105068882,0.2091340556503671,0.9515806856936244,0.9557011876744287,5.543996177564941,5.878235550068727,5.142036080798749,2.266896039050349,1.212087322658683,6.007079246125047,10.11642849188153,22.45857885020915,123673.3528210091,2605.839127040471,0.0,0.0,7.380562688451924,3290.781177931804,18.34138560728191,0.0,0.0,0.194286756949974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7566600569167103,0.0
Hydroelectric power generation,12.905884764019325,0.3596258861650206,27.10305126215815,14.387825438004432,0.3682412244923137,1.3744588943119573,11.615180417804684,0.008990320215362118,1.6450938861650746,0.14131895092768215,0.04556724825966499,0.05730547355146752,5.078057189644993,98.63054776382415,0.4067092028520619,0.46108362049658375,7.650142047366247,1.0868074184161771,25.95930410845933,6.266143630441806,10.69876212433929,30.79727768674112,16.500609102880134,8.77726153530259,3.3040904605716808,3.0111661593373356,12.972953654400392,4.40614610410105,2.2812444101560403,3.618110828928141,34.46567892994169,3.7667110778792297,0.3312286212383297,17.87118013416185,6.922014466537911,22.694958285862942,50.24510573468039,20.308698577498113,91.3535732119277,24.039536799909786,46.161797467467814,29.379697610648037,98.03271781207388,0.18671645384219165,0.22077292694508976,0.24458860623194037,8.163251266491523,1.1633760426745992,0.9771040683539836,2.836562929271943,57.546644566302874,2.6410273015005545,2.314875369371138,17.001011740814477,7.91856046005823,14.053885160932253,5.01708542600956,2.814745738814274,0.6631609768751836,0.11542195129091054,462.94382889732753,4.572568793837879,2.261550543664308,1.2077926788595308,20.43941891881793,50.84491706658393,13.892646075107937,1.9074694938224666,8.52333739736989,13.158917281843319,39.32314635322463,10.787691976968958,5.467469843286785,3.427550761231169,12.932770287067463,38.34815949392432,129.34009285305365,21.45802240769344,4.190339303010733,1.0727268146470736,3.1081810455268446,32.10386795154191,6.08258879551449,1261.0107365805973,0.0,0.0,0.0,0.0,0.0,20.513582804209072,-0.01638548474116289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear electric power generation,151.4671933700357,4.220673331323265,318.08924234999864,168.8596773983463,4.321785431751008,16.131046800008676,136.31911415142397,0.10551299623526963,19.307297277465118,1.6585600490320453,0.5347903944353524,0.6725535987877816,59.5975467278631,1157.5566126225892,4.773256742963592,5.411410622557115,89.78427794638016,12.755085948091601,304.66589521314,73.541272552085,125.5637642159321,361.445751294275,193.65591708033742,103.01247799248232,38.77776052198692,35.33991626805858,152.2543332503471,51.71180404671897,26.773343673479943,42.463194316389156,404.49916844641257,44.20720978330708,3.8873948233806863,209.74133479623714,81.23876223010357,266.3545892485662,589.6910816552622,238.34875568605915,1072.151936247836,282.13495127040267,541.7681957618711,344.8086218429324,1150.5403075369736,2.191358263040527,2.591054873640944,2.87056256844363,95.80627602975619,13.653717450595124,11.467575727673665,33.29072229996435,675.3840515159166,30.99585966296398,27.16804633012032,199.52878705467555,92.93451401021379,164.94045779843546,58.88196448909808,33.03466944762092,7.783048877040538,1.3546253771045222,5433.2425659454175,53.66498882935445,26.542210764837893,14.175003929196407,239.8829273897525,596.7306407909721,163.04810928937025,22.38661323505205,100.03235092604524,154.43685612520025,461.5078099261704,126.60747066697527,64.16780617062064,40.22672629035083,151.78272963840067,450.06508237582057,1517.9727087978913,251.8375523099312,49.17903306131185,12.589831912986035,36.47851100952146,376.78027224441814,71.38701996233213,14799.586434542136,0.0,0.0,0.0,0.0,0.0,240.75333618194404,-0.19230478430047232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar electric power generation,3.3017025389724317,0.09200281291380988,6.9337526874289654,3.6808262778999845,0.0942068682691338,0.3516267581835845,2.971502642190427,0.0022999866823537243,0.42086309928492394,0.036153518151942336,0.011657433955428254,0.01466041507277281,1.2991154518008046,25.23257691560559,0.10404810148497742,0.11795866678713918,1.9571299359271943,0.278037103102201,6.6411487357930445,1.6030626890358515,2.7370560574253884,7.878843782585003,4.221338092329598,2.2454800446636183,0.8452829125731821,0.7703443146547734,3.318860721437736,1.127220957338167,0.5836089968839263,0.9256185010624046,8.817328041518744,0.9636347880682825,0.08473796254340192,4.571970221514642,1.7708536188614232,5.806033663279879,12.854166623092294,5.195558683701488,23.370914132049815,6.150016146840633,11.809537020412948,7.516185365745427,25.079634540428756,0.047767526286721616,0.05648016751731525,0.06257291436935355,2.088398271460393,0.297625595153863,0.249971779720116,0.7256757050584053,14.722113667372724,0.6756519763116361,0.5922127792249973,4.349355713003113,2.025799211292401,3.595394594537349,1.2835170925653356,0.7200942300611887,0.16965596091486637,0.02952830872105725,118.43456246667263,1.1697967456156677,0.5785707302182252,0.30898866891020516,5.229000767737,13.007615893224592,3.554144923648303,0.48798644850170825,2.180518828424021,3.366435652727733,10.060010183632837,2.7598069129914022,1.3987385904500511,0.8768676660095504,3.308580641584747,9.810580047870952,33.08897613547744,5.489589312181672,1.072011269965636,0.2744348731067555,0.79516355811672,8.213107761658833,1.5561039972761208,322.6034035455781,0.0,0.0,0.0,0.0,0.0,5.24797405730012,-0.004191885915719505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind electric power generation,27.37149550280355,0.7627139483920209,57.481610854192894,30.514475099715153,0.7809858219281979,2.915026449742733,24.6341002095838,0.019067155320462586,3.489003716536635,0.29971684239440777,0.09664147430571973,0.12153653471112556,10.769817185788956,209.1809778189742,0.8625707822721236,0.9778909757526891,16.22483328140927,2.304959707103998,55.05589028979652,13.289574898322886,22.690510935626648,65.31652522199481,34.99538048814448,18.615288996710714,7.007493003077806,6.386243368473076,27.51373881777266,9.344791967252739,4.838186010110907,7.673484313043658,73.09666815420803,7.988643724447971,0.7024874994933116,37.902161348577096,14.680581091921788,48.132689855534615,106.5625263824519,43.071781744986154,193.74757826030515,50.984344385490125,97.90242628732584,62.310045047476216,207.91306785890745,0.39599831162984367,0.468227114026729,0.5187366893418296,17.31306294876922,2.4673505693243225,2.0722949338029646,6.015935434232582,122.04802318856619,5.601232943543705,4.909512359736884,36.05666135375367,16.79410950773598,29.806236574482927,10.640504985605826,5.969664361662589,1.4064675168012928,0.24479309078380967,981.8362059175506,9.697750170970453,4.7964181973675215,2.56155176357138,43.34902048529596,107.83463856026242,29.464272037125475,4.0454640364878465,18.076753008937523,27.908140494628626,83.39864668279958,22.879118156737455,11.595704514924815,7.269334258138224,27.428515768105648,81.33084203998794,274.3114350229953,45.50932962524934,8.887097280408314,2.2750968042662736,6.591997764207674,68.08761222694834,12.900281918368664,2674.4194866461407,0.0,0.0,0.0,0.0,0.0,43.506311247810245,-0.03475121854135631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal electric power generation,5.832018862164397,0.1625107452752277,12.247552885625488,6.501690575597404,0.16640391622378445,0.6211019502703623,5.248764615730458,0.004062620892065115,0.7433987479025099,0.06386038636337953,0.02059130824476158,0.02589567540453836,2.294714841691793,44.56999465452283,0.18378714716730285,0.2083583125790802,3.4570100023566357,0.4911156018852741,11.730706881195415,2.8315972530338014,4.834645872936243,13.91693073791651,7.456432881958313,3.9663421584815635,1.4930799585374819,1.3607108818549012,5.862326511807861,1.9910860555806387,1.0308677531608248,1.634982102004966,15.574638491822581,1.702132822056427,0.14967835232313353,8.07577795225179,3.1279776374240282,10.255587061197835,22.705177501123224,9.177264119092742,41.28161469281199,10.863186415985506,20.85997810024161,13.276342828325681,44.29984226910136,0.08437498866563406,0.09976471181492397,0.1105267396305911,3.688878076417844,0.5257160705156808,0.4415419369639019,1.2818097177925103,26.004657774460675,1.1934494472462274,1.0460651915450527,7.682559000118463,3.5783051537077584,6.350786857616677,2.267162412541594,1.271950783779455,0.2996747140165033,0.052157834146565815,209.1989190682176,2.066290528841025,1.0219683244932964,0.5457874305782313,9.236335117337756,22.97622524913612,6.2779247945315335,0.8619632261082805,3.8515968009132897,5.946361307000462,17.769671389831558,4.874832236554774,2.4706858799220415,1.5488702290489615,5.84416811658615,17.329086194955618,58.447280054450516,9.696630158616149,1.8935654781421243,0.48475274120012257,1.404550777880111,14.507363645754241,2.748650963096203,569.836050421971,0.0,0.0,0.0,0.0,0.0,9.269848912509582,-0.007404409525070652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
