"","years","Coal","Gas CC CCS","Gas CC","Gas CT","Nuclear","Hydro","Biomass","Geothermal","Wind on","Wind off","CSP","PV utility","PV dist","Batteries","PHS"
"2010",2010,316800.1,0,316455.408,148920.192,101167.4,78824.7,4368.5,2404.6,39134.5,0,473,393.4,NA,47,22198.9
"2011",2011,317640.3,0,318652.828,149954.272,101418.8,78651.6,4535.9,2409.2,45675.9,0,471.5,1052,NA,63.8,22292.6
"2012",2012,309680.4,0,320604.496,150872.704,101885,78738,4810.6,2592.1,59074.8,0,476,2694.1,NA,125.8,22368.3
"2013",2013,303306.3,0,320293.94,150726.56,99240.3,79200,5043,2607,59973.4,0,1286.4,5336.1,NA,128.3,22389.3
"2014",2014,299094.2,0,323136,152064,98569.3,79677.3,5166.5,2514.3,64231.5,0,1666.7,8656.6,7326.6,150.3,22485.1
"2015",2015,279719.9,0,325554.148,153201.952,98672,79664.2,5124.5,2541.5,72573.4,0,1757.9,11905.4,9778.5,257,22575.1
"2016",2016,266619.9,0,328890.5,154772,99564.8,79912.9,5088.8,2516.6,81286.6,0,1757.9,20192.9,12765.1,422.1,22778.7
"2017",2017,256547.3,0,334351.988,157342.112,99628.9,79794.5,5129.5,2483.3,87597.5,0,1757.9,25209,16147.8,541.9,22810.4
"2018",2018,242785.6,0,343399.32,161599.68,99432.9,79871.8,5038.6,2444.3,94417.7,0,1757.9,30120.5,19547.1,744.2,22830.2
"2019",2019,228657.4,0,347117.492,163349.408,98119,79773.1,4738.8,2555.4,103571.2,0,1758.1,35710.2,23213.6,913.7,22778.3
"2020",2020,215554.2,0,350643.156,165008.544,96500.6,79924.3,4623.3,2571.9,118378.7,0,1747.9,46306.2,27584.8,1404.2,23016.2
