"","years","Coal","Gas CC CCS","Gas CC","Gas CT","Nuclear","Hydro","Biomass","Geothermal","Wind on","Wind off","CSP","PV utility","PV dist","Batteries","PHS"
"2010",2010,1847290,0,846848.265428549,189222.734571451,806968,260203,56089,15219,94652,0,789,423,NA,NA,-5501
"2011",2011,1733430,0,862677.357747791,192759.64225221,790204,319355,56671,15316,120177,0,806,1012,NA,NA,-6421
"2012",2012,1514043,0,1046150.10211323,214831.897886767,769331,276240,57622,15562,140822,0,876,3451,NA,NA,-4950
"2013",2013,1581115,0,980868.451681845,183984.548318155,789016,268565,60858,15775,167840,0,915,8121,NA,NA,-4681
"2014",2014,1581710,0,994884.931597387,173977.068402613,797166,259367,63990,15877,181655,0,2441,15250,11233,NA,-6174
"2015",2015,1352398,0,1165689.91648631,209158.083513688,797178,249080,63632,15918,190719,0,3227,21666,14139,NA,-5091
"2016",2016,1239149,0,1183186.50428025,232132.495719749,805694,267812,62761,15826,226993,0,3384,32670,18812,NA,-6686
"2017",2017,1205835,0,1123548.71297906,206752.287020939,804950,300333,62733,15927,254303,0,3269,50018,23990,NA,-6495
"2018",2018,1149487,0,1264388.78005735,243433.219942646,807084,292524,61832,15967,272667,0,3592,60234,29539,NA,-5905
"2019",2019,964957,0,1368203.8272723,248542.172727697,809409,287874,57506,15473,295882,0,3218,68719,34957,NA,-5261
"2020",2020,773393,0,1401237.60672271,251971.393277292,789879,285274,54703,15890,337938,0,3133,86066,41522,NA,-5321
