"","years","Coal","Gas CC CCS","Gas CC","Gas CT","Nuclear","Hydro","Biomass","Geothermal","Wind on","Wind off","CSP","PV utility","PV dist","Batteries","PHS"
"1",2010,313393.9,0,202404.4,229073.9,101167.4,78810.3,6227.7,2392.1,35702.6,0,473,206.8,NA,NA,NA
"2",2011,314056.1,0,210518.7,227548.2,101265.1,78564.7,6372.5,2407.9,42019.2,0,485.3,537,NA,NA,NA
"3",2012,304974.9,0,217938.2,218992.1,101166,78296.6,6442.5,2531.8,49458,0,476,1527.1,NA,NA,NA
"4",2013,302604.4,0,219902.9,221855.2,99006.8,78873.5,7121.3,2509.5,59175.6,0,552.1,3525.2,NA,126.7,22389.3
"5",2014,299064.7,0,224183.2,220869.7,98569.3,79582.8,7108.6,2513.3,60587.8,0,1445.3,6555.6,7326.6,155.1,22477.9
"6",2015,286082.7,0,231467.5,222265.5,98614.6,79650.8,7632.2,2523,67106.2,0,1697.3,9521.6,9778.5,206.8,22568.9
"7",2016,269477.1,0,236442.8,224051.5,99364.8,79806,7558.3,2516.6,74162.7,0,1757.9,14161.4,12765.1,423,22752.7
"8",2017,259930.2,0,242839.1,222472.4,99619.5,79698.8,7501.4,2460.4,83355.6,0,1757.9,21940.9,16147.8,632.8,22791.7
"9",2018,246866.8,0,254403.3,220687.9,99605.2,79771.9,7602.9,2391.5,89228.5,0,1757.9,27143.3,19547.1,713.6,22815.4
"10",2019,235089.3,0,266846.5,217692.8,98836.7,79838,7290.6,2535.2,97564.8,0,1758.1,31840.8,23213.6,949.8,22754.7
"11",2020,220623.2,0,274300.4,218114.2,97238.3,79810.4,6929,2561.5,107387.7,0,1747.9,39458.1,27584.8,1210.3,22939.6
