"","technology","years","CAPEX","FOM","VOM","Fuel"
"1","Batteries",2017,1633.39133607548,40.8347834018869,0,0
"2","Biomass",2017,3989.8176251074,111.708984375,5.56640625,41.33911265
"3","Coal",2017,4035.69533259993,33,5,17.98782734375
"4","CSP",2017,7729.63907851748,66,4.1,0
"5","Gas CC",2017,926.643082306058,10.56,2.77,21.34431489
"6","Gas CC CCS",2017,2292.00262985556,33.62,7.18,24.9017007
"7","Gas CT",2017,919.154818930378,12.23,7.14,32.49630577
"8","Geothermal",2017,4680.82082973531,135.226412327321,0,0
"9","Hydro",2017,2528.24940676936,63.25971,0,0
"10","Nuclear",2017,6742.10511891667,100.888671875,2.314453125,6.73944817089844
"11","PV utility",2017,1110.73020450495,19.8672197515342,0,0
"12","Wind off",2017,3991.21542374362,121.966422909487,0,0
"13","Wind on",2017,1610.10860025975,43.56,0,0
"14","PV dist",2017,2438.93132778123,21.4371625330508,0,0
"91","PHS",2017,2528.24940676936,63.25971,0,0
"16","Batteries",2018,1633.39133607548,40.8347834018869,0,0
"21","Biomass",2018,4348.07989144589,122.976424361493,4.72495088408644,42.33125136
"31","Coal",2018,4149.98823303465,39.6954813359528,4.4007858546169,17.3806996876228
"41","CSP",2018,7834.58067360232,67.61205,4.2001425,0
"51","Gas CC",2018,1088.3277390392,12.8634577603143,2.16110019646365,17.57003977
"61","Gas CC CCS",2018,2778.13766212386,26.9941060903733,5.71709233791749,20.6569095
"71","Gas CT",2018,982.9624613021,11.3948919449902,4.49901768172888,26.11829441
"81","Geothermal",2018,6697.67681504346,137.434811475188,0,0
"92","Hydro",2018,2528.24940676936,63.25971,0,0
"101","Nuclear",2018,7185.65506395816,118.988212180747,2.31827111984283,6.94924846561886
"111","PV utility",2018,1599.90178377752,18.76,0,0
"121","Wind off",2018,4278.53078790361,128.440185379026,0,0
"131","Wind on",2018,1555.8836815857,43.2053846153846,0,0
"141","PV dist",2018,2691.08381068214,20.5502740178877,0,0
"911","PHS",2018,2528.24940676936,63.25971,0,0
"17","Batteries",2019,1434.2856,35.85714,0,0
"22","Biomass",2019,4345.95024672065,149.833992094862,4.79249011857707,43.09829363
"32","Coal",2019,3121.64031407017,71.8,7.86,17.3806996876228
"42","CSP",2019,6781.00777376035,65.61205,3.5001425,0
"52","Gas CC",2019,1053.69762137874,27.3,1.74,17.57003977
"62","Gas CC CCS",2019,2669.87898861314,65.1,5.73,20.6569095
"72","Gas CT",2019,936.376450215861,20.9,4.95,26.11829441
"82","Geothermal",2019,6662.4168216713,138.006652032633,0,0
"93","Hydro",2019,2528.24940676936,63.25971,0,0
"102","Nuclear",2019,7388.07436280544,144.97233201581,2.35177865612648,7.09287024117819
"112","PHS",2019,2528.24940676936,63.25971,0,0
"122","PV utility",2019,1391.15923459898,22.8876686157501,0,0
"132","Wind off",2019,3858.98126484717,118.460786872893,0,0
"142","Wind on",2019,1436,43,0,0
"15","PV dist",2019,2422.9154936452,24.4509529601706,0,0
