"","years","technology","generation"
"1",2010,"Coal",1842116.808444
"2",2011,"Coal",1727710.541808
"3",2012,"Coal",1501428.029688
"4",2013,"Coal",1574583.839136
"5",2014,"Coal",1584983.09706
"6",2015,"Coal",1360803.857436
"7",2016,"Coal",1246407.041088
"8",2017,"Coal",1209080.921112
"9",2018,"Coal",1159128.498048
"10",2019,"Coal",978206.5773
"11",2020,"Coal",782726.98896
"12",2010,"Gas CC CCS",0
"13",2011,"Gas CC CCS",0
"14",2012,"Gas CC CCS",0
"15",2013,"Gas CC CCS",0
"16",2014,"Gas CC CCS",0
"17",2015,"Gas CC CCS",0
"18",2016,"Gas CC CCS",0
"19",2017,"Gas CC CCS",0
"20",2018,"Gas CC CCS",0
"21",2019,"Gas CC CCS",0
"22",2020,"Gas CC CCS",0
"23",2010,"Gas CC",785466.706992
"24",2011,"Gas CC",816955.708716
"25",2012,"Gas CC",996570.365904
"26",2013,"Gas CC",940058.509152
"27",2014,"Gas CC",954428.588352
"28",2015,"Gas CC",1131431.6574
"29",2016,"Gas CC",1147466.366112
"30",2017,"Gas CC",1089162.504192
"31",2018,"Gas CC",1225715.0994
"32",2019,"Gas CC",1339430.66982
"33",2020,"Gas CC",1369636.75728
"34",2010,"Gas CT",194602.934844
"35",2011,"Gas CT",194845.772556
"36",2012,"Gas CT",208369.7619
"37",2013,"Gas CT",188238.837768
"38",2014,"Gas CT",181835.819136
"39",2015,"Gas CT",207519.578496
"40",2016,"Gas CT",226778.329872
"41",2017,"Gas CT",200231.092932
"42",2018,"Gas CT",237833.295696
"43",2019,"Gas CT",236517.926508
"44",2020,"Gas CT",240967.296948
"45",2010,"Nuclear",807352.272264
"46",2011,"Nuclear",790390.307916
"47",2012,"Nuclear",767461.46256
"48",2013,"Nuclear",787508.007744
"49",2014,"Nuclear",791799.301356
"50",2015,"Nuclear",797346.376008
"51",2016,"Nuclear",803412.103104
"52",2017,"Nuclear",805471.47486
"53",2018,"Nuclear",807100.9356
"54",2019,"Nuclear",808666.065528
"55",2020,"Nuclear",787070.137392
"56",2010,"Hydro",258891.8355
"57",2011,"Hydro",315207.861576
"58",2012,"Hydro",271607.773536
"59",2013,"Hydro",268081.56168
"60",2014,"Hydro",259338.062016
"61",2015,"Hydro",249093.539856
"62",2016,"Hydro",267056.41392
"63",2017,"Hydro",300209.43984
"64",2018,"Hydro",292797.972636
"65",2019,"Hydro",288144.92256
"66",2020,"Hydro",284549.615328
"67",2010,"Biomass",35024.086584
"68",2011,"Biomass",35838.4302
"69",2012,"Biomass",35724.1779
"70",2013,"Biomass",38864.352324
"71",2014,"Biomass",39044.127672
"72",2015,"Biomass",41853.153072
"73",2016,"Biomass",41514.113916
"74",2017,"Biomass",40610.179152
"75",2018,"Biomass",41159.667672
"76",2019,"Biomass",39916.035
"77",2020,"Biomass",37936.275
"78",2010,"Geothermal",15003.633936
"79",2011,"Geothermal",15081.64086
"80",2012,"Geothermal",15147.961944
"81",2013,"Geothermal",15783.95196
"82",2014,"Geothermal",15851.88576
"83",2015,"Geothermal",15890.96412
"84",2016,"Geothermal",15784.517856
"85",2017,"Geothermal",15776.872128
"86",2018,"Geothermal",15921.6504
"87",2019,"Geothermal",15457.012992
"88",2020,"Geothermal",15505.16934
"89",2010,"Wind on",92888.168472
"90",2011,"Wind on",118156.309632
"91",2012,"Wind on",137774.16144
"92",2013,"Wind on",167954.554944
"93",2014,"Wind on",180454.70352
"94",2015,"Wind on",189287.800464
"95",2016,"Wind on",224134.51194
"96",2017,"Wind on",252647.489376
"97",2018,"Wind on",270448.01436
"98",2019,"Wind on",294005.670912
"99",2020,"Wind on",332072.836956
"100",2010,"Wind off",0
"101",2011,"Wind off",0
"102",2012,"Wind off",0
"103",2013,"Wind off",0
"104",2014,"Wind off",0
"105",2015,"Wind off",0
"106",2016,"Wind off",0
"107",2017,"Wind off",0
"108",2018,"Wind off",0
"109",2019,"Wind off",0
"110",2020,"Wind off",0
"111",2010,"CSP",1015.1526
"112",2011,"CSP",1016.043492
"113",2012,"CSP",984.06336
"114",2013,"CSP",841.532904
"115",2014,"CSP",2316.931524
"116",2015,"CSP",3226.431516
"117",2016,"CSP",3403.224084
"118",2017,"CSP",3357.026472
"119",2018,"CSP",3634.212144
"120",2019,"CSP",3265.002672
"121",2020,"CSP",3154.190424
"122",2010,"PV utility",365.936736
"123",2011,"PV utility",893.7828
"124",2012,"PV utility",2728.988784
"125",2013,"PV utility",7565.78424
"126",2014,"PV utility",14701.326336
"127",2015,"PV utility",21269.35008
"128",2016,"PV utility",31013.466
"129",2017,"PV utility",49203.784704
"130",2018,"PV utility",59681.602308
"131",2019,"PV utility",67778.874144
"132",2020,"PV utility",83648.015352
"133",2010,"PV dist",NA
"134",2011,"PV dist",NA
"135",2012,"PV dist",NA
"136",2013,"PV dist",NA
"137",2014,"PV dist",11233
"138",2015,"PV dist",14139
"139",2016,"PV dist",18812
"140",2017,"PV dist",23990
"141",2018,"PV dist",29539
"142",2019,"PV dist",34957
"143",2020,"PV dist",41522
"144",2010,"Batteries",NA
"145",2011,"Batteries",NA
"146",2012,"Batteries",NA
"147",2013,"Batteries",7.769244
"148",2014,"Batteries",23.097492
"149",2015,"Batteries",65.216448
"150",2016,"Batteries",140.80824
"151",2017,"Batteries",376.946304
"152",2018,"Batteries",325.059072
"153",2019,"Batteries",449.293392
"154",2020,"Batteries",551.315856
"155",2010,"PHS",NA
"156",2011,"PHS",NA
"157",2012,"PHS",NA
"158",2013,"PHS",19220.766264
"159",2014,"PHS",20084.453208
"160",2015,"PHS",20165.763528
"161",2016,"PHS",22323.129024
"162",2017,"PHS",22760.703288
"163",2018,"PHS",21585.193632
"164",2019,"PHS",20730.441888
"165",2020,"PHS",21099.84408
