"","years","Coal","Gas CC CCS","Gas CC","Gas CT","Nuclear","Hydro","Biomass","Geothermal","Wind on","Wind off","CSP","PV utility","PV dist","Batteries","PHS"
"1",2010,1842116.808444,0,785466.706992,194602.934844,807352.272264,258891.8355,35024.086584,15003.633936,92888.168472,0,1015.1526,365.936736,NA,NA,NA
"2",2011,1727710.541808,0,816955.708716,194845.772556,790390.307916,315207.861576,35838.4302,15081.64086,118156.309632,0,1016.043492,893.7828,NA,NA,NA
"3",2012,1501428.029688,0,996570.365904,208369.7619,767461.46256,271607.773536,35724.1779,15147.961944,137774.16144,0,984.06336,2728.988784,NA,NA,NA
"4",2013,1574583.839136,0,940058.509152,188238.837768,787508.007744,268081.56168,38864.352324,15783.95196,167954.554944,0,841.532904,7565.78424,NA,7.769244,19220.766264
"5",2014,1584983.09706,0,954428.588352,181835.819136,791799.301356,259338.062016,39044.127672,15851.88576,180454.70352,0,2316.931524,14701.326336,11233,23.097492,20084.453208
"6",2015,1360803.857436,0,1131431.6574,207519.578496,797346.376008,249093.539856,41853.153072,15890.96412,189287.800464,0,3226.431516,21269.35008,14139,65.216448,20165.763528
"7",2016,1246407.041088,0,1147466.366112,226778.329872,803412.103104,267056.41392,41514.113916,15784.517856,224134.51194,0,3403.224084,31013.466,18812,140.80824,22323.129024
"8",2017,1209080.921112,0,1089162.504192,200231.092932,805471.47486,300209.43984,40610.179152,15776.872128,252647.489376,0,3357.026472,49203.784704,23990,376.946304,22760.703288
"9",2018,1159128.498048,0,1225715.0994,237833.295696,807100.9356,292797.972636,41159.667672,15921.6504,270448.01436,0,3634.212144,59681.602308,29539,325.059072,21585.193632
"10",2019,978206.5773,0,1339430.66982,236517.926508,808666.065528,288144.92256,39916.035,15457.012992,294005.670912,0,3265.002672,67778.874144,34957,449.293392,20730.441888
"11",2020,782726.98896,0,1369636.75728,240967.296948,787070.137392,284549.615328,37936.275,15505.16934,332072.836956,0,3154.190424,83648.015352,41522,551.315856,21099.84408
