"","technology","years","retirement","scenario"
"1","Biomass",2012,102.15,"95% by 2035"
"2","Coal",2012,6788.05,"95% by 2035"
"3","Gas CC",2012,34.7500000000001,"95% by 2035"
"4","Gas CT",2012,4663.2,"95% by 2035"
"5","Wind on",2012,18.5,"95% by 2035"
"6","Biomass",2014,62.55,"95% by 2035"
"7","Coal",2014,5734.8,"95% by 2035"
"8","Gas CC",2014,803.899999999999,"95% by 2035"
"9","Gas CT",2014,5188.3,"95% by 2035"
"10","Nuclear",2014,2090.15,"95% by 2035"
"11","Wind on",2014,8.69999999999999,"95% by 2035"
"12","Biomass",2016,156.05,"95% by 2035"
"13","Coal",2016,12428.65,"95% by 2035"
"14","Gas CC",2016,391.15,"95% by 2035"
"15","Gas CT",2016,7889.4,"95% by 2035"
"16","Nuclear",2016,241.4,"95% by 2035"
"17","PHS",2016,1.5,"95% by 2035"
"18","Wind on",2016,58.1000000000001,"95% by 2035"
"19","Biomass",2018,132.8,"95% by 2035"
"20","Coal",2018,9514.2,"95% by 2035"
"21","Gas CC",2018,1377.2,"95% by 2035"
"22","Gas CT",2018,8017.75,"95% by 2035"
"23","Nuclear",2018,303.85,"95% by 2035"
"24","Wind on",2018,25.85,"95% by 2035"
"25","Biomass",2020,246.35,"95% by 2035"
"26","Coal",2020,10451.15,"95% by 2035"
"27","Gas CC",2020,406,"95% by 2035"
"28","Gas CT",2020,2882.55,"95% by 2035"
"29","Nuclear",2020,1546.95,"95% by 2035"
"30","Wind on",2020,61.2,"95% by 2035"
"31","Coal",2022,5826.15,"95% by 2035"
"32","Gas CC",2022,44.4999999999997,"95% by 2035"
"33","Gas CT",2022,3504.95,"95% by 2035"
"34","Nuclear",2022,2953.25,"95% by 2035"
"35","Wind on",2022,67.35,"95% by 2035"
"36","Batteries",2024,3,"95% by 2035"
"37","Biomass",2024,8,"95% by 2035"
"38","Coal",2024,14703.8379225757,"95% by 2035"
"39","Gas CC",2024,890.950000000001,"95% by 2035"
"40","Gas CT",2024,11800.4945452515,"95% by 2035"
"41","Nuclear",2024,561,"95% by 2035"
"42","PV utility",2024,0.818144632945469,"95% by 2035"
"43","Wind on",2024,5.34999999999999,"95% by 2035"
"44","Batteries",2026,16,"95% by 2035"
"45","Coal",2026,8017.30675045141,"95% by 2035"
"46","Gas CC",2026,222.4,"95% by 2035"
"47","Gas CT",2026,4522.4219025319,"95% by 2035"
"48","Nuclear",2026,559,"95% by 2035"
"49","PV utility",2026,1.13698138972542,"95% by 2035"
"50","Wind on",2026,30,"95% by 2035"
"51","Batteries",2028,57.6,"95% by 2035"
"52","Biomass",2028,117.45,"95% by 2035"
"53","Coal",2028,6950.50684912859,"95% by 2035"
"54","Gas CC",2028,384.85,"95% by 2035"
"55","Gas CT",2028,1453.35655692086,"95% by 2035"
"56","PHS",2028,13.7,"95% by 2035"
"57","PV utility",2028,1.23136328236436,"95% by 2035"
"58","Wind on",2028,9.4,"95% by 2035"
"59","Batteries",2030,58.7,"95% by 2035"
"60","Biomass",2030,106.2,"95% by 2035"
"61","Coal",2030,2724.25,"95% by 2035"
"62","Gas CC",2030,1451.15,"95% by 2035"
"63","Gas CT",2030,6069.2444515651,"95% by 2035"
"64","PHS",2030,1,"95% by 2035"
"65","PV utility",2030,11.505510675818,"95% by 2035"
"66","Wind on",2030,392.4,"95% by 2035"
"67","Batteries",2032,281.3,"95% by 2035"
"68","Biomass",2032,38.7,"95% by 2035"
"69","Coal",2032,5624.1207370255,"95% by 2035"
"70","Gas CC",2032,177,"95% by 2035"
"71","Gas CT",2032,1162.14270763448,"95% by 2035"
"72","PV utility",2032,156.192625897457,"95% by 2035"
"73","Wind on",2032,1079.05,"95% by 2035"
"74","Batteries",2034,249.05,"95% by 2035"
"75","Biomass",2034,134,"95% by 2035"
"76","Coal",2034,31443.5533025961,"95% by 2035"
"77","Gas CC",2034,859.499999999999,"95% by 2035"
"78","Gas CT",2034,2406.52274900918,"95% by 2035"
"79","PV utility",2034,314.232535658269,"95% by 2035"
"80","Wind on",2034,1132.3,"95% by 2035"
"81","Batteries",2036,688.5,"95% by 2035"
"82","Biomass",2036,121.3,"95% by 2035"
"83","Coal",2036,17117.642289555,"95% by 2035"
"84","Gas CC",2036,428.2,"95% by 2035"
"85","Gas CT",2036,4261.49582088419,"95% by 2035"
"86","PV utility",2036,808.011116707014,"95% by 2035"
"87","Wind on",2036,1252.9,"95% by 2035"
"88","Batteries",2038,4357.50893575597,"95% by 2035"
"89","Biomass",2038,399.55,"95% by 2035"
"90","Coal",2038,1867.21744618938,"95% by 2035"
"91","Gas CC",2038,451.55,"95% by 2035"
"92","Gas CT",2038,1859.39631055299,"95% by 2035"
"93","PV utility",2038,987.01274225227,"95% by 2035"
"94","Wind on",2038,3923.3,"95% by 2035"
"95","Batteries",2040,927.999649236384,"95% by 2035"
"96","Biomass",2040,477.65,"95% by 2035"
"97","Gas CC",2040,380.5,"95% by 2035"
"98","Gas CT",2040,2898.00690691134,"95% by 2035"
"99","Geothermal",2040,7.79999999999998,"95% by 2035"
"100","PV dist",2040,29.2,"95% by 2035"
"101","PV utility",2040,1150.29980242907,"95% by 2035"
"102","Wind on",2040,11313.65,"95% by 2035"
"103","Batteries",2042,692.807092850378,"95% by 2035"
"104","Biomass",2042,235.2,"95% by 2035"
"105","Coal",2042,730,"95% by 2035"
"106","CSP",2042,33.0235,"95% by 2035"
"107","Gas CC",2042,444.6,"95% by 2035"
"108","Gas CT",2042,2217.1,"95% by 2035"
"109","Geothermal",2042,67.5,"95% by 2035"
"110","PV dist",2042,252,"95% by 2035"
"111","PV utility",2042,1983.27462804633,"95% by 2035"
"112","Wind on",2042,9856.5,"95% by 2035"
"113","Batteries",2044,1075.20207339925,"95% by 2035"
"114","Biomass",2044,106.3,"95% by 2035"
"115","Coal",2044,481.85,"95% by 2035"
"116","CSP",2044,469.5,"95% by 2035"
"117","Gas CT",2044,2300.55,"95% by 2035"
"118","Geothermal",2044,42.7,"95% by 2035"
"119","PV dist",2044,436.618,"95% by 2035"
"120","PV utility",2044,3611.7051348113,"95% by 2035"
