"","years","technology","scenario","capacity"
"1",2022,"Batteries","95% by 2035",11520.2
"2",2024,"Batteries","95% by 2035",13389.2
"3",2026,"Batteries","95% by 2035",14750.2
"4",2028,"Batteries","95% by 2035",17506.2
"5",2030,"Batteries","95% by 2035",32883.5
"6",2032,"Batteries","95% by 2035",56632.6
"7",2034,"Batteries","95% by 2035",116024.7
"8",2036,"Batteries","95% by 2035",158203.1
"9",2038,"Batteries","95% by 2035",181261.2
"10",2040,"Batteries","95% by 2035",199664.7
"11",2042,"Batteries","95% by 2035",213264
"12",2044,"Batteries","95% by 2035",228337.9
"13",2046,"Batteries","95% by 2035",237584.1
"14",2048,"Batteries","95% by 2035",239622
"15",2050,"Batteries","95% by 2035",252593.5
"16",2022,"Biomass","95% by 2035",6359.8
"17",2024,"Biomass","95% by 2035",6363.8
"18",2026,"Biomass","95% by 2035",6363.8
"19",2028,"Biomass","95% by 2035",6128.9
"20",2030,"Biomass","95% by 2035",5953.6
"21",2032,"Biomass","95% by 2035",5876.2
"22",2034,"Biomass","95% by 2035",5603.9
"23",2036,"Biomass","95% by 2035",7020.5
"24",2038,"Biomass","95% by 2035",6557.3
"25",2040,"Biomass","95% by 2035",5598
"26",2042,"Biomass","95% by 2035",5738.2
"27",2044,"Biomass","95% by 2035",5503.2
"28",2046,"Biomass","95% by 2035",5371.3
"29",2048,"Biomass","95% by 2035",5341.9
"30",2050,"Biomass","95% by 2035",5210.7
"31",2022,"Coal","95% by 2035",208331.5
"32",2024,"Coal","95% by 2035",178968.9
"33",2026,"Coal","95% by 2035",163425
"34",2028,"Coal","95% by 2035",149462.9
"35",2030,"Coal","95% by 2035",144275.5
"36",2032,"Coal","95% by 2035",132286.8
"37",2034,"Coal","95% by 2035",69483.9
"38",2036,"Coal","95% by 2035",34337.9
"39",2038,"Coal","95% by 2035",30259
"40",2040,"Coal","95% by 2035",30259
"41",2042,"Coal","95% by 2035",28972
"42",2044,"Coal","95% by 2035",27954.3
"43",2046,"Coal","95% by 2035",24303.1
"44",2048,"Coal","95% by 2035",20248.3
"45",2050,"Coal","95% by 2035",18238
"46",2022,"CSP","95% by 2035",1005
"47",2024,"CSP","95% by 2035",1005
"48",2026,"CSP","95% by 2035",1005
"49",2028,"CSP","95% by 2035",1005
"50",2030,"CSP","95% by 2035",1005
"51",2032,"CSP","95% by 2035",1005
"52",2034,"CSP","95% by 2035",1005
"53",2036,"CSP","95% by 2035",1005
"54",2038,"CSP","95% by 2035",1005
"55",2040,"CSP","95% by 2035",1005
"56",2042,"CSP","95% by 2035",939
"57",2044,"CSP","95% by 2035",0
"58",2046,"CSP","95% by 2035",0
"59",2048,"CSP","95% by 2035",0
"60",2050,"CSP","95% by 2035",0
"61",2022,"Gas CC","95% by 2035",285395.2
"62",2024,"Gas CC","95% by 2035",295400.2
"63",2026,"Gas CC","95% by 2035",300194.4
"64",2028,"Gas CC","95% by 2035",304222.3
"65",2030,"Gas CC","95% by 2035",303029.7
"66",2032,"Gas CC","95% by 2035",302708.8
"67",2034,"Gas CC","95% by 2035",301595.8
"68",2036,"Gas CC","95% by 2035",300952.8
"69",2038,"Gas CC","95% by 2035",299148.7
"70",2040,"Gas CC","95% by 2035",298381.3
"71",2042,"Gas CC","95% by 2035",309734.5
"72",2044,"Gas CC","95% by 2035",319632.2
"73",2046,"Gas CC","95% by 2035",344498.4
"74",2048,"Gas CC","95% by 2035",366950.6
"75",2050,"Gas CC","95% by 2035",400616.6
"76",2022,"Gas CC CCS","95% by 2035",0
"77",2024,"Gas CC CCS","95% by 2035",0
"78",2026,"Gas CC CCS","95% by 2035",0
"79",2028,"Gas CC CCS","95% by 2035",0
"80",2030,"Gas CC CCS","95% by 2035",0
"81",2032,"Gas CC CCS","95% by 2035",0
"82",2034,"Gas CC CCS","95% by 2035",0
"83",2036,"Gas CC CCS","95% by 2035",388.9
"84",2038,"Gas CC CCS","95% by 2035",388.9
"85",2040,"Gas CC CCS","95% by 2035",388.9
"86",2042,"Gas CC CCS","95% by 2035",388.9
"87",2044,"Gas CC CCS","95% by 2035",388.9
"88",2046,"Gas CC CCS","95% by 2035",388.9
"89",2048,"Gas CC CCS","95% by 2035",388.9
"90",2050,"Gas CC CCS","95% by 2035",388.9
"91",2022,"Gas CT","95% by 2035",219584.9
"92",2024,"Gas CT","95% by 2035",194814.9
"93",2026,"Gas CT","95% by 2035",186061.5
"94",2028,"Gas CT","95% by 2035",183147.5
"95",2030,"Gas CT","95% by 2035",170910
"96",2032,"Gas CT","95% by 2035",168777.7
"97",2034,"Gas CT","95% by 2035",164622
"98",2036,"Gas CT","95% by 2035",157569.9
"99",2038,"Gas CT","95% by 2035",154137.8
