"","years","technology","scenario","generation"
"1",2022,"Batteries","95% by 2035",8827.094
"2",2024,"Batteries","95% by 2035",10341.922
"3",2026,"Batteries","95% by 2035",12228.785
"4",2028,"Batteries","95% by 2035",16475.386
"5",2030,"Batteries","95% by 2035",44100.54
"6",2032,"Batteries","95% by 2035",83298.41
"7",2034,"Batteries","95% by 2035",193785.52
"8",2036,"Batteries","95% by 2035",259089.46
"9",2038,"Batteries","95% by 2035",287755.46
"10",2040,"Batteries","95% by 2035",313281.1
"11",2042,"Batteries","95% by 2035",322127.07
"12",2044,"Batteries","95% by 2035",330968.06
"13",2046,"Batteries","95% by 2035",337335.3
"14",2048,"Batteries","95% by 2035",338247.17
"15",2050,"Batteries","95% by 2035",358980.06
"16",2022,"Biomass","95% by 2035",37558.108
"17",2024,"Biomass","95% by 2035",37486.52
"18",2026,"Biomass","95% by 2035",37462.624
"19",2028,"Biomass","95% by 2035",35667.516
"20",2030,"Biomass","95% by 2035",34070.348
"21",2032,"Biomass","95% by 2035",32748.052
"22",2034,"Biomass","95% by 2035",28963.306
"23",2036,"Biomass","95% by 2035",39306.553
"24",2038,"Biomass","95% by 2035",37401.568
"25",2040,"Biomass","95% by 2035",32228.145
"26",2042,"Biomass","95% by 2035",34472.275
"27",2044,"Biomass","95% by 2035",33477.6
"28",2046,"Biomass","95% by 2035",33070.025
"29",2048,"Biomass","95% by 2035",33106.984
"30",2050,"Biomass","95% by 2035",32242.648
"31",2022,"Coal","95% by 2035",1003146.4
"32",2024,"Coal","95% by 2035",706705.6
"33",2026,"Coal","95% by 2035",561688.26
"34",2028,"Coal","95% by 2035",415651.62
"35",2030,"Coal","95% by 2035",281597
"36",2032,"Coal","95% by 2035",34944.584
"37",2034,"Coal","95% by 2035",320.9664
"38",2036,"Coal","95% by 2035",0
"39",2038,"Coal","95% by 2035",0
"40",2040,"Coal","95% by 2035",0
"41",2042,"Coal","95% by 2035",0
"42",2044,"Coal","95% by 2035",0
"43",2046,"Coal","95% by 2035",0
"44",2048,"Coal","95% by 2035",0
"45",2050,"Coal","95% by 2035",0
"46",2022,"CSP","95% by 2035",2068.1884
"47",2024,"CSP","95% by 2035",2065.5952
"48",2026,"CSP","95% by 2035",2077.9778
"49",2028,"CSP","95% by 2035",2057.8596
"50",2030,"CSP","95% by 2035",2065.4442
