"","technology","years","CAPEX","FOM","VOM","Fuel"
"1","Coal",2019,3121.64031407017,71.8,7.86,17.3806996876228
"2","Coal",2020,3112.06105725676,71.8,7.86,17.4691500923379
"3","Coal",2021,3102.48180044335,71.8,7.86,17.1873798899804
"4","Coal",2022,3092.90254362994,71.8,7.86,16.949970654224
"5","Coal",2023,3072.54662290144,71.8,7.86,16.7638887878193
"6","Coal",2024,3072.54662290144,71.8,7.86,16.7085903143418
"7","Coal",2025,3054.58551637629,71.4,7.8,16.5634074263261
"8","Coal",2026,3022.25552463103,71,7.75,16.6311113575638
"9","Coal",2027,2989.92553288577,70.6,7.69,16.7498965854617
"10","Coal",2028,2956.39813403884,70.2,7.63,16.6044930805501
"11","Coal",2029,2922.8707351919,69.8,7.58,16.615905762279
"12","Coal",2030,2885.75111503993,69.4,7.52,16.5993679803536
"13","Coal",2031,2853.42112329467,69,7.46,16.5855454833006
"14","Coal",2032,2815.10409604103,68.6,7.41,16.5602933339882
"15","Coal",2033,2775.58966168571,68.2,7.35,16.6178319174853
"16","Coal",2034,2756.43114805889,68.2,7.35,16.6246286149312
"17","Coal",2035,2737.27263443207,68.2,7.35,16.5782057288802
"18","Coal",2036,2716.91671370357,68.2,7.35,16.578426345776
"19","Coal",2037,2697.75820007675,68.2,7.35,16.6230842966601
"20","Coal",2038,2678.59968644993,68.2,7.35,16.5975351630648
"21","Coal",2039,2661.83598702646,68.2,7.35,16.5859697465619
"22","Coal",2040,2642.67747339964,68.2,7.35,16.5292881748527
"23","Coal",2041,2621.12414556947,68.2,7.35,16.5278287092338
"24","Coal",2042,2603.16303904432,68.2,7.35,16.5455968546169
"25","Coal",2043,2585.20193251918,68.2,7.35,16.560547891945
"26","Coal",2044,2567.24082599403,68.2,7.35,16.5640607917485
"27","Coal",2045,2551.67453367224,68.2,7.35,16.5862497603143
"28","Coal",2046,2533.71342714709,68.2,7.35,16.5655032868369
"29","Coal",2047,2513.3575064186,68.2,7.35,16.581879848723
"30","Coal",2048,2493.0015856901,68.2,7.35,16.5762201768173
"31","Coal",2049,2473.84307206328,68.2,7.35,16.5568143752456
"32","Coal",2050,2430.73641640293,68.2,7.35,16.5527838742633
"33","Gas CC",2019,1053.69762137874,27.3,1.74,17.9727465618861
"34","Gas CC",2020,1049.31178320442,27.3,1.74,16.6677689587426
"35","Gas CC",2021,1043.82948548653,27.3,1.74,17.7118365422397
"36","Gas CC",2022,1041.63656639938,27.3,1.74,17.675636935167
"37","Gas CC",2023,1029.57551142002,27.3,1.74,18.116457367387
"38","Gas CC",2024,1025.1896732457,27.3,1.74,19.0534475442043
"39","Gas CC",2025,1025.1896732457,27.3,1.74,20.7918396856582
"40","Gas CC",2026,1020.80383507139,27.3,1.74,22.1051787819253
"41","Gas CC",2027,1012.03215872276,27.3,1.74,22.9315017681729
"42","Gas CC",2028,1007.64632054845,27.3,1.74,23.339926129666
"43","Gas CC",2029,1003.26048237414,27.3,1.74,23.2721854616896
"44","Gas CC",2030,998.874644199823,27.3,1.74,22.8282090373281
