,111CA,113FF,211,212,213,Hydroelectric power generation,Nuclear electric power generation,Solar electric power generation,Wind electric power generation,Geothermal electric power generation,Biomass electric power generation,Other electric power generation,Electric bulk power transmission and control,Electric power distribution,Coal electric power generation,Gas electric power generation,221200,221300,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0.17693264479503423,0.01808369395527375,0.0,0.00047320645896582205,0.00012611492923174142,1.5576349365381172e-09,3.34651298535156e-09,6.22925369077377e-09,7.636147929708572e-10,3.3979005040775907e-09,0.0389767018370496,2.565387157663915e-09,4.215562092422797e-09,4.2155814896957144e-09,2.6552567893682932e-11,1.749470000441367e-11,6.548328937607884e-07,0.0,0.0012477064549809122,0.008350912653368034,9.083662818330915e-07,5.655127801654661e-07,5.900499607754033e-07,5.313512318927384e-07,1.5060553463831002e-07,2.740250120873688e-07,5.042764041814237e-07,2.897466099734266e-07,1.1612085103749428e-05,0.0020959385676579735,0.2147533746694626,0.03200288433863059,0.0004938042373680896,0.002204572791875704,4.298484489600464e-06,5.72672654683433e-07,0.008709810483622646,8.916964136151575e-05,2.1583019832446595e-05,0.004093582128289739,0.0018336809794821589,1.766108785063911e-05,0.0005682955697306696,0.0,2.393748198940852e-06,0.0,2.3756316578522473e-08,0.0,1.6843364291160231e-09,0.0003085375680644598,1.9772713427685276e-07,6.907012629536509e-07,1.1001005500285024e-06,9.825781109041769e-07,2.6416794754251354e-06,6.847206600281448e-06,2.2857699676468263e-06,3.65943702959344e-07,5.570351132159076e-07,5.550980150363479e-07,8.910941915209903e-06,9.332094130676063e-07,7.907556503315417e-06,4.051808161151168e-06,0.0005418686127839546,7.411462710789945e-05,0.002194993949876137,1.7513121063412507e-06,0.0002925299254768586,2.1682227332777e-06,1.461114996246036e-07,1.106214250087198e-06,2.092740901932318e-06,1.0401565631035229e-05,0.002823533205873107,0.0001596543031340404,0.0008744487732483998,5.873270842093261e-05,4.847568217707502e-06,3.201891234727628e-08,8.246718253233797e-07,0.0014637357496887298,8.253083642498803e-06
113FF,0.04850499956245899,0.136803372206767,0.0,0.0006689282451744157,6.368074538392626e-09,0.0,0.0,0.0,0.0,0.0,0.0389767018370496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.319093399987236e-08,0.1002276584145532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.792254112536788e-05,0.00015563204673694277,0.0005812575533781452,1.6240398641499231e-06,0.0059366784989698055,0.026473361454950526,3.8001901023050926e-05,5.382361886172049e-06,6.446416507076645e-05,0.001059734853953711,1.0282173086144046e-09,2.077255613553734e-07,0.00025759617653291656,8.918217548732549e-10,2.866958715089392e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.5648653600534258e-08,0.0,0.0,0.0,0.0,0.0,2.5141476437069794e-10,0.0,0.0,0.0,2.2908510926323725e-11,3.03802650372924e-10,0.0,2.7784478075276045e-10,9.3285523070615e-11,0.0001369561162878705,2.1396274114633e-05,1.1111516293831143e-07,0.0,1.816957381814293e-05,0.0,0.0,0.0,0.0,0.0,0.00022413421782889342,2.6441663612063355e-05,0.00038484012203405924,1.5941379566231566e-05,1.5936464356759803e-10,0.0,9.902000978710525e-06,0.0009814431904632973,0.0
211,0.0006527095112136196,0.00028914171760068236,0.08696240776683921,0.0015938423840283174,0.000582472291959262,1.6744672971792164e-06,1.9251764302971964e-07,6.69648667114264e-06,8.208906775767405e-07,3.6527642900666715e-06,0.07585118965537685,2.9744549999173363e-05,5.518143139027209e-07,2.8410776325845565e-08,2.8544176527601186e-08,0.20088491044726503,0.16856452401322017,0.000384216042879896,0.0011745868257492225,0.0003268869254737038,0.00023791411620284692,0.0004735599621484701,8.22698886536422e-05,0.00016739244345914998,1.2781662008887764e-05,0.00030145061648753673,4.520622095895366e-05,3.770740690593561e-05,0.00015836600563534861,0.00016580407606251975,0.00014327785657797552,0.00010944858389923326,4.561461493186774e-05,0.00021168948261680626,0.0006762258377934175,0.2893017450143738,0.005852335623769358,0.00021469180287195407,0.00011226953698429487,0.00019987487440198588,0.0001111117366361799,2.689122848682855e-05,6.615348037578642e-05,0.001813099539812915,0.002637452799457963,0.0009398911435408443,0.001953900464566524,0.0011148179944610397,0.00022548300561147053,0.002632754857093244,4.088225993283248e-05,2.9454705723054227e-05,3.457041402634938e-05,4.140479104490128e-05,6.046052702184889e-05,0.000322559060468684,0.00023074830583531044,9.365201157849936e-07,0.00011720204374513175,1.914331593804939e-06,0.00021608071153938582,0.00020756881782024096,5.10365598841466e-06,5.797081921951383e-05,4.488640418600465e-05,0.00010187047317309572,0.00021086597219048997,0.0005047765127921937,8.70987560199112e-05,3.672527159691728e-05,0.00011485471410239616,0.00010855559460696056,0.0001033604620815929,2.7328365276185377e-05,0.0003283955998719973,0.00018675805973473994,0.00014044128343399247,0.00016840252514476107,0.0009889050736981305,5.6563225373983636e-05,0.012139327431639946,0.001751077425580036,0.05192270280797724
212,0.004610991491839293,6.781015700133343e-05,0.00035469652076193335,0.052646030313500104,0.0004071275309603191,1.3847573941931444e-06,1.5920897956450668e-07,5.537886257081155e-06,6.788633241828841e-07,3.020777036634549e-06,2.3910170151631505e-06,2.4598262156382144e-05,4.5634151988853425e-07,2.3495252883264554e-08,0.1922189528456901,1.5553012212312968e-08,7.764001853951834e-06,0.008430024582433318,0.01009423350798319,0.00011436802290163655,0.06239851385074148,0.044999126297310024,0.0010169519932354263,0.0002868782898163902,2.107182574176248e-05,0.0005189885803164446,0.00011151563876390744,0.0003393160857825911,0.00030093346121608776,0.0004565083740264059,0.0007614811002474659,0.0012294589296778862,2.7257885406370342e-05,0.004758564746701565,0.00023763134325273245,0.003813268339995649,0.004167084394217231,0.0009906722452697535,9.890289674792063e-06,5.083580819296773e-06,1.7110197997971731e-06,5.689637834056696e-07,5.9919367610065755e-06,7.454339294822046e-06,0.0015255534144217946,4.169286125673202e-06,2.5846113188941204e-05,2.5958334447177473e-05,9.31773533231278e-08,1.9984656879550262e-05,1.9207734131386803e-05,6.447384170863303e-05,0.00012262447911882,0.0002201058700044354,0.0012601599122977942,1.81692523703966e-06,1.4563627123285302e-06,2.518802005278881e-08,4.809797747555525e-07,1.6170357098201848e-05,2.7637524436117268e-05,5.942639624489303e-06,1.0444368036998088e-06,1.3453666607461512e-06,0.0004561539024432659,9.17945639100381e-05,0.0004353753462091005,0.0003384168480730392,0.0009031986383061538,6.425034861815837e-05,0.00010907211017136579,0.0001293432647811638,0.00017071823646066722,0.001484574409197923,0.002812949402865625,0.0002446291313768425,0.00037854270375964333,0.0007108591098325194,9.33024184030837e-06,0.001701863464997985,8.210048065098391e-06,0.0005562983539065028,0.015166545186263994
213,7.634314385179207e-06,1.1982528553100558e-06,0.026903494039827183,0.018612082080524096,0.008007760638766383,7.000838279979674e-06,1.2512652406935007e-05,5.727871518139379e-07,1.2642943946876549e-05,1.2743171982125342e-05,6.62981156275005e-06,9.592013517823356e-06,1.5762037497905242e-05,1.576211002454259e-05,2.902284164942004e-06,2.508349587652826e-06,9.333667296698385e-08,9.46870692732814e-05,9.494985091549356e-05,3.775492128459717e-05,8.485570800347662e-05,7.310452334718061e-05,0.00018287108179192952,0.00012534623216602775,2.2548514797099763e-05,0.00012731169420708444,0.00011312048041120748,6.919467378379651e-05,7.244423205719391e-05,5.839429400122359e-05,3.1985730974452754e-05,2.3719257166808056e-05,1.822134987292131e-05,5.455010679225525e-05,3.687636619721092e-05,4.3434720012268265e-06,2.3669358860186816e-05,5.234667155180201e-05,2.161857682567732e-06,4.478283523355997e-06,1.113658091284489e-06,5.610532421192644e-07,2.0989905801955565e-06,1.3361025461989381e-06,9.030554793123756e-06,6.635842058885864e-05,5.816915433799897e-06,5.571153452593603e-06,3.2931774153023947e-05,5.362849960388712e-06,5.64722549504253e-06,5.135231650690166e-06,6.454929064050373e-07,1.997021876388693e-05,9.17733010339922e-06,2.9315516332351814e-07,4.5072595263799003e-07,1.7565028895336955e-09,1.9862554939432877e-08,5.8739009651039165e-08,1.8915071558513433e-06,4.725162917943026e-06,5.6562271761234695e-08,3.4901936684938693e-06,3.214482393634948e-05,7.633253201065286e-06,4.355942917327111e-06,3.1731297804050624e-05,3.0876127176236803e-06,3.8398004445358437e-07,1.6674305871935866e-06,2.509384413992082e-07,7.874540637251894e-06,1.1458168554321765e-06,5.473496309172765e-06,4.101060831743374e-06,5.472085239253527e-06,6.435068138136963e-06,8.080164159482022e-06,5.509332380433398e-06,1.3638236426497658e-05,2.6838256518938697e-06,2.8132259853002415e-05
Hydroelectric power generation,3.212800180669359e-05,6.360964980287531e-06,7.667241011484679e-05,0.00015424470290040663,2.5605434360704993e-06,0.00045310770247964277,0.0003262607677137969,1.1584964006670381e-05,0.00025571113126241103,0.00010309532137808028,4.290941405776006e-05,0.00025010665944110095,0.0004109867586467935,0.0004109886497403532,9.392070330210074e-06,8.117260199591638e-06,8.058404412989945e-05,7.596360723117782e-05,1.496697677332118e-05,5.297725290570622e-05,8.251778526368904e-05,0.00012150101495301216,4.4957745476881373e-05,2.250542311821068e-05,1.0349258994162583e-05,2.3715575583394727e-05,1.7691628733344234e-05,1.3404970467498491e-05,3.0029683914646876e-05,2.281325793360944e-05,3.585507806472759e-05,7.681600518246836e-05,1.6075257115374982e-05,9.591555552997824e-05,7.472728003178982e-05,3.4701131256475244e-05,6.412818579251606e-05,8.403970225262572e-05,4.516676316253975e-05,0.00010098173247112793,0.0002144015811549388,0.00012913910377068937,9.529945204666563e-05,7.870115244628555e-07,2.6070918601572746e-06,4.777128868005191e-06,2.179175370222121e-05,1.2217720571243458e-05,1.7350424370809433e-05,1.1227587235313217e-05,0.00040156405408842615,8.055324141568226e-06,1.4742010840777344e-05,1.996676680499159e-05,2.0380133396652056e-05,1.393187437985044e-05,7.730879498657473e-06,2.3178609695475433e-06,3.5149345529663168e-06,5.212879048250077e-08,0.00034659496248982063,1.1292691509401345e-05,6.193996011522851e-06,2.2212580742856944e-06,1.085421987150055e-05,8.238325403622948e-05,1.393471340369597e-05,1.780830445066485e-05,2.8717858005186935e-05,1.1999964293495656e-05,4.269412822276556e-05,4.252409228225203e-05,2.4393577720184305e-05,1.877908130674731e-05,7.438935184150432e-05,0.00016455785228505562,0.00012766242801699423,2.3490694635665395e-05,6.584673642934978e-06,2.6070929030208753e-06,3.497281686130678e-05,1.4343274127595567e-05,1.6914760847832472e-05
Nuclear electric power generation,0.0003770635141431228,7.465412331708883e-05,0.0008998495633084663,0.0018102604097050353,3.0051277758571908e-05,0.005317802943683085,0.003829090658715258,0.0001359644856178586,0.0030010997365927045,0.0012099564860717424,0.0005035972841320761,0.0029353240356146553,0.004823459373977163,0.004823481568397702,0.00011022805168824875,9.526651157727633e-05,0.0009457576305649317,0.0008915308478228578,0.00017565676484340858,0.0006217563504404674,0.0009684525753590989,0.001425971025082363,0.0005276370936313005,0.000264130149745647,0.00012146189447434756,0.00027833284880912233,0.0002076340676661816,0.00015732460742101597,0.0003524370489516373,0.00026774298810292306,0.0004208055582263284,0.0009015348365208119,0.000188663863228951,0.001125692679137876,0.0008770209545143099,0.00040726250499594613,0.0007526269214013618,0.0009863142329727703,0.000530090185595955,0.001185150795836026,0.002516278918139261,0.0015156138428417494,0.0011184619106048242,9.23659469613434e-06,3.059758351607243e-05,5.606576497730756e-05,0.0002557543192303053,0.00014339069952529638,0.00020362959465997267,0.00013177020854791084,0.0047128717901340185,9.453961210089449e-05,0.000173016499644289,0.0002343357455862018,0.00023918713536819528,0.0001635085040107439,9.073183600772483e-05,2.7203086196624152e-05,4.1252287723926855e-05,6.117985502374812e-07,0.0040677386451555735,0.0001325342911236374,7.269452724590875e-05,2.6069326699753e-05,0.00012738826126365032,0.0009668736779943294,0.0001635418236150683,0.00020900340760374706,0.0003370410809626816,0.00014083504891844147,0.0005010706273553278,0.0004990750364173534,0.00028629007782798903,0.00022039672533964816,0.0008730549316124271,0.0019312985113665135,0.0014982831494395152,0.00027569358101634623,7.727963283335545e-05,3.0597595755421035e-05,0.00041045108577094275,0.00016833681034413229,0.00019851652164827228
Solar electric power generation,8.219281907196817e-06,1.6273207617878445e-06,1.9615043507213678e-05,3.946030330358514e-05,6.5506185113265e-07,0.00011591819383633556,8.346704041019634e-05,2.963772401049664e-06,6.541838136401256e-05,2.637479650362054e-05,1.097748228275701e-05,6.398459366325702e-05,0.00010514242528271007,0.00010514290907971598,2.402766104181822e-06,2.0766324123093225e-06,2.0615753818453756e-05,1.9433711012508217e-05,3.828990117049983e-06,1.3553129725302185e-05,2.1110461320332933e-05,3.10835108861729e-05,1.1501505328896746e-05,5.75754502761449e-06,2.6476429413637614e-06,6.067137398838915e-06,4.526035725213517e-06,3.4293832493206327e-06,7.682470860265983e-06,5.836298170864288e-06,9.172776949892541e-06,1.965177932254281e-05,4.112520621634519e-06,2.4538002547734994e-05,1.911742237923293e-05,8.877563628503848e-06,1.6405864279924473e-05,2.149981216906254e-05,1.1554978162107873e-05,2.583407868473191e-05,5.485019104095151e-05,3.3037557253650914e-05,2.438038526908129e-05,2.0134055092169605e-07,6.669702985426985e-07,1.2221291915192264e-06,5.574967531701256e-06,3.1256500246301e-06,4.438745676473087e-06,2.8723449774413783e-06,0.00010273182204758096,2.0607873583847778e-06,3.771437256146323e-06,5.1080825422293755e-06,5.213833798355321e-06,3.5641806705758605e-06,1.977784935781337e-06,5.929765830139692e-07,8.992229940101022e-07,1.333606823838033e-08,8.866912176668975e-05,2.889000553636666e-06,1.5846052193682434e-06,5.682627388730891e-07,2.776826692906052e-06,2.1076044300237364e-05,3.5649069758552254e-06,4.555884783930352e-06,7.346867450259646e-06,3.0699416041488065e-06,1.0922405873738711e-05,1.087890571030356e-05,6.240590162240911e-06,4.804237877818113e-06,1.9030970471110634e-05,4.209870835141489e-05,3.26597804352179e-05,6.00960627953476e-06,1.6845519763042197e-06,6.669705653376888e-07,8.94706874711264e-06,3.6694287505408694e-06,4.327290213616255e-06
Wind electric power generation,6.813879660677413e-05,1.3490677124038385e-05,0.00016261097685441072,0.00032713047334345684,5.43053842697645e-06,0.0009609752192491079,0.0006919514081759281,2.457001561743098e-05,0.0005423259394721349,0.00021865011016737032,9.10045963825992e-05,0.0005304396737834582,0.0008716428529855477,0.000871646863718621,1.9919208601805145e-05,1.721552261706496e-05,0.00017090698094938942,0.00016110770952346354,3.17427704440421e-05,0.00011235701125289026,0.00017500816329487815,0.0002576858964093769,9.534880797691296e-05,4.7730713463843864e-05,2.1949265873333982e-05,5.029726998934752e-05,3.7521359067302816e-05,2.8429983342891718e-05,6.368857100846949e-05,4.838358611995068e-05,7.60433806706111e-05,0.00016291552100767843,3.409327108410235e-05,0.00020342287606325108,0.0001584856402119208,7.359602812949661e-05,0.00013600651029493227,0.00017823592681361476,9.579210394209582e-05,0.00021416749697817546,0.0004547144207220345,0.0002738851665520894,0.00020211621061325672,1.6691364285652287e-06,5.529260831821242e-06,1.013159219362152e-05,4.6217124929045856e-05,2.591199981907726e-05,3.679771447838665e-05,2.3812071712858052e-05,0.0008516586736627444,1.708416528940808e-05,3.126565057791137e-05,4.234659442582454e-05,4.322328455684039e-05,2.9547469538612205e-05,1.6396065616528724e-05,4.915844381391801e-06,7.454662510034969e-06,1.1055754644860101e-07,0.0007350772636319416,2.3950148363781248e-05,1.3136560342336478e-05,4.7109637582059174e-06,2.3020214098571615e-05,0.00017472284222199344,2.955349069329018e-05,3.7768811212608746e-05,6.090637996633736e-05,2.54501705771412e-05,9.054800658870938e-05,9.018738520813915e-05,5.173521343742209e-05,3.98276870538503e-05,0.0001577689439055616,0.0003490031560121147,0.00027075335308169093,4.982033036358855e-05,1.3965130504457832e-05,5.529263043582535e-06,7.41722335928799e-05,3.041998828112059e-05,3.5873735814549136e-05
Geothermal electric power generation,1.4518269453533785e-05,2.874445915558503e-06,3.4647368248942254e-05,6.970138298553677e-05,1.1570797267760286e-06,0.00020475408821411773,0.00014743343723290132,5.235110171815581e-06,0.00011555287902038673,4.6587573798436275e-05,1.9390263955165138e-05,0.00011302028354382755,0.00018572012476124396,0.00018572097932437632,4.244167085178674e-06,3.668095249470638e-06,3.641499005672961e-05,3.4327068489359825e-05,6.763402312016401e-06,2.393980295509089e-05,3.728882513065226e-05,5.4904892142970354e-05,2.031588104308334e-05,1.016993832862328e-05,4.676709483076425e-06,1.0716792119130099e-05,7.994640767514503e-06,6.057549872997676e-06,1.3570064061265716e-05,1.0309045292823182e-05,1.6202491762582975e-05,3.47122571859036e-05,7.264221277752372e-06,4.3343121316666675e-05,3.376838664162325e-05,1.568103665317239e-05,2.8978779523974412e-05,3.7976561674749744e-05,2.041033369840877e-05,4.563246761256881e-05,9.688557493241239e-05,5.835645543135257e-05,4.306471133537336e-05,3.556413325651524e-07,1.1781144169380655e-06,2.1587288415025096e-06,9.847439439821473e-06,5.521045486381279e-06,7.840454494001241e-06,5.073615775300816e-06,0.00018146211442550883,3.640107066928695e-06,6.661742829855377e-06,9.022749137493737e-06,9.209544681048678e-06,6.295651608103188e-06,3.493494315321078e-06,1.0474143494572805e-06,1.5883579457739415e-06,2.355639267780659e-08,0.00015662222278686147,5.103035637745895e-06,2.798994585174201e-06,1.003760627329102e-06,4.9048954164810365e-06,3.722803203738974e-05,6.296934529880346e-06,8.047365163912918e-06,1.297726522664605e-05,5.422643963169137e-06,1.9292978796231665e-05,1.921614153707021e-05,1.1023173380286898e-05,8.486047907416847e-06,3.3615680832154335e-05,7.436177495705632e-05,5.7689162874017756e-05,1.0615171040615955e-05,2.9755372521111758e-06,1.1781148881959685e-06,1.5803808210560964e-05,6.481558357823153e-06,7.643583227132177e-06
Biomass electric power generation,1.124743839932196e-05,2.2268599898149455e-06,2.684163848355556e-05,5.3998309783853355e-05,8.964004278657315e-07,0.00015862489682866974,0.00011421805529816341,4.0556885488048045e-06,8.951989028759613e-05,3.609182679442811e-05,1.5021817860614855e-05,8.755786501287805e-05,0.00014387910828160327,0.00014387977031961134,3.2879957215119668e-06,2.841707511581178e-06,2.8211031541041983e-05,2.6593499280274403e-05,5.239670686489451e-06,1.854638804515036e-05,2.8887999701508224e-05,4.253533068634187e-05,1.57389020290166e-05,7.878745827261932e-06,3.623090340813568e-06,8.302398545779569e-06,6.193522571344813e-06,4.692840235912445e-06,1.0512854861416608e-05,7.986513286445868e-06,1.2552221089326638e-05,2.689190854663753e-05,5.627659798026185e-06,3.357831927584788e-05,2.6160683255792436e-05,1.2148244965321056e-05,2.2450130067265067e-05,2.942079559976979e-05,1.5812075379726563e-05,3.535189714752788e-05,7.505815616130207e-05,4.520928887341704e-05,3.336263247347966e-05,2.755186486296893e-07,9.12696198005798e-07,1.67238731471052e-06,7.628902938117509e-06,4.277205296862242e-06,6.074073030963172e-06,3.93057733755136e-06,0.0001405803880651108,2.8200248062107487e-06,5.160914139989704e-06,6.990007689366515e-06,7.134719934591493e-06,4.877299864998545e-06,2.7064425437007774e-06,8.114416399138526e-07,1.230515676013824e-06,1.8249356536730978e-08,0.00012133669294389124,3.953369178660701e-06,2.1684071422933857e-06,7.776226953000167e-07,3.7998681060819665e-06,2.8840902726640603e-05,4.878293756433467e-06,6.2343686516941645e-06,1.005360808982899e-05,4.200972721466788e-06,1.4946450143010867e-05,1.488692360357329e-05,8.539754958855985e-06,6.574220253856367e-06,2.604238064467771e-05,5.760875879667301e-05,4.4692331121877135e-05,8.223671750942304e-06,2.305176388626827e-06,9.126965630936794e-07,1.2243357232890981e-05,5.021323553371716e-06,5.921555029159085e-06
Other electric power generation,2.4267456208668394e-06,4.804669771645754e-07,5.791347890448198e-06,1.1650667214152226e-05,1.9340722177215596e-07,3.422488393113887e-05,2.4643670467708802e-05,8.750547525563836e-07,1.931479809207046e-05,7.787167132006065e-06,3.241105166924406e-06,1.8891471813285133e-05,3.104333480747538e-05,3.104347764869663e-05,7.094174633656214e-07,6.131263861760516e-07,6.086807930994048e-06,5.737809413192413e-06,1.1305105608748347e-06,4.001565900923623e-06,6.232870479687515e-06,9.177416564595335e-06,3.3958231394688725e-06,1.699917017139066e-06,7.817174281305072e-07,1.791324264098781e-06,1.3363135003839652e-06,1.0125265049342045e-06,2.268251986984822e-06,1.7231689079573637e-06,2.708265338222445e-06,5.802194151713539e-06,1.2142230333452368e-06,7.244853127059112e-06,5.644425092713189e-06,2.621103510341316e-06,4.843836693687585e-06,6.347826442727066e-06,3.411611010635187e-06,7.62752002244973e-06,1.6194536507598006e-05,9.75434938169411e-06,7.198316574953397e-06,5.944586227469845e-08,1.969231946916825e-07,3.6083403600696024e-07,1.646010952877136e-06,9.228491728689641e-07,1.3105410854798588e-06,8.480607763947587e-07,3.0331603428682437e-05,6.084481289197675e-07,1.1135180602229195e-06,1.5081630099008428e-06,1.539386102210172e-06,1.0523254868195736e-06,5.839416370086104e-07,1.7507652643544662e-07,2.6549587756395826e-07,3.937478427249648e-09,2.6179586657687606e-05,8.529783406115958e-07,4.678551995567343e-07,1.6777975602157957e-07,8.198589722315687e-07,6.222708843459042e-06,1.0525399286863951e-06,1.3451264445493977e-06,2.1691649724771742e-06,9.064012438436785e-07,3.2248438394863976e-06,3.212000402271911e-06,1.8425362481584205e-06,1.418452775222293e-06,5.618900139095566e-06,1.2429657151252149e-05,9.642810654814017e-06,1.7743381826610973e-06,4.973645116174204e-07,1.9692327346298896e-07,2.6416249189164407e-06,1.083400016205905e-06,1.277633824302617e-06
Electric bulk power transmission and control,0.00013086489537222353,2.5909703990314044e-05,0.0003123047299357782,0.0006282748932918698,1.0429694659304569e-05,0.0018456140669474582,0.0013289367165695318,4.7188278678073154e-05,0.0010415714814606518,0.00041993145190552707,0.00017478011906679744,0.0010187431517398936,0.0016740455722483352,0.0016740532751164537,3.825610781792958e-05,3.306350681626768e-05,0.00032823773377443124,0.0003094176093557631,6.0964010811002505e-05,0.00021578879073545957,0.00033611431547636637,0.0004949021636985911,0.00018312345390796708,9.166987288511234e-05,4.215496200479427e-05,9.659910803311819e-05,7.206215802287966e-05,5.460159235086497e-05,0.00012231795388944672,9.29237563712834e-05,0.00014604615213031734,0.00031288962636392617,6.547829688078684e-05,0.0003906865797170181,0.00030438175836922473,0.0001413458558207102,0.0002612091587469875,0.0003423134407354078,0.00018397483202134011,0.00041132230799323475,0.0008733079839292959,0.0005260138929615305,0.0003881770455615087,3.2056827382308037e-06,1.061929732069973e-05,1.9458367602584036e-05,8.876292977623964e-05,4.976564474388592e-05,7.067235253568126e-05,4.57325991722791e-05,0.0016356646840258622,3.281122670866034e-05,6.004767174323857e-05,8.13293296165224e-05,8.301306880744679e-05,5.67477957087964e-05,3.148968749485998e-05,9.441191988603672e-06,1.4317153780112065e-05,2.12332804057293e-07,0.0014117626665882581,4.5997784167850534e-05,2.5229600174357283e-05,9.047705712763702e-06,4.421178622864412e-05,0.00033556633819748914,5.6759359719553735e-05,7.253740561628775e-05,0.00011697457892884519,4.8878672293013674e-05,0.0001739032093093469,0.0001732106129972979,9.936076993873432e-05,7.649160770035697e-05,0.0003030052975008796,0.0006702827723781758,0.000519999045876775,9.568311512845909e-05,2.682092190256898e-05,1.0619301568528053e-05,0.00014245249508400265,5.8423523482616704e-05,6.889779270793635e-05
