,111CA,113FF,211,212,213,221100,221200,221300,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0.17693264479503418,0.01808369395527375,0.0,0.00047320645896582205,0.00012611492923174142,4.99591201407641e-07,6.548328937607884e-07,0.0,0.0012477064549809122,0.008350912653368034,9.083662818330915e-07,5.65512780165466e-07,5.900499607754034e-07,5.313512318927384e-07,1.5060553463831e-07,2.740250120873688e-07,5.042764041814237e-07,2.897466099734266e-07,1.1612085103749428e-05,0.0020959385676579735,0.2147533746694626,0.03200288433863059,0.0004938042373680896,0.002204572791875704,4.298484489600464e-06,5.72672654683433e-07,0.008709810483622646,8.916964136151574e-05,2.1583019832446595e-05,0.004093582128289739,0.0018336809794821589,1.7661087850639113e-05,0.0005682955697306696,0.0,2.393748198940852e-06,0.0,2.3756316578522473e-08,0.0,1.6843364291160231e-09,0.0003085375680644598,1.9772713427685276e-07,6.907012629536509e-07,1.1001005500285024e-06,9.82578110904177e-07,2.6416794754251362e-06,6.847206600281448e-06,2.2857699676468263e-06,3.65943702959344e-07,5.570351132159073e-07,5.550980150363479e-07,8.910941915209903e-06,9.332094130676063e-07,7.907556503315417e-06,4.051808161151168e-06,0.0005418686127839546,7.411462710789945e-05,0.002194993949876137,1.7513121063412507e-06,0.0002925299254768586,2.1682227332777e-06,1.4611149962460362e-07,1.106214250087198e-06,2.092740901932318e-06,1.0401565631035229e-05,0.002823533205873107,0.0001596543031340404,0.0008744487732483998,5.873270842093261e-05,4.847568217707502e-06,3.201891234727628e-08,8.246718253233797e-07,0.0014637357496887294,8.253083642498803e-06
113FF,0.048504999562458975,0.136803372206767,0.0,0.0006689282451744157,6.368074538392626e-09,0.0,0.0,0.0,6.319093399987236e-08,0.1002276584145532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.792254112536788e-05,0.00015563204673694277,0.0005812575533781452,1.6240398641499231e-06,0.0059366784989698055,0.026473361454950526,3.800190102305093e-05,5.382361886172049e-06,6.446416507076645e-05,0.001059734853953711,1.0282173086144046e-09,2.077255613553734e-07,0.00025759617653291656,8.91821754873255e-10,2.866958715089392e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.5648653600534258e-08,0.0,0.0,0.0,0.0,0.0,2.5141476437069794e-10,0.0,0.0,0.0,2.2908510926323725e-11,3.03802650372924e-10,0.0,2.7784478075276045e-10,9.3285523070615e-11,0.0001369561162878705,2.1396274114633e-05,1.1111516293831143e-07,0.0,1.816957381814293e-05,0.0,0.0,0.0,0.0,0.0,0.00022413421782889342,2.6441663612063355e-05,0.00038484012203405924,1.5941379566231566e-05,1.5936464356759803e-10,0.0,9.902000978710525e-06,0.000981443190463297,0.0
211,0.0006527095112136194,0.00028914171760068236,0.08696240776683921,0.0015938423840283174,0.000582472291959262,0.028717246272874832,0.16856452401322017,0.000384216042879896,0.0011745868257492225,0.0003268869254737038,0.00023791411620284692,0.00047355996214847,8.226988865364222e-05,0.00016739244345914998,1.2781662008887762e-05,0.00030145061648753673,4.520622095895366e-05,3.770740690593561e-05,0.00015836600563534861,0.00016580407606251975,0.00014327785657797552,0.00010944858389923326,4.561461493186774e-05,0.00021168948261680626,0.0006762258377934176,0.2893017450143738,0.005852335623769358,0.00021469180287195407,0.00011226953698429487,0.00019987487440198588,0.0001111117366361799,2.6891228486828552e-05,6.615348037578642e-05,0.001813099539812915,0.002637452799457963,0.0009398911435408442,0.001953900464566524,0.0011148179944610397,0.00022548300561147053,0.002632754857093244,4.088225993283248e-05,2.9454705723054227e-05,3.457041402634938e-05,4.140479104490129e-05,6.046052702184891e-05,0.000322559060468684,0.00023074830583531044,9.365201157849936e-07,0.00011720204374513172,1.914331593804939e-06,0.00021608071153938582,0.00020756881782024096,5.10365598841466e-06,5.797081921951383e-05,4.488640418600465e-05,0.00010187047317309572,0.00021086597219048997,0.0005047765127921937,8.70987560199112e-05,3.672527159691728e-05,0.00011485471410239617,0.00010855559460696056,0.0001033604620815929,2.7328365276185377e-05,0.0003283955998719973,0.00018675805973473994,0.00014044128343399247,0.00016840252514476107,0.0009889050736981305,5.6563225373983636e-05,0.012139327431639946,0.0017510774255800358,0.05192270280797724
212,0.0046109914918392916,6.781015700133343e-05,0.00035469652076193335,0.052646030313500104,0.0004071275309603191,0.020760103655949474,7.764001853951834e-06,0.008430024582433318,0.01009423350798319,0.00011436802290163655,0.06239851385074148,0.04499912629731002,0.0010169519932354265,0.0002868782898163902,2.1071825741762475e-05,0.0005189885803164446,0.00011151563876390744,0.0003393160857825911,0.00030093346121608776,0.0004565083740264059,0.0007614811002474659,0.0012294589296778862,2.7257885406370342e-05,0.004758564746701565,0.0002376313432527325,0.003813268339995649,0.004167084394217231,0.0009906722452697532,9.890289674792063e-06,5.083580819296773e-06,1.7110197997971731e-06,5.689637834056697e-07,5.9919367610065755e-06,7.454339294822046e-06,0.0015255534144217946,4.169286125673201e-06,2.5846113188941204e-05,2.5958334447177473e-05,9.31773533231278e-08,1.9984656879550262e-05,1.9207734131386803e-05,6.447384170863303e-05,0.00012262447911882,0.00022010587000443542,0.0012601599122977944,1.81692523703966e-06,1.4563627123285302e-06,2.518802005278881e-08,4.809797747555523e-07,1.6170357098201848e-05,2.7637524436117268e-05,5.942639624489303e-06,1.0444368036998088e-06,1.3453666607461512e-06,0.0004561539024432659,9.17945639100381e-05,0.0004353753462091005,0.0003384168480730392,0.0009031986383061538,6.425034861815837e-05,0.0001090721101713658,0.0001293432647811638,0.00017071823646066722,0.001484574409197923,0.002812949402865625,0.0002446291313768425,0.00037854270375964333,0.0007108591098325194,9.33024184030837e-06,0.001701863464997985,8.210048065098391e-06,0.0005562983539065027,0.015166545186263994
213,7.634314385179206e-06,1.1982528553100558e-06,0.026903494039827183,0.018612082080524096,0.008007760638766383,1.2028238569633077e-05,9.333667296698385e-08,9.46870692732814e-05,9.494985091549356e-05,3.775492128459717e-05,8.485570800347662e-05,7.310452334718061e-05,0.00018287108179192954,0.00012534623216602775,2.254851479709976e-05,0.00012731169420708444,0.00011312048041120748,6.919467378379651e-05,7.244423205719391e-05,5.839429400122359e-05,3.1985730974452754e-05,2.3719257166808056e-05,1.822134987292131e-05,5.455010679225525e-05,3.6876366197210926e-05,4.3434720012268265e-06,2.3669358860186816e-05,5.2346671551802004e-05,2.161857682567732e-06,4.478283523355997e-06,1.113658091284489e-06,5.610532421192645e-07,2.0989905801955565e-06,1.3361025461989381e-06,9.030554793123756e-06,6.635842058885863e-05,5.816915433799897e-06,5.571153452593603e-06,3.2931774153023947e-05,5.362849960388712e-06,5.64722549504253e-06,5.135231650690166e-06,6.454929064050373e-07,1.9970218763886933e-05,9.177330103399223e-06,2.9315516332351814e-07,4.5072595263799003e-07,1.7565028895336955e-09,1.986255493943287e-08,5.8739009651039165e-08,1.8915071558513433e-06,4.725162917943026e-06,5.6562271761234695e-08,3.4901936684938693e-06,3.214482393634948e-05,7.633253201065286e-06,4.355942917327111e-06,3.1731297804050624e-05,3.0876127176236803e-06,3.8398004445358437e-07,1.6674305871935868e-06,2.509384413992082e-07,7.874540637251894e-06,1.1458168554321765e-06,5.473496309172765e-06,4.101060831743374e-06,5.472085239253527e-06,6.435068138136963e-06,8.080164159482022e-06,5.509332380433398e-06,1.3638236426497658e-05,2.683825651893869e-06,2.8132259853002415e-05
221100,0.004246636019430298,0.0008407837862482912,0.010134455931909358,0.020387857143568888,0.0003384491836858453,0.039387165299952474,0.010651490449122647,0.010040767321127545,0.00197831483731803,0.007002461956814537,0.01090708974846326,0.01605984055906343,0.005942454262895608,0.002974736524896521,0.001367951118885561,0.0031346928483110166,0.002338455664732782,0.001771850947008428,0.003969283185780865,0.003015425716305702,0.004739275940822272,0.010153436134601183,0.0021248058406648884,0.012677988982570693,0.00987735125658946,0.004586748805461801,0.008476377251400668,0.011108254686845913,0.005970081939149967,0.013347629429198508,0.028339312311843806,0.017069432854529443,0.012596553253711057,0.00010402612361639012,0.00034460189170559623,0.0006314344615140233,0.002880404662425223,0.001614921854317357,0.002293355731514241,0.0014840473631585569,0.05307819597560792,0.0010647418987832335,0.0019485791432641804,0.0026391803516388297,0.002693818591138952,0.0018414963966829968,0.001021857242738146,0.00030637174202541,0.0004645993164584876,6.890313336144119e-06,0.04581245546231625,0.001492652758446598,0.0008187140527756201,0.00029360290140256274,0.0014346961677376116,0.010889307591959866,0.0018418716550322395,0.002353877703947912,0.0037958878034021868,0.0015861391227268656,0.005643252382138449,0.005620777260469599,0.0032243102578425817,0.002482193681663345,0.009832684363407564,0.021751035342889434,0.016874247841705062,0.0031049683874355177,0.0008703532960601123,0.00034460202954990284,0.00462265984289202,0.0018958746614026842,0.002235770313654846
221200,0.0032948809977904137,0.00047616008488047694,0.002101808120738684,0.0022968276592923464,0.00020712767388201148,0.000449042532063784,0.00016187012849996842,0.0022280033287772516,0.00017533050022926742,0.0008009683657527093,0.0039743142439733255,0.0024229399400154967,0.001350936458138653,0.0005260815522078094,0.00010680216705373575,0.0006050783253490467,0.0003694081640311437,0.0001820214766853268,0.0007687722323290064,0.00042669852786730107,0.0015134071325574427,0.001684169379364422,0.0003181287522516518,0.0041110443261670624,0.0005326707321040123,0.0026715517230362184,0.0040755807920104725,0.0008803065448610818,0.00013377981252012556,0.0007256288965777013,0.00020100712339843194,9.719454156368516e-05,0.0001566779379488812,7.195207918571757e-05,0.0005481937206475688,0.0009058836124737079,0.00021329705209597997,0.00038774486735441944,0.0022781632246773155,0.0004754938591142606,0.00023517589463188828,4.475112872560717e-05,4.391747302135217e-05,2.1384057105410113e-05,6.774250130859031e-06,0.00024933077257436085,2.1315897087021247e-05,3.1809101010517726e-05,0.004539791219332436,3.8752296552069245e-09,0.011599884761154077,0.0016873500005056589,6.47148585611533e-06,4.504591983917385e-06,3.0085616956817134e-05,0.00027323741375399695,0.00014183713552319685,0.0003798373708020516,0.007948367680784111,5.317815699789744e-05,0.00046949449323530984,0.0002505299503951721,0.00018818754016193588,8.500534242524029e-05,0.0003743987801609831,0.0006216472964101611,0.00045884881058548,0.0004762237533482421,0.0006112505039799553,0.000548406554487763,0.0026979051355891783,0.004679045645640996,0.0012138392395100379
221300,0.0008458625459960094,2.498844975582684e-05,0.0013132314738466986,3.0564033658600796e-05,1.8707225158434864e-05,0.0059303124803785235,0.00015651902624127145,0.0018775252581415085,6.60289435308737e-05,3.7163956702582616e-05,8.852906267448717e-05,7.957064224706239e-05,6.018223822978744e-05,3.8908252509500974e-05,1.6731397433570174e-05,3.4989522622156685e-05,6.161162044320231e-05,1.8330176401452662e-05,5.240286034315111e-05,4.753936995657892e-05,8.966626713093501e-05,8.735906259473318e-05,4.5549539026371966e-05,8.234944580881979e-05,5.483155778173739e-05,5.487397320838309e-05,0.00016987860142961568,5.873283634111244e-05,5.529545460938319e-05,0.00017105757407511688,0.00013945000589667128,6.655878137393763e-05,0.00010238765068427826,4.221979926241509e-07,2.6541126538101183e-05,1.070479188642018e-05,2.1767303928856885e-05,6.807309683630609e-05,4.998883500657125e-06,1.9884603423547876e-05,0.00010675365918613954,1.456526766608448e-05,1.1678880840752951e-05,0.00016194458845532626,1.5193479403547411e-05,2.3334616060739027e-05,9.117632544797717e-06,7.215299871795476e-06,0.0005297260448352097,0.0,6.237554096003161e-05,5.302908900613288e-05,2.5987916926745605e-05,6.6626376172168395e-06,2.3095555703869227e-05,2.1712094774367074e-05,0.00012615032160042636,9.41737486046988e-05,0.0018588386253801418,2.5377413956786182e-05,9.709856679349424e-05,0.00010858720853459653,0.00018611847452876975,3.204342465088116e-05,0.00019002814355026268,0.00026041406518171543,0.00018330918739135313,0.00011780703281951892,0.00012350043351825856,0.00011579489423928938,0.0003343462473018576,0.0006646363252785175,0.0004989307849272207
23,0.0038418485320588407,0.0004967207106712684,0.0035350228124233414,0.016577593033357107,0.006519298983721366,0.01740217277359885,0.0036861113985456697,0.009783671744379104,0.00013054736551224507,0.0011663515067419099,0.002251464145964758,0.0022163529094519794,0.001409308567864408,0.0009202128229348503,0.00024110672876782643,0.0007637161279816354,0.000633932740852927,0.00039233581674917925,0.0009343262944670295,0.000769783380058213,0.001104459081046775,0.0012232125780663541,0.0004851671082667594,0.003201956921046914,0.0020720926973040138,0.012101415380530863,0.0018360345578311151,0.0016960970790475638,0.0010369556740804505,0.003124006407675002,0.0022565388816053514,0.00225418258814844,0.002755151825166757,0.00100305771343779,0.025050544895970923,0.00017546233107819923,0.000675814966186931,0.006792735360662865,0.00744870831587383,0.00674804468235912,0.004387799243491461,0.00012806212373901602,0.00019778216909914064,0.002540702603551485,0.0003962258313985742,0.002560748564685478,0.001603575516737133,0.00020086270993530223,0.0011391948671490182,0.03378879377388438,0.057741163042615506,0.0005577431392724011,0.00020534643413343585,3.493184358754226e-05,0.0003429445196101087,0.0008732391567097825,0.0004782915710189758,0.0002799932132864148,0.00036434404113551346,0.00022882113022285996,0.0006490562759423894,0.000792070522715515,0.0008697310915327627,0.0005242926125895117,0.002093393379592538,0.004431346257045964,0.0018767296849619623,0.004088446171012346,0.012379615654434874,0.004200719116841069,0.009201081739780612,0.013270402756580094,0.14805515617472187
321,0.0007644917056600427,0.0005480139254480403,1.9503611519052646e-05,0.0013036280890203822,0.0006268368691446729,1.1862885766370406e-06,0.0,3.917553922428076e-06,0.02240815278871124,0.14614335324394434,0.003203508872315011,0.0017621861850620505,0.0006199915177293646,0.0019173394163429147,0.0012248143317122972,0.0020315174438076127,0.004106219443252121,0.0008622481360518738,0.06569822962411315,0.00547640647054394,0.0005171062494668076,0.00048015087231597286,0.00011836827962014574,0.024406277165453686,0.00011554016212048672,6.881119359599673e-06,0.00031150960377112464,0.00483459924088359,0.0015914706663875085,0.000620912943802631,0.0026935092511624252,0.00038194245496604636,0.0009886329765226843,6.523440124172145e-07,0.025378073244333627,3.233503076883771e-05,0.00025705460423978277,1.2492377821693851e-05,3.424174530189057e-05,0.00029863428809902,0.001240468577801869,0.00015487388497623455,0.0006033934958450544,0.0011355792539859079,0.003169278887951833,6.569058958638057e-05,7.246040834632001e-06,5.8369024381592715e-06,2.4343580409018702e-08,4.270504329941954e-05,0.004774402921444455,0.000734136090653143,2.0477638459926147e-05,1.999573391998458e-05,0.00033492516887655485,7.628154853697266e-06,0.0007975767016649654,9.687523706104135e-05,7.524094568111126e-05,0.00019375009764608777,0.0003484204362623867,2.6465430098704693e-05,0.005080858137223821,3.3170570239316286e-05,0.0008164239694062503,0.0013701254013025672,0.0009290597287194166,0.0006025849846450674,1.8535134769608096e-05,4.431481132018977e-05,8.873484438507908e-05,0.0016381276154537445,0.00042463331799149154
