,111CA,113FF,211,212,213,Hydroelectric power generation,Nuclear electric power generation,Solar electric power generation,Wind electric power generation,Geothermal electric power generation,Biomass electric power generation,Other electric power generation,Electric bulk power transmission and control,Electric power distribution,Coal electric power generation,Gas electric power generation,221200,221300,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,1.2468637481399127,0.028340812845033987,0.0007317998019990115,0.0016491706301153789,0.0006595608767091058,0.0003482573416571298,0.0006738547403396042,3.212561742839389e-05,0.0007461303131643264,0.0008612561370867474,0.05006944007570153,0.0004265200788074481,0.0007007407759955892,0.000700742520625881,0.0005297099531006303,0.00029599311050301595,0.00047275655251245664,0.0006135439239296532,0.0026611048659919523,0.01670809296483623,0.0016806039956263508,0.0009087791693323074,0.000965683943518385,0.000996268809069289,0.00027201252213818346,0.0008301477217643824,0.0014140409981399022,0.0006131478585448463,0.003189091707899723,0.004590008778626215,0.3187043624756661,0.048225461837690504,0.017641715134906623,0.008559497953786155,0.004741232718624406,0.0008156801046348877,0.015348335674993578,0.004782217275474976,0.0010774627669989574,0.005916716811842608,0.0035967421258549506,0.0008148089621205177,0.0016476808485987766,0.002293061185478049,0.0009729847509142211,0.00427241360165853,0.0009371185671383762,0.0008432156423092457,0.000230609286404815,0.0013885623277300476,0.0008059119652212063,0.0005101902119677452,0.0009080714102622703,0.0007358851826616821,0.0011174815405861317,0.0006450063957271536,0.000764275078156653,0.0004767628209026712,0.0007018893881117148,0.00018694552384943117,0.001742642913520544,0.0006259785825303057,0.000613312673565912,0.0005525017198201706,0.0023484636865544256,0.0008393826347337896,0.003933478853301016,0.0009340083194344333,0.006123783931046215,0.0011862745730312702,0.003804713395798689,0.008598656917862012,0.013899976168940818,0.002214644826305411,0.011964602165690742,0.006519260519616545,0.018346695957068716,0.001758509578421145,0.0013961859952429372,0.00038250742379918246,0.0026980931524436132,0.00999710400755301,0.001056821211316446
113FF,0.07077501671666162,1.160287533943507,0.00024803277497290445,0.0015022110695253452,0.000289952209927641,0.00013925232132251759,0.0002774364337520713,1.5855764219866714e-05,0.0004001754029756895,0.0005170487597492624,0.048174250070417125,0.00020288562547870898,0.000333305911300353,0.0003333065235407298,0.00035259655805319843,9.697812922438886e-05,0.00017383703260421933,0.0002294269924174155,0.0036700971118463024,0.13752746838369764,0.0014524674310008028,0.0010200632990143698,0.000774645179139605,0.0009185863426382004,0.0003191401751086366,0.0009694206778379368,0.0014965333836308775,0.0004942383840488494,0.01035301481759918,0.002076601925266849,0.020553073892627394,0.0035307945806437742,0.00895594661524574,0.04138340658214575,0.003324616132534617,0.000264713526390117,0.0016765257646504338,0.0033810261884181956,0.0006323317877870738,0.0007308737283792531,0.0013125524442935076,0.00037137894284975677,0.0006237368081146319,0.00033488847006050477,0.003805612814964128,0.0005845259408260723,0.0004417168641526029,0.0006905375228811906,0.00011406968440286523,0.0008576405696382306,0.000700517051587766,0.00034129912785826796,0.0004045610977339463,0.00047956968352310693,0.0008165742475242296,0.0002662811965324086,0.00027997865401987955,0.000191495288817623,0.00024574116097922973,0.000167183116076184,0.0013172706812570128,0.00039967619621066535,0.0002478817639817955,0.0001588176184841895,0.0006345027752461278,0.0003216710036529344,0.0006938307823176132,0.00040355084716270064,0.0006689670104597772,0.0003547825131571606,0.0006528004741913682,0.0010328322592975485,0.0020186908664545154,0.00034436193705757726,0.0013993746904343762,0.0010108315697877218,0.0021127699276782567,0.0005049794879378971,0.00028542100512735357,0.0002211314983469994,0.0005040360227503064,0.0023796017775846745,0.0008691888342509121
211,0.013589325473205186,0.005030732621753949,1.1043300183946676,0.020212699497165153,0.006777280777707457,0.0049406132414210515,0.006026919114457852,0.00027102430347193234,0.005932343540080414,0.005404067037874732,0.0957409709533307,0.004552945276525223,0.007416783157867305,0.007416115171197837,0.05546835121015273,0.24457152405870794,0.18847872887941258,0.008413303278175263,0.013591099859253742,0.008385743713577979,0.008942666860139144,0.01035928553009151,0.00542128718868043,0.004908611997089636,0.0010834066229442362,0.006165150134558518,0.004562580157888465,0.0023019316259964874,0.006190348990789746,0.005075888142130796,0.00899330207722523,0.008982515317993957,0.0038144879206890403,0.009295027006359912,0.011609610124936748,0.33124916567551843,0.018204627863847953,0.010861731563600614,0.00443269616999874,0.005797856226338569,0.005800629702742484,0.003769043025029883,0.004908798053356442,0.020140565794401984,0.02708624153660734,0.015653296395314566,0.02478931613644071,0.012996233912610617,0.001689465629777662,0.030114760777172477,0.007803982171331727,0.0016346454062761055,0.0027233330288367035,0.0023518241639015943,0.0031882948458054634,0.004856830583334772,0.005078585076688618,0.0016872815378116718,0.006028431253176864,0.0008368931525426243,0.011484026731622856,0.004290768284378354,0.0019138877239081185,0.001511727079568162,0.002783020094489959,0.003654209253737974,0.0044717974154499926,0.007835968975628311,0.005124675651662475,0.002690807013229451,0.004421734030438009,0.004586015016485891,0.004992670947692009,0.002600545709915658,0.00665255952154574,0.005096789551220393,0.005609722958214001,0.004152105569074019,0.010527624665645108,0.001695689944034807,0.025629749122644267,0.0193022522273753,0.07652796307162596
212,0.007726843659131127,0.0006764133952185302,0.0030176135425064557,1.0582683339183268,0.0014942282479149535,0.002119927674662566,0.0021954325530553088,0.00011282444321187026,0.002618073010594121,0.0025674205454806493,0.0013753611115036681,0.0016682097842194452,0.002698632156835447,0.0026981826756686655,0.20449416686025043,0.0011917774402391906,0.0011463527696455415,0.010183634342794784,0.014847405164306758,0.0024086566114095193,0.07427569650119872,0.05992265263681504,0.012252332580817102,0.006719811330940009,0.0008604795254174288,0.0075656397532372225,0.007295451446279605,0.003206076062869519,0.004654306670609265,0.003740290183817447,0.0048323002910328015,0.004648353413960145,0.0013769829736997219,0.008502578318188035,0.0025775013200977515,0.005836799316156134,0.006964025201052228,0.004701561262327137,0.0009418164201826226,0.0014081733432445157,0.0017511764142107006,0.0012150732840367513,0.0014009930878200513,0.0007805472531523083,0.0034980291495841434,0.0015370395097593864,0.0013600812169727576,0.0010194298017393512,0.0005266247683541658,0.0014603371322742492,0.0028735683454873422,0.00047970171319069164,0.0009202690923906222,0.0013337034651865669,0.0023348559372334964,0.0005914214372528797,0.0006593945710031806,0.0004755430393619688,0.0006452572784049116,0.0005899348417989682,0.003365917561000599,0.0007166673555624282,0.0005393900766959888,0.0003426771193718219,0.0013611176570027573,0.0010510853331688495,0.0014025694362251558,0.0016336575392959139,0.001916325861407203,0.0008842489167675374,0.0012472425124922467,0.0013428816357962726,0.0016349206860022437,0.0024513356451480034,0.0043107698231999985,0.0016048290936755366,0.0020935198738103976,0.001774549002036132,0.0009825409586821578,0.002246242733443672,0.001093462243578278,0.001836105035377158,0.019759640499902
213,0.0005382477735942746,0.00015515747426614578,0.030023689510928916,0.02042263855482487,1.008295288810874,0.00018897562002235797,0.00022632333285032633,1.0687020374373737e-05,0.00024212244962829512,0.00022901209795847,0.00263626203704773,0.00017114943193746678,0.00027867866103169117,0.000278652195388966,0.005350791970081547,0.006666273253807585,0.005142908759536583,0.0005232395915346508,0.0007699765802121169,0.0003350914412652442,0.0017470154621990175,0.001513392091141362,0.0006070270396778376,0.0004308656134408875,7.60878024243957e-05,0.00047430897140390144,0.0004490634689915543,0.00022379487784644287,0.0003587033751374351,0.0002907432428725476,0.0003948354283073523,0.00037697549509070665,0.00016452428710042916,0.0004989761831955817,0.000422613498998262,0.009108465884251696,0.00066680973483311,0.0004642274352029525,0.00014943269549384932,0.00020023097276010958,0.00020110442077467359,0.00013370579047939315,0.00017262671841348733,0.0005680972183569142,0.0008237421304229603,0.000542599533706107,0.0007153185193285776,0.00038756789207340425,9.593032528683874e-05,0.0008610416309253433,0.00028554840984840705,6.438525036771979e-05,0.00010024312512458383,0.0001231462416744223,0.00015112881121080276,0.00014928897326508354,0.00015828704905526927,5.948862307963591e-05,0.00018297262665285257,3.8702070457457946e-05,0.0003961562206901805,0.00014155435132917255,6.720020864002288e-05,5.57605642638837e-05,0.0001428933036174483,0.00013505066009379479,0.0001620261824186593,0.0002925108174407185,0.00018576849249948689,9.76207290673289e-05,0.0001552450736952829,0.00015975115311565497,0.00018674930167536687,0.0001242558997944682,0.00027687833852422036,0.00018110142636498423,0.00020962797048198453,0.00016269605788393247,0.00032822436778406075,9.83419811985461e-05,0.000740789329721101,0.0005711441382045502,0.0025047145692422244
Hydroelectric power generation,0.00011207940557972872,2.373424162251014e-05,0.00011963003075519913,0.00020769087146998945,2.2453221285670872e-05,1.0004919615667642,0.00035929803937513187,1.3490751785502277e-05,0.00030410790343246254,0.00014677535164697015,7.201142570655849e-05,0.0002747510515447238,0.0004514655753269162,0.0004514674579274991,6.533134452402621e-05,4.235836251238722e-05,0.00012137924668630065,0.00010953490762245595,6.554081781108899e-05,0.00012211802668388204,0.00014904223462192058,0.000201335818352325,0.000116773092819146,8.081309671988839e-05,2.9101446657824433e-05,7.298631998166593e-05,8.4584864501502e-05,4.522074663359903e-05,9.340703005287484e-05,6.955674637726689e-05,0.00011300317253429766,0.00015786952835258755,7.201483145392206e-05,0.00017690442425952774,0.0001455029146253717,8.839770178150165e-05,0.00011792613347046636,0.00016140755567819234,9.746286924199697e-05,0.00017341286079241905,0.00029942190407826697,0.00020494833741758095,0.0001802379820134513,3.038696161648758e-05,3.445657777854438e-05,5.819194719065053e-05,8.025486324846253e-05,5.160232381684374e-05,2.670023308777218e-05,5.305318000504411e-05,0.0005302703690470676,2.7395128570120036e-05,5.600560449545951e-05,5.51193329130437e-05,5.830776922024182e-05,4.6788403692077555e-05,5.1171094681813966e-05,4.50052203745713e-05,4.696331498992039e-05,7.833256971880724e-06,0.0004355621111255086,4.3234681320679196e-05,4.687285750461446e-05,1.8480881926316996e-05,5.297347760370221e-05,0.0001267623534344645,5.492225899491968e-05,5.460579617613734e-05,8.670084217209379e-05,5.2974425475028966e-05,9.269614281235559e-05,0.0001153439082942647,8.686453924384073e-05,6.141229109744872e-05,0.00013642386038765564,0.00020436799205389688,0.00020445500434438242,7.02334495195342e-05,2.5865621176734837e-05,2.2215201451113213e-05,6.293774000573574e-05,4.464078417323585e-05,6.263555907883496e-05
Nuclear electric power generation,0.0013153962946478696,0.0002785519188386355,0.0014040126138254682,0.002437520089892616,0.0002635174939527158,0.005773803123634538,1.0042168256266497,0.00015833136175976843,0.003569098241368117,0.0017225979447644572,0.0008451469032759544,0.0032245577435316233,0.005298530464846637,0.005298552559591144,0.0007667475399852626,0.0004971299839425886,0.0014245419175134078,0.0012855333312655854,0.0007692059790196675,0.001433212453071229,0.0017492027384839333,0.0023629353499037887,0.0013704827645575758,0.0009484458579568642,0.00034154298824652597,0.0008565885442314597,0.0009927124146765773,0.0005307237512134418,0.001096251899178847,0.0008163380772690924,0.0013262378905938245,0.0018528024087804337,0.0008451868741112688,0.002076201448197946,0.0017076642561467687,0.0010374609748983658,0.0013840151828683276,0.001894325719957819,0.0011438524000332501,0.00203522345029185,0.0035141019987011573,0.0024053329176657113,0.00211532504539071,0.000356630163313109,0.0004043923547033959,0.0006829575096066594,0.0009418942686076537,0.0006056197853013281,0.00031336165184161385,0.0006226474528211037,0.006223406298402318,0.00032151714604610176,0.0006572979598864491,0.0006468964204641848,0.0006843168304183194,0.0005491222275020606,0.0006005587555481074,0.000528194272750757,0.0005511750370426221,9.193336762039464e-05,0.005111882812903877,0.0005074147147313998,0.0005501134018530074,0.00021689697123178673,0.0006217120424050921,0.0014877196140188698,0.0006445835040070422,0.0006408694049085781,0.001017546140132715,0.0006217231668969162,0.0010879087210788688,0.0013537094419415893,0.001019467336274922,0.0007207523963709442,0.0016011098517811665,0.002398521816758658,0.0023995430181462042,0.0008242800609128393,0.00030356640525220794,0.0002607240243870059,0.0007386555056108302,0.0005239171441704202,0.0007351090229229307
Solar electric power generation,2.8673187831398575e-05,6.071912717220168e-06,3.060485844279149e-05,5.313339536128794e-05,5.7441902730829565e-06,0.00012585814795061995,9.191894012257068e-05,1.0000034513286178,7.779969023773016e-05,3.754942493694244e-05,1.8422627463188528e-05,7.028934947564523e-05,0.00011549808971417661,0.0001154985713384308,1.6713667449660568e-05,1.0836507191182148e-05,3.10523590044756e-05,2.802223088272354e-05,1.6767256839027362e-05,3.1241360521098226e-05,3.812935985894127e-05,5.150758702675244e-05,2.9873970215472805e-05,2.0674352165777685e-05,7.445000639226674e-06,1.8672033913207807e-05,2.1639280606459788e-05,1.1568788711846847e-05,2.389624841089968e-05,1.779464874479176e-05,2.890951441846237e-05,4.0387639601532244e-05,1.8423498752908154e-05,4.5257322331091e-05,3.7223898355719085e-05,2.2614715825218318e-05,3.0168951715432953e-05,4.1292770401744464e-05,2.493385062053059e-05,4.436407834393906e-05,7.660087463939897e-05,5.2431774991230044e-05,4.611014383858084e-05,7.77387293899633e-06,8.814999700980647e-06,1.488720093974278e-05,2.0531539727603394e-05,1.3201382677609613e-05,6.830700024753538e-06,1.3572554096528519e-05,0.00013565865927345355,7.008474599712156e-06,1.4327870575357299e-05,1.4101136400414141e-05,1.4916831600186661e-05,1.1969841207267126e-05,1.3091061660799034e-05,1.1513650795333688e-05,1.201458862960524e-05,2.003976085745513e-06,0.00011142951874114,1.1060695155602326e-05,1.1991446960950628e-05,4.72794976046008e-06,1.3552163892704118e-05,3.242951504940814e-05,1.4050719132033635e-05,1.3969758693336942e-05,2.2180609540906753e-05,1.3552406385894108e-05,2.371438267678981e-05,2.9508343041455565e-05,2.2222488036437416e-05,1.5711059036096076e-05,3.490121091690763e-05,5.228330568472437e-05,5.2305565971846905e-05,1.7967769187427642e-05,6.617181903670423e-06,5.683297842501544e-06,1.61013134530273e-05,1.1420417363202207e-05,1.602400673970851e-05
Wind electric power generation,0.00023770403981408482,5.033685793043368e-05,0.00025371781235371943,0.00044048198619152444,4.762000100586616e-05,0.0010433785872466024,0.0007620186332625954,2.8611912982191693e-05,1.0006449684204817,0.00031128907091498625,0.00015272571008635626,0.0005827068278738347,0.0009574925075406324,0.0009574965002613427,0.00013855823413338626,8.983589658620577e-05,0.00025742764371104417,0.0002323075315027326,0.00013900249636256576,0.00025899448811970787,0.0003160967984198236,0.00042700384726414276,0.00024765866450773225,0.00017139276801873203,6.171991544046963e-05,0.00015479331837162514,0.00017939213627280804,9.590659499500253e-05,0.00019810266012527616,0.0001475196939587486,0.00023966321452430035,0.0003348181983911362,0.00015273293317879432,0.00037518843082693954,0.0003085904179476685,0.00018747860693101403,0.000250104095222421,0.00034232183729713156,0.0002067045023201368,0.0003677833349745296,0.0006350301006691127,0.0004346654722636248,0.0003822584196528304,6.444630480107612e-05,7.307736594214766e-05,0.00012341661574949794,0.0001702088364067557,0.00010944098758922067,5.662729237465771e-05,0.00011251804153450736,0.0011246259583927636,5.810106413984734e-05,0.00011877970240777593,0.00011690004990227797,0.0001236622573478889,9.923136651672806e-05,0.00010852641361417226,9.544949529687409e-05,9.960232781770304e-05,1.661319327566691e-05,0.0009237635841210296,9.169444071229766e-05,9.941048071093604e-05,3.91952497471774e-05,0.00011234900438906697,0.00026884442643013834,0.0001164820849225587,0.00011581091353218224,0.00018387981568058522,0.00011235101468562791,0.00019659497217806,0.00024462757299322207,0.00018422699324687137,0.00013024649455084517,0.0002893350707334911,0.00043343464455962774,0.0004336191849116655,0.00014895488242927814,5.485720248254632e-05,4.7115195721277244e-05,0.00013348174875436506,9.467657937299085e-05,0.00013284086716949627
Geothermal electric power generation,5.0647376708606486e-05,1.072522708458915e-05,5.4059416196766475e-05,9.385308346230067e-05,1.0146348929091328e-05,0.00022231169650841195,0.00016236259513306456,6.0963134505258235e-06,0.0001374228161323706,1.0000663260702352,3.2541123734720684e-05,0.00012415679701988173,0.00020401203009846856,0.00020401288082372366,2.952247292777013e-05,1.914125018622161e-05,5.4849866482873465e-05,4.949754774663362e-05,2.9617131464058594e-05,5.5183712550746044e-05,6.735044822323899e-05,9.098130904853832e-05,5.2768399250950694e-05,3.6518496251745946e-05,1.3150604466721315e-05,3.2981667091879235e-05,3.82229141392666e-05,2.0434728199616517e-05,4.2209547899098794e-05,3.143188276358595e-05,5.106481622567935e-05,7.133939934750748e-05,3.2542662752248516e-05,7.994104689034816e-05,6.575107077980674e-05,3.994589085430091e-05,5.3289444878608125e-05,7.293819264801074e-05,4.40423343438384e-05,7.83632500658025e-05,0.00013530526765572913,9.26137642977311e-05,8.144744277520818e-05,1.3731513689420993e-05,1.557052578761151e-05,2.6296262507170827e-05,3.626623705414921e-05,2.331848852938488e-05,1.2065524048858626e-05,2.397411352608891e-05,0.00023962299763834663,1.237953921592288e-05,2.5308279732595173e-05,2.490778393706014e-05,2.634860113203702e-05,2.1143134147881345e-05,2.3123621110731046e-05,2.0337334395865394e-05,2.1222174524180756e-05,3.5397575019073504e-06,0.0001968254400356978,1.9537248439164067e-05,2.118129784116569e-05,8.35129508394489e-06,2.3938096940129474e-05,5.7282429663652955e-05,2.4818728531037586e-05,2.467572267269786e-05,3.917909977957343e-05,2.3938525272131313e-05,4.188830624295607e-05,5.212256742624246e-05,3.9253072577840675e-05,2.7751498374413606e-05,6.164835201754158e-05,9.235151299381352e-05,9.239083283345491e-05,3.173767702426243e-05,1.1688372656547499e-05,1.0038790540798618e-05,2.8440830951688793e-05,2.0172649925245498e-05,2.8304278913785495e-05
