code,label,code aggr,label aggr
111CA,Farms,11,"Agriculture, Forestry, Fishing and Hunting"
113FF,"Forestry, fishing, and related activities",11,"Agriculture, Forestry, Fishing and Hunting"
211,Oil and gas extraction,21,"Mining, Quarrying, and Oil and Gas Extraction"
212,"Mining, except oil and gas",21,"Mining, Quarrying, and Oil and Gas Extraction"
213,Support activities for mining,21,"Mining, Quarrying, and Oil and Gas Extraction"
22,Utilities,22,Utilities
23,Construction,23,Construction
321,Wood products,32,Manufacturing
327,Nonmetallic mineral products,32,Manufacturing
331,Primary metals,33,Manufacturing
332,Fabricated metal products,33,Manufacturing
333,Machinery,33,Manufacturing
334,Computer and electronic products,33,Manufacturing
335,"Electrical equipment, appliances, and components",33,Manufacturing
3361MV,"Motor vehicles, bodies and trailers, and parts",33,Manufacturing
3364OT,Other transportation equipment,33,Manufacturing
337,Furniture and related products,32,Manufacturing
339,Miscellaneous manufacturing,33,Manufacturing
311FT,Food and beverage and tobacco products,31,Manufacturing
313TT,Textile mills and textile product mills,31,Manufacturing
315AL,Apparel and leather and allied products,31,Manufacturing
322,Paper products,32,Manufacturing
323,Printing and related support activities,32,Manufacturing
324,Petroleum and coal products,32,Manufacturing
325,Chemical products,32,Manufacturing
326,Plastics and rubber products,32,Manufacturing
42,Wholesale trade,42,Wholesale Trade
441,Motor vehicle and parts dealers,44,Retail Trade
445,Food and beverage stores,44,Retail Trade
452,General merchandise stores,45,Retail Trade
4A0,Other retail,44,Retail Trade
481,Air transportation,48,Transportation and Warehousing
482,Rail transportation,48,Transportation and Warehousing
483,Water transportation,48,Transportation and Warehousing
484,Truck transportation,48,Transportation and Warehousing
485,Transit and ground passenger transportation,48,Transportation and Warehousing
486,Pipeline transportation,48,Transportation and Warehousing
487OS,Other transportation and support activities,48,Transportation and Warehousing
493,Warehousing and storage,49,Transportation and Warehousing
511,"Publishing industries, except internet (includes software)",51,Information
512,Motion picture and sound recording industries,51,Information
513,Broadcasting and telecommunications,51,Information
514,"Data processing, internet publishing, and other information services",51,Information
521CI,"Federal Reserve banks, credit intermediation, and related activities",52,Finance and Insurance
523,"Securities, commodity contracts, and investments",52,Finance and Insurance
524,Insurance carriers and related activities,52,Finance and Insurance
525,"Funds, trusts, and other financial vehicles",52,Finance and Insurance
HS,Housing,53,Real Estate and Rental and Leasing
ORE,Other real estate,53,Real Estate and Rental and Leasing
532RL,Rental and leasing services and lessors of intangible assets,53,Real Estate and Rental and Leasing
5411,Legal services,54,"Professional, Scientific, and Technical Services"
5415,Computer systems design and related services,54,"Professional, Scientific, and Technical Services"
5412OP,"Miscellaneous professional, scientific, and technical services",54,"Professional, Scientific, and Technical Services"
55,Management of companies and enterprises,55,Management of Companies and Enterprises
561,Administrative and support services,56,Administrative and Support and Waste Management and Remediation Services
562,Waste management and remediation services,56,Administrative and Support and Waste Management and Remediation Services
61,Educational services,61,Educational Services
621,Ambulatory health care services,62,Health Care and Social Assistance
622,Hospitals,62,Health Care and Social Assistance
623,Nursing and residential care facilities,62,Health Care and Social Assistance
624,Social assistance,62,Health Care and Social Assistance
711AS,"Performing arts, spectator sports, museums, and related activities",71,"Arts, Entertainment, and Recreation"
713,"Amusements, gambling, and recreation industries",71,"Arts, Entertainment, and Recreation"
721,Accommodation,72,Accommodation and Food Services
722,Food services and drinking places,72,Accommodation and Food Services
81,"Other services, except government",81,Other Services (except Public Administration)
GFGD,Federal general government (defense),92,Public Administration
GFGN,Federal general government (nondefense),92,Public Administration
GFE,Federal government enterprises,92,Public Administration
GSLG,State and local general government,92,Public Administration
GSLE,State and local government enterprises,92,Public Administration
