,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,class_minor,class_major,OCC_CODE_minor,OCC_TITLE_minor,TOT_EMP_minor,A_MEAN_minor,OCC_CODE_major,OCC_TITLE_major,TOT_EMP_major,A_MEAN_major
0,11-1010,Chief Executives,195530,200140,11-1000,11-0000,11-1000,Top Executives,2535640,128240,11-0000,Management Occupations,7616650,121560
1,11-1020,General and Operations Managers,2289770,123880,11-1000,11-0000,11-1000,Top Executives,2535640,128240,11-0000,Management Occupations,7616650,121560
2,11-1030,Legislators,50330,47620,11-1000,11-0000,11-1000,Top Executives,2535640,128240,11-0000,Management Occupations,7616650,121560
3,11-2010,Advertising and Promotions Managers,25260,133090,11-2000,11-0000,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",717220,141500,11-0000,Management Occupations,7616650,121560
4,11-2020,Marketing and Sales Managers,619500,143000,11-2000,11-0000,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",717220,141500,11-0000,Management Occupations,7616650,121560
5,11-2030,Public Relations and Fundraising Managers,72460,131570,11-2000,11-0000,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",717220,141500,11-0000,Management Occupations,7616650,121560
6,11-3010,Administrative Services Managers,283570,106050,11-3000,11-0000,11-3000,Operations Specialties Managers,1853660,132680,11-0000,Management Occupations,7616650,121560
7,11-3020,Computer and Information Systems Managers,391430,152860,11-3000,11-0000,11-3000,Operations Specialties Managers,1853660,132680,11-0000,Management Occupations,7616650,121560
8,11-3030,Financial Managers,608120,146830,11-3000,11-0000,11-3000,Operations Specialties Managers,1853660,132680,11-0000,Management Occupations,7616650,121560
9,11-3050,Industrial Production Managers,181310,113370,11-3000,11-0000,11-3000,Operations Specialties Managers,1853660,132680,11-0000,Management Occupations,7616650,121560
10,11-3060,Purchasing Managers,69490,125630,11-3000,11-0000,11-3000,Operations Specialties Managers,1853660,132680,11-0000,Management Occupations,7616650,121560
11,11-3070,"Transportation, Storage, and Distribution Managers",124810,102850,11-3000,11-0000,11-3000,Operations Specialties Managers,1853660,132680,11-0000,Management Occupations,7616650,121560
12,11-3110,Compensation and Benefits Managers,15660,132860,11-3000,11-0000,11-3000,Operations Specialties Managers,1853660,132680,11-0000,Management Occupations,7616650,121560
13,11-3120,Human Resources Managers,143580,126700,11-3000,11-0000,11-3000,Operations Specialties Managers,1853660,132680,11-0000,Management Occupations,7616650,121560
14,11-3130,Training and Development Managers,35690,121730,11-3000,11-0000,11-3000,Operations Specialties Managers,1853660,132680,11-0000,Management Occupations,7616650,121560
15,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",4770,79940,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
16,11-9020,Construction Managers,278460,103110,11-9000,11-0000,11-9000,Other Management Occupations,2510140,100900,11-0000,Management Occupations,7616650,121560
