,111CA,113FF,211,212,213,Hydroelectric power generation,Nuclear electric power generation,Solar electric power generation,Wind electric power generation,Geothermal electric power generation,Biomass electric power generation,Other electric power generation,Electric bulk power transmission and control,Electric power distribution,Coal electric power generation,Gas electric power generation,Natural gas distribution,"Water, sewage and other systems",23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,71084.72801739426,1019.046942444859,0.0,44.20199110473464,18.0816640002405,4.173949283136353e-06,0.0001042715291753,4.282474255891178e-06,4.311464366064948e-06,4.117195622377998e-06,41.58158617268633,5.140009629631011e-07,4.548326471136628e-05,0.0008834155081808,1.293632861685712e-06,1.1294001191924008e-06,0.0608447871270533,0.0,2159.303411100548,987.7442280429046,0.1177538001018159,0.1308341794975163,0.2163799024510407,0.2071954259849668,0.0480642650390416,0.0347816132707142,0.3696412919238537,0.0952259007863897,0.8818970786321614,332.0710972904038,206431.5923786255,1569.277373881875,10.17477319681335,410.9077648756427,0.3981700059044267,0.3745348217450318,6824.171404827515,21.54816977149034,43.65332285271512,974.5986460505228,394.8012128057787,4.01796891643455,584.166372882583,0.0,0.2026072093675859,0.0,0.0088862811126134,0.0,9.353980118540438e-05,75.00668035169132,0.0283273669889213,0.2264518154385519,0.1723682344034839,0.8365830425177122,1.026349679941681,6.907169203869776,1.483389021200495,0.444391508969232,0.1050955414012739,1.229077046716046,11.90197147827439,0.3780062524884593,2.887205075006916,2.203140360974734,1020.384643058381,45.73206050513663,2188.367474281126,0.1875848364561923,85.07966457981713,2.377612540377969,0.1345605787746763,0.2806289362748053,0.4690052862716015,1.903958266407962,488.103472318698,37.20543370301459,885.9402239396836,51.88607078843555,3.085812415232731,0.0131739191968857,0.0732920010760845,3276.209907666805,2.967822172984286
113FF,19487.44227533006,7709.102946715676,0.0,62.48427819836221,0.0009130196603566,0.0,0.0,0.0,0.0,0.0,41.58158617268633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1093594659849453,11854.9163824386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.400161971063246,24.65764573172739,558.7335822883755,0.0796356037088887,122.3245027955583,4934.341634350325,3.520129576850597,3.520129576850597,50.50793164471066,256.089426715881,0.0020796558930346,0.0494552316026538,55.46182292803797,0.000202893257857,0.0294702457037352,0.0,0.0,0.0,0.0,0.0,0.0,0.0038042485848195,0.0,0.0,0.0,0.0,0.0,0.0002536165723213,0.0,0.0,0.0,5.072331446426035e-05,0.000405786515714,0.0,0.0001014466289285,5.072331446426035e-05,257.9000119255127,13.20246412245385,0.1107797187899446,0.0,5.284455123690894,0.0,0.0,0.0,0.0,0.0,38.74602615287174,6.161900628865866,389.8974654534983,14.0830544731256,0.0001014466289285,0.0,0.8800323942126493,2196.717590996467,0.0
211,262.2332921278042,16.29358592899813,30740.47643429532,148.8794289547718,83.51077003942731,0.0038363245200015,0.0052778523599103,0.0039360710635673,0.003962716205363,0.0037841615813557,67.53725126229241,0.0052476008147316,0.0052493052233769,0.0052493237139723,0.0011889927573426,11182.995672297648,15662.427168448648,5.380157072012214,2032.744388596327,38.6636842391753,30.84553632046022,109.5747267467789,30.1644841976451,65.27405718378472,4.080006008899475,38.2736859099502,33.13819692593175,12.39154505986394,12.03000966467985,26.26827483246259,137.7227740677588,5.366767217225979,0.9398481765188058,39.45565556165523,62.63859253472924,189206.8296677812,4585.325735972557,51.87992595574718,227.0739753202567,47.58597554114616,23.92290140814042,6.1178279398453,68.00066368642723,431.8718345390562,223.3438300448998,48.19421006498097,731.2338884424214,106.1511061606197,12.52820811630292,640.0328163126673,5.858543901818963,9.65689772974426,5.416749782385865,35.25280330772861,23.49104606629983,325.3839002222646,149.747995190597,1.137251395008736,22.11245189465544,4.238637302568102,288.6168514858653,84.08035435968907,1.863437909701123,31.52095134300531,84.52384734075008,62.85847471610568,210.228846739305,54.06667569404388,25.33168532157199,40.27197904885878,105.785945229928,27.53879628575169,23.16659095102601,5.002323379776645,56.769590236018,43.52155912758408,142.2863341687939,148.7704246647236,629.5060032093022,23.27360516244773,1078.872765477788,3919.352488266501,18671.52846910408
212,1852.518942200372,3.821216404913515,125.3820150967421,4917.641292584584,58.37162429105788,0.0032006184833763,0.0044032749908377,0.0032838363210032,0.0033060661748331,0.0031570993116517,0.0021278859432507,0.0043780363401071,0.004379458316216,0.0043794737427893,8146.888705358381,0.0008660332580511,0.7214039547155752,118.04519219470968,17469.26579920565,13.527302082488,8090.087475600373,10412.23106208321,372.9460513360469,111.8829794053848,6.72733651811141,65.8957414912745,81.77121486884037,111.5314369372946,22.8607634434064,72.32704242635079,731.9726569197505,60.28710949307347,0.5616452499779397,886.943739299871,22.01187545018995,2493.923225160922,3264.926991873125,239.3999223096656,20.00388814488004,1.210264491620446,0.3683838570752047,0.1294400946616696,6.159167080521167,1.775588872198656,129.1864279348765,0.2137871483197056,9.672728242600536,2.471710988299643,0.005176953784861,4.858343067236341,2.752580848767684,21.13846300556298,19.21378842449378,187.4111348208625,489.6263225237391,1.832832284508128,0.9451283010262828,0.0305874298174176,0.0907462180241495,35.80388267170689,36.91516466899954,2.407156523245013,0.3813431535214779,0.7315174298779055,858.9759670473488,56.64137119620975,434.0608016326615,36.248228993976,262.6870945732043,70.45510462671812,100.4600135610072,32.81232930410417,38.2639895403757,271.7444858565127,486.2738404617058,57.00776000820718,383.5170023396473,627.9923307861479,5.93933352161774,700.2567807087307,0.7296614361949241,1245.135977557028,5453.925868233541
213,3.061689661134738,0.0673290314504607,9510.1346936259,1738.540354509191,1148.102503951126,0.0202213918124609,0.4308340603756893,0.0004200734607542,0.0764717477786188,0.0165331034877507,0.0073347673282761,0.0021237736097445,0.1879299149989332,3.6501381863134506,0.151501918658186,0.1735014375799085,0.0086703320904284,1.3255638896209732,163.8695470128584,4.452430202011018,10.98500149100736,16.88590600026487,66.86612506460003,48.74065445584048,7.177474003358646,16.11696910840678,82.70342443351667,22.67673863358885,5.487045392533319,9.224419936280665,30.65654941843874,1.159711240486665,0.3743359651702078,10.13909446546321,3.405759997024303,2.8372843952125,18.49557136774762,12.6124465417776,4.359655464661961,1.063038838043859,0.2390712236599949,0.1272650542326084,2.151231484145034,0.3174082909441577,0.7627587692368477,3.392565053172531,2.170666966748537,0.5289320027764534,1.824343677841815,1.300014869436657,0.8068873063830238,1.678693567000634,0.1008795797783769,16.95382253339897,3.556182144424399,0.294919971927207,0.2916733071512844,0.0021269682277572,0.0037413785817917,0.1297419382862968,2.519045825275544,1.908391233379692,0.0205912058811304,1.892149203568898,60.50469720520654,4.705099572870899,4.330784995528923,3.388783144058928,0.8958639202110145,0.4198231332363062,1.531301176030536,0.0635253694574083,1.759809341807314,0.2096513638913681,0.9443658047090396,0.9529895480345004,5.528340410585535,5.669309585504362,5.128481406573851,2.261557878503585,1.208518415778329,5.992414504395211,10.09733757603092
Hydroelectric power generation,12.90779478976046,0.3584512068852656,27.103051262158157,14.407926404931173,0.3671166981848368,1.3766917087739792,11.359878520819832,0.008937188520759,1.6269593065517354,0.1406986886893136,0.0499357979919147,0.0559979176005335,4.955181591154305,96.243844659284,0.5157197813444963,0.5906071965566592,7.487588142925394,1.063714410711875,25.902142660888533,6.266143630441807,10.698592810659308,28.113805500897016,16.487327106080635,8.777172412928886,3.304090460571681,3.011166159337336,12.972953654400394,4.406146104101051,2.2812444101560407,3.614430600300869,34.46567892994169,3.76671107787923,0.3312286212383297,17.877598197674622,6.922014466537912,22.694958285862946,50.24469053391244,20.3085508520873,91.35357321192772,24.04169681579573,46.16179746746781,29.37969761064804,97.9608897911529,0.1874624765335029,0.2207729269450898,0.2449553057915085,8.155417090005185,1.1633517647046356,0.9640304545459938,2.729470147477726,57.54664456630288,2.6410273015005545,2.3098967283153096,17.000920980654005,7.918560460058231,14.053885160932255,5.01708542600956,2.814745738814274,0.6631609768751837,0.1154219512909105,462.9438288973276,4.574387443915381,2.261550543664308,1.207792678859531,20.43941891881793,50.83417560819454,13.89264607510794,1.9074694938224668,8.352327544711144,13.158877018712262,39.32314635322464,10.78769197696896,5.467469843286786,3.4374240887828065,12.859668639022708,38.34815949392433,129.34009285305368,20.752327663435644,4.191600650660579,1.072726814647074,3.108181045526845,32.103867951541915,6.08258879551449
Nuclear electric power generation,151.4896099841279,4.206886955815677,318.0892423499986,169.0955881553449,4.308587666020201,16.157251755814674,133.32281730658073,0.1048894273124349,19.094464610259237,1.6512804721477834,0.5860609565967352,0.6572077442660977,58.155443193130175,1129.5455752344278,6.052636396028986,6.931536743298958,87.87649834605082,12.4840597358326,303.9950319448845,73.54127255208499,125.56177710165244,329.9517462021532,193.50003572742315,103.01143202654828,38.77776052198691,35.33991626805857,152.25433325034706,51.71180404671896,26.77334367347994,42.42000208963945,404.4991684464125,44.20720978330707,3.887394823380686,209.8166590444328,81.23876223010356,266.3545892485661,589.6862087390571,238.3470219379454,1072.151936247836,282.1603018410811,541.768195761871,344.8086218429323,1149.6973131252644,2.2001138009450885,2.591054873640944,2.8748662604502915,95.71433187044836,13.653432517323337,11.314140017770171,32.03385046318932,675.3840515159166,30.995859662963976,27.10961555987001,199.52772186720264,92.93451401021376,164.94045779843546,58.88196448909807,33.03466944762092,7.783048877040537,1.354625377104522,5433.242565945417,53.68633303225088,26.54221076483789,14.175003929196404,239.88292738975247,596.6045759310502,163.04810928937022,22.38661323505205,98.02532987367556,154.43638358545812,461.5078099261703,126.60747066697526,64.16780617062064,40.34260251587229,150.9247875706911,450.06508237582045,1517.972708797891,243.5553148466993,49.19383660185783,12.589831912986034,36.47851100952146,376.7802722444181,71.38701996233212
Solar electric power generation,3.30219117938371,0.091702295620237,6.933752687428965,3.685968692755791,0.093919181571753,0.3521979773842134,2.9061889549158124,0.0022863940419281,0.4162237437779316,0.0359948369421922,0.0127750366619709,0.0143259040429608,1.2676802822690325,24.62198850232586,0.1319361936510222,0.1510945832898645,1.9155438960062008,0.2721292367633992,6.626525166775752,1.6030626890358517,2.737012742037308,7.192333164268892,4.217940169338855,2.2454572445555345,0.8452829125731821,0.7703443146547734,3.318860721437736,1.127220957338167,0.5836089968839263,0.9246769910129315,8.817328041518744,0.9636347880682824,0.0847379625434019,4.573612149749928,1.7708536188614232,5.806033663279879,12.85406040260026,5.195520891223648,23.370914132049812,6.150568742037725,11.809537020412948,7.516185365745427,25.061258833270312,0.0479583806960915,0.0564801675173152,0.0626667268346749,2.0863940601359734,0.2976193841395439,0.2466271671892706,0.6982782413415923,14.722113667372724,0.6756519763116361,0.5909390973259855,4.349332493901303,2.025799211292401,3.595394594537349,1.2835170925653356,0.7200942300611887,0.1696559609148663,0.0295283087210572,118.43456246667265,1.1702620094614389,0.5785707302182252,0.3089886689102051,5.229000767737,13.00486791421463,3.554144923648303,0.4879864485017082,2.1367695097963813,3.366425352241987,10.060010183632835,2.7598069129914022,1.3987385904500511,0.8793935517772762,3.289879103382164,9.810580047870952,33.08897613547744,5.3090519703830426,1.072333959561442,0.2744348731067555,0.79516355811672,8.213107761658833,1.5561039972761208
Wind electric power generation,27.375546388267004,0.7602226253087176,57.48161085419288,30.557106312987028,0.7786008659696801,2.9197619229104617,24.092642196208363,0.0189544707609397,3.450542923386242,0.2984013568327052,0.1059065298626553,0.11876339962701,10.509215998579474,204.11912932993636,1.0937662883161765,1.2525915518433184,15.88008020591533,2.2559828126033783,54.93465921314223,13.289574898322885,22.69015184605511,59.625272881705385,34.967211313979874,18.61509998118054,7.007493003077804,6.386243368473076,27.51373881777265,9.344791967252736,4.838186010110906,7.665679085958295,73.09666815420802,7.988643724447969,0.7024874994933114,37.91577312334407,14.680581091921784,48.13268985553461,106.561645802301,43.07146844097858,193.74757826030512,50.98892546351685,97.9024262873258,62.3100450474762,207.76073112356823,0.3975805167334522,0.4682271140267289,0.5195144055177543,17.29644780533776,2.4672990792980416,2.044567709510025,5.788807294716306,122.04802318856616,5.601232943543704,4.898953389642124,36.0564688647171,16.794109507735975,29.80623657448292,10.640504985605824,5.969664361662588,1.4064675168012926,0.2447930907838096,981.8362059175504,9.701607262005098,4.796418197367521,2.561551763571379,43.34902048529595,107.81185749678828,29.46427203712547,4.045464036487846,17.714066103035982,27.908055102411748,83.39864668279957,22.879118156737448,11.595704514924812,7.290274142975159,27.273477855766384,81.33084203998793,274.3114350229952,44.01265420376596,8.889772414438758,2.275096804266273,6.591997764207672,68.08761222694832,12.90028191836866
Geothermal electric power generation,5.832881980528864,0.1619799214036537,12.24755288562549,6.510773968205351,0.1658957558956766,0.6221109330945797,5.1333966649090605,0.0040386112987075,0.7352039427964493,0.0635800970891611,0.0225654049382183,0.0253048061143954,2.239188791273669,43.49147134685544,0.233047756692948,0.2668885065556529,3.383553788067436,0.4806801409325254,11.70487628945242,2.8315972530338014,4.834569362058197,12.704300942277271,7.450430902452201,3.966301885119917,1.493079958537482,1.3607108818549012,5.862326511807862,1.991086055580639,1.0308677531608248,1.6333190495940872,15.574638491822585,1.7021328220564271,0.1496783523231335,8.078678200328499,3.1279776374240287,10.255587061197836,22.70498987673679,9.177197363701849,41.28161469281199,10.864162501981912,20.85997810024161,13.276342828325683,44.26738402385103,0.0847121076223645,0.0997647118149239,0.1106924468864091,3.6853379033980738,0.5257050995840981,0.435634123302229,1.23341573823624,26.00465777446068,1.1934494472462276,1.043815401695194,7.682517986660069,3.578305153707759,6.3507868576166775,2.267162412541594,1.2719507837794553,0.2996747140165033,0.0521578341465658,209.19891906821763,2.067112355608395,1.0219683244932964,0.5457874305782314,9.236335117337758,22.97137130931878,6.277924794531534,0.8619632261082806,3.774319442207729,5.946343112560943,17.769671389831558,4.874832236554775,2.470685879922041,1.553331870661787,5.811134334087108,17.32908619495562,58.44728005445052,9.377734930997518,1.894135466439723,0.4847527412001227,1.4045507778801112,14.507363645754245,2.7486509630962037
